Produtor singular segundo a dimensão económica e as classes de idade,,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,Pág.1/6
REGIÃO AGRÁRIA,,,,Total,Classes de dimensão económica (UDE),,,,,,
,Nut III,,,,> 0 a < 2,2 a < 4,4 a < 8,8 a < 16,16 a < 40,40 a < 100,> = 100
,,Concelho,,,nº de indíviduos,,,,,,
LISBOA E VALE DO TEJO,,,,,,,,,,,
,,,15 - 24,   15 ,   2 ,   3 ,   4 ,   3 ,   2 ,   1 ,- 
,,,25 - 34,   102 ,   11 ,   8 ,   13 ,   17 ,   27 ,   21 ,   5 
,,,35 - 44,   266 ,   46 ,   41 ,   40 ,   37 ,   66 ,   29 ,   7 
,,,45 - 54,   473 ,   84 ,   80 ,   89 ,   79 ,   99 ,   29 ,   13 
,,,55 - 64,   666 ,   130 ,   129 ,   148 ,   114 ,   100 ,   34 ,   11 
,,,>= 65,   717 ,   198 ,   179 ,   155 ,   121 ,   55 ,   7 ,   2 
,,Lourinhã,,,,,,,,,
,,,Total,  1 961 ,   407 ,   407 ,   415 ,   333 ,   296 ,   91 ,   12 
,,,15 - 24,   21 ,   1 ,   3 ,   4 ,   3 ,   3 ,   6 ,   1 
,,,25 - 34,   127 ,   17 ,   13 ,   14 ,   22 ,   41 ,   19 ,   1 
,,,35 - 44,   270 ,   42 ,   38 ,   42 ,   47 ,   77 ,   22 ,   2 
,,,45 - 54,   441 ,   75 ,   79 ,   102 ,   84 ,   71 ,   26 ,   4 
,,,55 - 64,   534 ,   99 ,   119 ,   130 ,   101 ,   70 ,   12 ,   3 
,,,>= 65,   568 ,   173 ,   155 ,   123 ,   76 ,   34 ,   6 ,   1 
,,Mafra,,,,,,,,,
,,,Total,  2 582 ,   827 ,   567 ,   537 ,   347 ,   226 ,   62 ,   16 
,,,15 - 24,   9 ,   3 ,   2 ,- ,   2 ,   2 ,- ,- 
,,,25 - 34,   122 ,   32 ,   18 ,   17 ,   19 ,   20 ,   13 ,   3 
,,,35 - 44,   263 ,   65 ,   43 ,   49 ,   42 ,   46 ,   15 ,   3 
,,,45 - 54,   493 ,   151 ,   97 ,   91 ,   68 ,   65 ,   15 ,   6 
,,,55 - 64,   818 ,   242 ,   174 ,   189 ,   139 ,   60 ,   12 ,   2 
,,,>= 65,   877 ,   334 ,   233 ,   191 ,   77 ,   33 ,   7 ,   2 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
