Natureza jurídica do produtor,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,Pág.1/2
REGIÃO AGRÁRIA,,,Produtor Singular,,,,Sociedade,,Baldio,,Estado e pessoas públicas,,Outra,
,Nut III,,Autónomo,,Empresário,,,,,,,,,
,,Concelho,Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha)
LISBOA E VALE DO TEJO,,,  56 575 ,  201 078 ,  3 369 ,  104 769 ,  1 551 ,  135 094 ,- ,- ,   55 ,  4 275 ,   65 ,  2 670 
,Oeste,,  21 929 ,  66 613 ,   926 ,  13 080 ,   521 ,  14 395 ,- ,- ,   8 ,   220 ,   12 ,   133 
,,Alcobaça,  3 006 ,  8 067 ,   91 ,  1 004 ,   50 ,   940 ,- ,- ,   1 ,... ,   2 ,... 
,,Alenquer,  2 559 ,  7 465 ,   78 ,  1 930 ,   79 ,  5 384 ,- ,- ,- ,- ,   1 ,... 
,,Arruda dos Vinhos,   766 ,  2 773 ,   19 ,   447 ,   15 ,   498 ,- ,- ,- ,- ,   1 ,... 
,,Bombarral,  1 024 ,  3 359 ,   83 ,  1 358 ,   33 ,   918 ,- ,- ,- ,- ,- ,- 
,,Cadaval,  1 587 ,  4 637 ,   68 ,   888 ,   46 ,   975 ,- ,- ,   1 ,... ,- ,- 
,,Caldas da Rainha,  2 145 ,  6 327 ,   101 ,   927 ,   26 ,   220 ,- ,- ,   2 ,... ,- ,- 
,,Lourinhã,  1 906 ,  5 761 ,   56 ,   688 ,   54 ,   807 ,- ,- ,- ,- ,   1 ,... 
,,Mafra,  2 487 ,  7 863 ,   104 ,  1 332 ,   46 ,   677 ,- ,- ,   1 ,... ,   2 ,... 
,,Nazaré,   289 ,   823 ,   16 ,   189 ,   7 ,   88 ,- ,- ,- ,- ,- ,- 
,,Óbidos,   971 ,  3 473 ,   36 ,   770 ,   16 ,   313 ,- ,- ,- ,- ,- ,- 
,,Peniche,   755 ,  2 101 ,   35 ,   332 ,   25 ,   700 ,- ,- ,- ,- ,- ,- 
,,Sobral de Monte Agraço,   647 ,  2 437 ,   31 ,   430 ,   14 ,   490 ,- ,- ,- ,- ,   2 ,... 
,,Torres Vedras,  3 787 ,  11 527 ,   208 ,  2 785 ,   110 ,  2 385 ,- ,- ,   3 ,   42 ,   3 ,   24 
,Grande Lisboa,,  3 303 ,  14 136 ,   198 ,  4 239 ,   92 ,  6 660 ,- ,- ,   19 ,   504 ,   20 ,   191 
,,Amadora,   15 ,   131 ,   2 ,... ,   1 ,... ,- ,- ,   1 ,... ,- ,- 
,,Cascais,   81 ,   350 ,   4 ,   10 ,   4 ,   24 ,- ,- ,   3 ,   130 ,   4 ,   20 
,,Loures,   888 ,  4 217 ,   51 ,   990 ,   17 ,   684 ,- ,- ,   2 ,... ,   6 ,   29 
,,Odivelas,   65 ,   201 ,   1 ,... ,   3 ,   5 ,- ,- ,   2 ,... ,- ,- 
,,Oeiras,   25 ,   691 ,   5 ,   206 ,   2 ,... ,- ,- ,   2 ,... ,- ,- 
,,Sintra,  1 520 ,  5 998 ,   96 ,  1 392 ,   30 ,   159 ,- ,- ,   8 ,   116 ,   8 ,   139 
,,Vila Franca de Xira,   709 ,  2 548 ,   39 ,  1 512 ,   35 ,  5 716 ,- ,- ,   1 ,... ,   2 ,... 
,Península de Setúbal,,  5 176 ,  21 764 ,   502 ,  19 505 ,   247 ,  14 348 ,- ,- ,   6 ,   415 ,   5 ,   76 
,,Alcochete,   227 ,   846 ,   47 ,  2 665 ,   19 ,   165 ,- ,- ,- ,- ,- ,- 
,,Almada,   166 ,   488 ,   4 ,   23 ,   4 ,   27 ,- ,- ,- ,- ,- ,- 
,,Barreiro,   105 ,   204 ,- ,- ,   2 ,... ,- ,- ,- ,- ,- ,- 
,,Moita,   336 ,  1 055 ,   17 ,   624 ,   7 ,   253 ,- ,- ,- ,- ,- ,- 
,,Montijo,   879 ,  3 594 ,   232 ,  10 841 ,   96 ,  1 973 ,- ,- ,   1 ,... ,- ,- 
,,Palmela,  2 532 ,  9 182 ,   134 ,  3 766 ,   83 ,  10 137 ,- ,- ,   2 ,... ,   4 ,   24 
,,Seixal,   89 ,   904 ,   9 ,   34 ,   5 ,   51 ,- ,- ,   1 ,... ,- ,- 
,,Sesimbra,   368 ,  1 895 ,   5 ,   350 ,   10 ,   359 ,- ,- ,- ,- ,- ,- 
,,Setúbal,   474 ,  3 596 ,   54 ,  1 202 ,   21 ,  1 345 ,- ,- ,   2 ,... ,   1 ,... 
,Médio Tejo,,  13 085 ,  38 351 ,   269 ,  5 139 ,   132 ,  7 458 ,- ,- ,   6 ,   361 ,   6 ,   85 
,,Abrantes,  2 068 ,  11 109 ,   35 ,  1 626 ,   34 ,  2 813 ,- ,- ,   1 ,... ,   1 ,... 
,,Alcanena,   818 ,  3 148 ,   18 ,   569 ,   8 ,   159 ,- ,- ,- ,- ,- ,- 
,,Constância,   110 ,   352 ,   3 ,   64 ,   4 ,   329 ,- ,- ,   1 ,... ,- ,- 
,,Entroncamento,   41 ,   102 ,   1 ,... ,   1 ,... ,- ,- ,   1 ,... ,- ,- 
,,Ferreira do Zêzere,  1 395 ,  2 529 ,   37 ,   241 ,   10 ,  1 138 ,- ,- ,- ,- ,- ,- 
,,Ourém,  3 500 ,  6 262 ,   43 ,   111 ,   17 ,   116 ,- ,- ,- ,- ,   3 ,   27 
,,Sardoal,   694 ,  1 257 ,   5 ,   15 ,   7 ,   55 ,- ,- ,   1 ,... ,   1 ,... 
,,Tomar,  2 431 ,  5 300 ,   50 ,   763 ,   22 ,  1 824 ,- ,- ,   1 ,... ,   1 ,... 
,,Torres Novas,  1 950 ,  7 714 ,   71 ,  1 692 ,   26 ,   897 ,- ,- ,   1 ,... ,- ,- 
,,Vila Nova da Barquinha,   78 ,   578 ,   6 ,   39 ,   3 ,   74 ,- ,- ,- ,- ,- ,- 
,Lezíria do Tejo,,  13 082 ,  60 214 ,  1 474 ,  62 806 ,   559 ,  92 233 ,- ,- ,   16 ,  2 775 ,   22 ,  2 185 
,,Almeirim,  1 121 ,  4 561 ,   195 ,  2 863 ,   25 ,  1 802 ,- ,- ,- ,- ,- ,- 
,,Alpiarça,   550 ,  2 284 ,   91 ,  1 975 ,   33 ,  5 178 ,- ,- ,- ,- ,   2 ,... 
,,Azambuja,  1 433 ,  4 329 ,   119 ,  2 192 ,   57 ,  4 550 ,- ,- ,   3 ,   246 ,   1 ,... 
,,Benavente,   435 ,  3 260 ,   180 ,  9 130 ,   65 ,  22 876 ,- ,- ,   2 ,... ,- ,- 
,,Cartaxo,   931 ,  3 084 ,   61 ,  2 015 ,   72 ,  2 952 ,- ,- ,   1 ,... ,- ,- 
,,Chamusca,   470 ,  2 789 ,   107 ,  9 728 ,   31 ,  8 603 ,- ,- ,- ,- ,   1 ,... 
