Máquinas e equipamentos (Lezíria do Tejo),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1999,,,,,,,,,,
,,,,,,,,,,,,,,,,Pág.5/5,,,,,,,,,,
,,,,LISBOA E VALE DO TEJO,Lezíria do Tejo,Almeirim,Alpiarça,Azambuja,Benavente,Cartaxo,Chamusca,Coruche,Golegã,Rio Maior,Salvaterra de Magos,Santarém,,,,,,,,,,
,,,máq (nº),  2 951 ,  1 235 ,   48 ,   133 ,   83 ,   141 ,   73 ,   71 ,   152 ,   74 ,   40 ,   106 ,   314 ,,,,,,,,,,
,Plantadores/transplantadores,,expl (nº),  1 538 ,   649 ,   95 ,   65 ,   25 ,   97 ,   37 ,   43 ,   86 ,   31 ,   25 ,   89 ,   56 ,,,,,,,,,,
,,,máq (nº),  1 688 ,   701 ,   101 ,   75 ,   32 ,   103 ,   43 ,   43 ,   92 ,   36 ,   25 ,   90 ,   61 ,,,,,,,,,,
,Pulverizadores e polvilhadores,,expl (nº),  14 495 ,  4 021 ,   735 ,   447 ,   376 ,   286 ,   332 ,   267 ,   421 ,   106 ,   270 ,   268 ,   513 ,,,,,,,,,,
,,,máq (nº),  18 449 ,  4 711 ,   839 ,   543 ,   454 ,   336 ,   415 ,   318 ,   469 ,   140 ,   304 ,   307 ,   586 ,,,,,,,,,,
,Gadanheiras,,expl (nº),  2 790 ,   842 ,   15 ,   7 ,   45 ,   66 ,   58 ,   39 ,   107 ,   10 ,   102 ,   40 ,   353 ,,,,,,,,,,
,,,máq (nº),  3 236 ,   911 ,   16 ,   9 ,   52 ,   79 ,   61 ,   42 ,   117 ,   12 ,   106 ,   41 ,   376 ,,,,,,,,,,
,Colhedores de forragem,,expl (nº),   500 ,   150 ,   2 ,   2 ,   22 ,   26 ,   7 ,   9 ,   25 ,   4 ,   15 ,   9 ,   29 ,,,,,,,,,,
,,,máq (nº),   578 ,   172 ,... ,... ,   26 ,   32 ,   7 ,   10 ,   28 ,   6 ,   16 ,   10 ,   33 ,,,,,,,,,,
,Enfardadeiras,,expl (nº),  1 136 ,   430 ,   6 ,   5 ,   25 ,   46 ,   27 ,   20 ,   51 ,   8 ,   31 ,   15 ,   196 ,,,,,,,,,,
,,,máq (nº),  1 247 ,   473 ,   9 ,   7 ,   28 ,   58 ,   28 ,   20 ,   56 ,   8 ,   32 ,   15 ,   212 ,,,,,,,,,,
,Ceifeiras-debulhadoras,,expl (nº),   686 ,   256 ,   7 ,   7 ,   17 ,   44 ,   11 ,   15 ,   48 ,   11 ,   12 ,   29 ,   55 ,,,,,,,,,,
,,,máq (nº),   758 ,   294 ,   10 ,   7 ,   19 ,   51 ,   12 ,   17 ,   54 ,   13 ,   14 ,   36 ,   61 ,,,,,,,,,,
,Secadores de cereais,,expl (nº),   188 ,   131 ,   6 ,   8 ,   3 ,   20 ,   8 ,   7 ,   27 ,   22 ,   2 ,   16 ,   12 ,,,,,,,,,,
,,,máq (nº),   208 ,   148 ,   6 ,   8 ,   4 ,   24 ,   9 ,   8 ,   32 ,   23 ,... ,   18 ,   14 ,,,,,,,,,,
,Viradores de feno,,expl (nº),  1 246 ,   572 ,   7 ,   4 ,   30 ,   49 ,   40 ,   12 ,   47 ,   9 ,   74 ,   10 ,   290 ,,,,,,,,,,
,,,máq (nº),  1 363 ,   616 ,   7 ,   4 ,   31 ,   65 ,   42 ,   15 ,   50 ,   10 ,   77 ,   10 ,   305 ,,,,,,,,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
