Produtor singular segundo a OTE e as classes de idade,,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,Pág.6/12
REGIÃO AGRÁRIA,,,,Bovinos para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
,Nut III,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,
,,Odivelas,,,,,,,,,,
,,,Total,   1 ,   23 ,   1 ,   2 ,   1 ,   3 ,   1 ,   9 ,   2 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,   2 ,- ,- ,   1 ,- ,- ,   1 ,- 
,,,35 - 44,- ,   1 ,- ,- ,- ,   1 ,- ,- ,- 
,,,45 - 54,- ,   2 ,   1 ,- ,- ,- ,- ,   2 ,- 
,,,55 - 64,- ,   8 ,- ,   1 ,- ,   1 ,- ,   5 ,- 
,,,>= 65,   1 ,   10 ,- ,   1 ,- ,   1 ,   1 ,   1 ,   2 
,,Oeiras,,,,,,,,,,
,,,Total,- ,   5 ,   2 ,   1 ,   3 ,   2 ,   2 ,   2 ,   5 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,35 - 44,- ,- ,- ,- ,   1 ,- ,   1 ,- ,- 
,,,45 - 54,- ,   1 ,- ,- ,- ,- ,- ,- ,- 
,,,55 - 64,- ,   4 ,   2 ,   1 ,- ,   1 ,- ,   1 ,   1 
,,,>= 65,- ,- ,- ,- ,   2 ,   1 ,   1 ,   1 ,   4 
,,Sintra,,,,,,,,,,
,,,Total,   3 ,   143 ,   15 ,   380 ,   19 ,   26 ,   17 ,   50 ,   10 
,,,15 - 24,- ,   1 ,- ,   1 ,- ,   1 ,- ,- ,- 
,,,25 - 34,- ,   6 ,- ,   16 ,- ,- ,- ,   2 ,   1 
,,,35 - 44,- ,   18 ,   1 ,   15 ,   1 ,   1 ,   3 ,   3 ,- 
,,,45 - 54,   2 ,   27 ,   7 ,   42 ,   2 ,   10 ,   2 ,   11 ,   3 
,,,55 - 64,   1 ,   47 ,   6 ,   111 ,   5 ,   7 ,   5 ,   14 ,   2 
,,,>= 65,- ,   44 ,   1 ,   195 ,   11 ,   7 ,   7 ,   20 ,   4 
,,Vila Franca de Xira,,,,,,,,,,
,,,Total,   2 ,   75 ,   8 ,   81 ,   1 ,   3 ,   8 ,   11 ,   3 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,   4 ,- ,- ,- ,- ,- ,- ,- 
,,,35 - 44,- ,   6 ,   1 ,   7 ,- ,   1 ,- ,   1 ,   1 
,,,45 - 54,- ,   13 ,   1 ,   7 ,- ,- ,- ,   2 ,   1 
,,,55 - 64,   2 ,   26 ,   4 ,   33 ,   1 ,   2 ,   3 ,   6 ,- 
,,,>= 65,- ,   26 ,   2 ,   34 ,- ,- ,   5 ,   2 ,   1 
,Península de SetúbaL,,,,,,,,,,,
,,,Total,   4 ,   395 ,   222 ,   740 ,   55 ,   60 ,   26 ,   209 ,   127 
,,,15 - 24,- ,   10 ,   2 ,   1 ,- ,   2 ,- ,   1 ,   1 
,,,25 - 34,- ,   22 ,   7 ,   27 ,   4 ,- ,- ,   6 ,   7 
,,,35 - 44,- ,   45 ,   27 ,   56 ,   5 ,   7 ,   4 ,   10 ,   19 
,,,45 - 54,- ,   76 ,   49 ,   141 ,   8 ,   16 ,   5 ,   47 ,   30 
,,,55 - 64,   3 ,   117 ,   67 ,   230 ,   17 ,   23 ,   10 ,   73 ,   31 
,,,>= 65,   1 ,   125 ,   70 ,   285 ,   21 ,   12 ,   7 ,   72 ,   39 
,,Alcochete,,,,,,,,,,
,,,Total,- ,   11 ,   16 ,   30 ,   1 ,   2 ,   2 ,   7 ,   14 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,   1 ,- ,- ,- ,- ,- ,- 
,,,35 - 44,- ,   1 ,   3 ,   5 ,- ,- ,- ,- ,   1 
,,,45 - 54,- ,   2 ,   1 ,   3 ,- ,   1 ,- ,   2 ,   3 
,,,55 - 64,- ,   6 ,   5 ,   10 ,- ,- ,- ,   2 ,   5 
,,,>= 65,- ,   2 ,   6 ,   12 ,   1 ,   1 ,   2 ,   3 ,   5 
,,Almada,,,,,,,,,,
,,,Total,- ,   23 ,   4 ,   13 ,   3 ,   3 ,   2 ,   7 ,- 
,,,15 - 24,- ,   1 ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,   1 ,- ,   1 ,- ,- ,- ,   1 ,- 
,,,35 - 44,- ,   2 ,   2 ,- ,   1 ,- ,- ,   1 ,- 
,,,45 - 54,- ,   3 ,- ,- ,- ,- ,- ,   1 ,- 
,,,55 - 64,- ,   6 ,   1 ,   5 ,   1 ,   2 ,   1 ,- ,- 
,,,>= 65,- ,   10 ,   1 ,   7 ,   1 ,   1 ,   1 ,   4 ,- 
,,Barreiro,,,,,,,,,,
,,,Total,- ,   17 ,   2 ,   24 ,- ,   1 ,- ,   9 ,   4 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,   1 ,- ,- ,- ,- ,- ,- ,- 
,,,35 - 44,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,45 - 54,- ,   2 ,- ,   3 ,- ,- ,- ,   2 ,   2 
,,,55 - 64,- ,   8 ,   1 ,   6 ,- ,- ,- ,   4 ,- 
,,,>= 65,- ,   6 ,   1 ,   15 ,- ,   1 ,- ,   3 ,   2 
,,Moita,,,,,,,,,,
,,,Total,- ,   24 ,   10 ,   47 ,   6 ,   8 ,- ,   11 ,   5 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,- ,   2 ,   1 ,- ,- ,- ,- 
,,,35 - 44,- ,   3 ,   2 ,   1 ,- ,   2 ,- ,   1 ,   1 
,,,45 - 54,- ,   4 ,   2 ,   10 ,- ,   1 ,- ,   2 ,   1 
,,,55 - 64,- ,   8 ,   4 ,   16 ,   3 ,   3 ,- ,   2 ,   1 
,,,>= 65,- ,   9 ,   2 ,   18 ,   2 ,   2 ,- ,   6 ,   2 
,,Montijo,,,,,,,,,,
,,,Total,   1 ,   62 ,   67 ,   139 ,   6 ,   10 ,   12 ,   41 ,   29 
,,,15 - 24,- ,- ,- ,   1 ,- ,- ,- ,- ,   1 
,,,25 - 34,- ,- ,   1 ,   6 ,   1 ,- ,- ,   1 ,- 
,,,35 - 44,- ,   5 ,   7 ,   14 ,- ,   2 ,   1 ,   5 ,   5 
,,,45 - 54,- ,   17 ,   12 ,   30 ,   1 ,   2 ,   2 ,   7 ,   7 
,,,55 - 64,   1 ,   15 ,   27 ,   44 ,   1 ,   2 ,   8 ,   15 ,   4 
,,,>= 65,- ,   25 ,   20 ,   44 ,   3 ,   4 ,   1 ,   13 ,   12 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
