"Principais culturas permanentes (Oeste, Grande Lisboa e Península de Setúbal)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,Pág.1/2
REGIÃO AGRÁRIA,,,,Culturas Permanentes,Frutos frescos,Citrinos,Frutos sub-tropicais,Frutos secos,Olival,Vinha,Viveiros,Chá,Vime,Outras culturas permanentes
,Nut III,,,,,,,,,,,,,
,,Concelho,,,,,,,,,,,,
LISBOA E VALE DO TEJO,,,expl (nº),  47 782 ,  15 986 ,  8 044 ,   70 ,  1 352 ,  19 878 ,  31 811 ,   187 ,- ,   3 ,   17 
,,,área (ha),  117 590 ,  24 607 ,  2 780 ,   10 ,   738 ,  36 831 ,  52 081 ,   504 ,- ,o ,   13 
,Oeste,,expl (nº),  17 739 ,  8 732 ,  1 080 ,   13 ,   262 ,  1 190 ,  13 822 ,   162 ,- ,   2 ,   2 
,,,área (ha),  44 092 ,  19 426 ,   332 ,   2 ,   220 ,   721 ,  22 930 ,   437 ,- ,... ,... 
,,Alcobaça,expl (nº),  2 380 ,  1 694 ,   184 ,   3 ,   68 ,   685 ,  1 258 ,   5 ,- ,- ,- 
,,,área (ha),  5 057 ,  3 935 ,   27 ,o ,   25 ,   495 ,   560 ,   10 ,- ,- ,- 
,,Alenquer,expl (nº),  2 568 ,   503 ,   63 ,   1 ,   42 ,   172 ,  2 482 ,- ,- ,- ,- 
,,,área (ha),  7 081 ,   588 ,   11 ,... ,   20 ,   82 ,  6 377 ,- ,- ,- ,- 
,,Arruda dos Vinhos,expl (nº),   676 ,   165 ,   12 ,- ,   9 ,   27 ,   639 ,   1 ,- ,- ,- 
,,,área (ha),  1 525 ,   147 ,   1 ,- ,   18 ,   12 ,  1 335 ,... ,- ,- ,- 
,,Bombarral,expl (nº),  1 090 ,   888 ,   38 ,   1 ,   3 ,   13 ,   774 ,   58 ,- ,- ,- 
,,,área (ha),  4 428 ,  2 812 ,   5 ,... ,   2 ,   3 ,  1 461 ,   144 ,- ,- ,- 
,,Cadaval,expl (nº),  1 604 ,   995 ,   24 ,   1 ,   10 ,   69 ,  1 321 ,   5 ,- ,- ,   1 
,,,área (ha),  4 945 ,  2 533 ,   2 ,... ,   9 ,   36 ,  2 347 ,   17 ,- ,- ,... 
,,Caldas da Rainha,expl (nº),  1 902 ,  1 312 ,   190 ,   1 ,   29 ,   133 ,  1 314 ,   8 ,- ,- ,   1 
,,,área (ha),  5 107 ,  3 390 ,   37 ,... ,   37 ,   56 ,  1 572 ,   11 ,- ,- ,... 
,,Lourinhã,expl (nº),  1 216 ,   760 ,   43 ,- ,   6 ,   6 ,   814 ,   6 ,- ,- ,- 
,,,área (ha),  1 993 ,  1 130 ,   8 ,- ,   3 ,   1 ,   815 ,   33 ,- ,- ,- 
,,Mafra,expl (nº),  1 566 ,   718 ,   328 ,   4 ,   35 ,   26 ,  1 198 ,- ,- ,   1 ,- 
,,,área (ha),  2 415 ,   951 ,   201 ,o ,   45 ,   6 ,  1 207 ,- ,- ,... ,- 
,,Nazaré,expl (nº),   132 ,   96 ,   18 ,- ,   6 ,   3 ,   66 ,   1 ,- ,- ,- 
,,,área (ha),   203 ,   178 ,   1 ,- ,   1 ,o ,   18 ,... ,- ,- ,- 
,,Óbidos,expl (nº),   841 ,   662 ,   70 ,- ,   15 ,   15 ,   504 ,   56 ,- ,- ,- 
,,,área (ha),  2 613 ,  1 983 ,   13 ,- ,   9 ,   4 ,   492 ,   110 ,- ,- ,- 
,,Peniche,expl (nº),   250 ,   124 ,   20 ,- ,   1 ,- ,   181 ,   11 ,- ,- ,- 
,,,área (ha),   235 ,   100 ,   2 ,- ,... ,- ,   90 ,   42 ,- ,- ,- 
,,Sobral de Monte Agraço,expl (nº),   403 ,   31 ,   10 ,- ,   15 ,   21 ,   386 ,   1 ,- ,- ,- 
,,,área (ha),   657 ,   18 ,   4 ,- ,   24 ,   21 ,   583 ,... ,- ,- ,- 
,,Torres Vedras,expl (nº),  3 111 ,   784 ,   80 ,   2 ,   23 ,   20 ,  2 885 ,   10 ,- ,   1 ,- 
,,,área (ha),  7 833 ,  1 661 ,   20 ,... ,   27 ,   5 ,  6 073 ,   47 ,- ,... ,- 
,Grande Lisboa,,expl (nº),  1 570 ,   786 ,   315 ,   15 ,   81 ,   244 ,  1 015 ,   5 ,- ,- ,   4 
,,,área (ha),  2 066 ,   404 ,   98 ,   1 ,   60 ,   245 ,  1 255 ,   7 ,- ,- ,o 
,,Amadora,expl (nº),   3 ,   1 ,   2 ,- ,- ,   2 ,- ,- ,- ,- ,- 
,,,área (ha),   3 ,... ,... ,- ,- ,... ,- ,- ,- ,- ,- 
,,Cascais,expl (nº),   15 ,   7 ,   9 ,   1 ,- ,   1 ,   6 ,- ,- ,- ,- 
,,,área (ha),   22 ,   6 ,   8 ,... ,- ,... ,   7 ,- ,- ,- ,- 
,,Loures,expl (nº),   330 ,   81 ,   73 ,   3 ,   20 ,   96 ,   196 ,   1 ,- ,- ,- 
,,,área (ha),   581 ,   18 ,   16 ,o ,   33 ,   130 ,   382 ,... ,- ,- ,- 
,,Odivelas,expl (nº),   12 ,   8 ,   9 ,   1 ,   2 ,   8 ,   1 ,- ,- ,- ,- 
,,,área (ha),   20 ,   6 ,   3 ,... ,... ,   8 ,... ,- ,- ,- ,- 
,,Oeiras,expl (nº),   9 ,   4 ,   3 ,- ,- ,   3 ,   3 ,- ,- ,- ,- 
,,,área (ha),   39 ,   17 ,   2 ,- ,- ,   2 ,   18 ,- ,- ,- ,- 
,,Sintra,expl (nº),   669 ,   416 ,   130 ,   6 ,   19 ,   26 ,   408 ,   4 ,- ,- ,   4 
,,,área (ha),   479 ,   173 ,   40 ,   1 ,   10 ,   32 ,   219 ,   6 ,- ,- ,o 
,,Vila Franca de Xira,expl (nº),   532 ,   269 ,   89 ,   4 ,   40 ,   108 ,   401 ,- ,- ,- ,- 
,,,área (ha),   922 ,   184 ,   28 ,o ,   17 ,   70 ,   625 ,- ,- ,- ,- 
,Península de Setúbal,,expl (nº),  3 785 ,  1 375 ,  2 006 ,   8 ,   67 ,   433 ,  2 404 ,   6 ,- ,- ,- 
,,,área (ha),  10 248 ,   793 ,   761 ,o ,   33 ,   374 ,  8 252 ,   31 ,- ,- ,- 
,,Alcochete,expl (nº),   62 ,   9 ,   49 ,- ,   1 ,   3 ,   15 ,- ,- ,- ,- 
,,,área (ha),   39 ,   1 ,   14 ,- ,... ,o ,   22 ,- ,- ,- ,- 
,,Almada,expl (nº),   33 ,   21 ,   16 ,   1 ,   4 ,   6 ,   7 ,- ,- ,- ,- 
,,,área (ha),   45 ,   6 ,   5 ,... ,   2 ,   8 ,   22 ,- ,- ,- ,- 
,,Barreiro,expl (nº),   70 ,   40 ,   65 ,- ,   1 ,   2 ,   7 ,- ,- ,- ,- 
,,,área (ha),   24 ,   8 ,   13 ,- ,... ,... ,   2 ,- ,- ,- ,- 
,,Moita,expl (nº),   179 ,   80 ,   160 ,   2 ,   2 ,   17 ,   30 ,- ,- ,- ,- 
