Explorações segundo o número de bovinos (Médio Tejo e Lezíria do Tejo - Classes do número de animais 30 a >=300),,,,,,,,,,,
,,,,,,,,,,1999,
,,,,,,,,,,Pág.4/4,
REGIÃO AGRÁRIA,,,,Classes do número de animais,,,,,,,
,Nut III,,,,,,,,,,
,,Concelho,,30 a 39,40 a 49,50 a 59,60 a 99,100 a 199,200 a 299,>= 300,
,Médio Tejo,,expl (nº),   17 ,   18 ,   7 ,   18 ,   15 ,   4 ,- ,
,,,efect (nº),   562 ,   799 ,   368 ,  1 342 ,  2 008 ,   928 ,- ,
,,Abrantes,expl (nº),   2 ,   1 ,- ,- ,   4 ,- ,- ,
,,,efect (nº),... ,... ,- ,- ,   592 ,- ,- ,
,,Alcanena,expl (nº),   8 ,   10 ,- ,   8 ,   3 ,   1 ,- ,
,,,efect (nº),   261 ,   447 ,- ,   587 ,   355 ,... ,- ,
,,Constância,expl (nº),- ,   1 ,- ,   1 ,- ,- ,- ,
,,,efect (nº),- ,... ,- ,... ,- ,- ,- ,
,,Entroncamento,expl (nº),- ,   1 ,- ,- ,- ,- ,- ,
,,,efect (nº),- ,... ,- ,- ,- ,- ,- ,
,,Ferreira do Zêzere,expl (nº),   1 ,- ,   1 ,   1 ,- ,- ,- ,
,,,efect (nº),... ,- ,... ,... ,- ,- ,- ,
,,Ourém,expl (nº),   1 ,   3 ,   1 ,   1 ,   1 ,   1 ,- ,
,,,efect (nº),... ,   130 ,... ,... ,... ,... ,- ,
,,Sardoal,expl (nº),- ,- ,- ,- ,- ,- ,- ,
,,,efect (nº),- ,- ,- ,- ,- ,- ,- ,
,,Tomar,expl (nº),   4 ,   1 ,   1 ,   5 ,   5 ,- ,- ,
,,,efect (nº),   138 ,... ,... ,   409 ,   620 ,- ,- ,
,,Torres Novas,expl (nº),   1 ,   1 ,   4 ,   2 ,   2 ,   2 ,- ,
,,,efect (nº),... ,... ,   217 ,... ,... ,... ,- ,
,,Vila Nova da Barquinha,expl (nº),- ,- ,- ,- ,- ,- ,- ,
,,,efect (nº),- ,- ,- ,- ,- ,- ,- ,
,Lezíria do Tejo,,expl (nº),   48 ,   26 ,   22 ,   57 ,   83 ,   30 ,   49 ,
,,,efect (nº),  1 599 ,  1 155 ,  1 136 ,  4 526 ,  11 145 ,  7 372 ,  31 740 ,
,,Almeirim,expl (nº),- ,- ,- ,- ,   2 ,   1 ,   1 ,
,,,efect (nº),- ,- ,- ,- ,... ,... ,... ,
,,Alpiarça,expl (nº),- ,   1 ,   1 ,   2 ,   1 ,   2 ,- ,
,,,efect (nº),- ,... ,... ,... ,... ,... ,- ,
,,Azambuja,expl (nº),   4 ,   5 ,   1 ,   4 ,   5 ,   2 ,   2 ,
,,,efect (nº),   128 ,   220 ,... ,   345 ,   680 ,... ,... ,
,,Benavente,expl (nº),   9 ,   2 ,   6 ,   11 ,   10 ,   6 ,   11 ,
,,,efect (nº),   299 ,... ,   308 ,   836 ,  1 173 ,  1 496 ,  9 105 ,
,,Cartaxo,expl (nº),   6 ,   1 ,   2 ,   4 ,   2 ,   2 ,   2 ,
,,,efect (nº),   201 ,... ,... ,   351 ,... ,... ,... ,
,,Chamusca,expl (nº),   4 ,   3 ,   2 ,   4 ,   7 ,- ,   4 ,
,,,efect (nº),   139 ,   139 ,... ,   320 ,   969 ,- ,  3 656 ,
,,Coruche,expl (nº),   7 ,   6 ,   2 ,   17 ,   35 ,   9 ,   16 ,
,,,efect (nº),   226 ,   275 ,... ,  1 355 ,  4 745 ,  2 178 ,  7 154 ,
,,Golegã,expl (nº),   1 ,- ,- ,- ,   3 ,- ,- ,
,,,efect (nº),... ,- ,- ,- ,   415 ,- ,- ,
,,Rio Maior,expl (nº),   5 ,   2 ,   2 ,   2 ,   2 ,   2 ,   1 ,
,,,efect (nº),   167 ,... ,... ,... ,... ,... ,... ,
,,Salvaterra de Magos,expl (nº),   2 ,- ,   1 ,   2 ,   5 ,   2 ,   3 ,
,,,efect (nº),... ,- ,... ,... ,   722 ,... ,  1 302 ,
,,Santarém,expl (nº),   10 ,   6 ,   5 ,   11 ,   11 ,   4 ,   9 ,
,,,efect (nº),   329 ,   258 ,   258 ,   865 ,  1 450 ,  1 085 ,  5 067 ,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,
,,,,,,,,,,,
