Utilização das terras (Médio Tejo),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1999,
,,,,,,,,,,,,,,Pág.4/5,
,,,LISBOA E VALE DO TEJO,Médio Tejo,Abrantes,Alcanena,Constância,Entroncamento,Ferreira do Zêzere,Ourém,Sardoal,Tomar,Torres Novas,Vila Nova da Barquinha,
Superfície Total,,expl (nº),"61,615","13,498","2,139",844,118,44,"1,442","3,563",708,"2,505","2,048",87,
 ,,área (ha),"706,002","124,763","39,805","4,942","30,358",351,"8,421","11,823","3,617","12,529","12,003",914,
Superfície Agrícola Utilizada (SAU),,expl (nº),"60,545","13,423","2,122",837,117,44,"1,440","3,546",703,"2,490","2,038",86,
 ,,área (ha),"447,863","51,389","15,614","3,875","1,050",176,"3,907","6,513","1,353","7,903","10,306",692,
Terra arável,,expl (nº),"47,502","9,338","1,226",613,87,29,837,"2,908",273,"1,877","1,445",43,
,,área (ha),"207,721","16,286","6,500",743,284,100,369,"1,939",163,"2,430","3,627",131,
,Terra arável limpa,expl (nº),"47,330","9,320","1,222",612,87,29,834,"2,906",273,"1,876","1,438",43,
,,área (ha),"193,277","16,045","6,289",742,282,100,362,"1,934",163,"2,429","3,613",131,
,Culturas temporárias,expl (nº),"32,982","4,728",588,224,30,23,351,"1,887",146,775,676,28,
,,área (ha),"161,393","10,978","4,244",431,243,67,186,"1,261",92,"1,559","2,806",89,
,Pousio (com e sem ajuda),expl (nº),"14,458","3,005",288,281,18,6,121,830,31,743,673,14,
,,área (ha),"29,133","4,198","1,893",265,28,32,78,398,35,716,713,40,
,Horta familiar,expl (nº),"21,568","6,517",846,415,70,15,700,"2,052",205,"1,398",798,18,
,,área (ha),"2,748",864,151,43,12,1,97,274,37,153,95,1,
,Culturas sob-coberto matas e florestas,expl (nº),368,44,21,3,2,- ,3,2,2,4,7,- ,
,,área (ha),"14,445",241,209,3,... ,- ,7,... ,... ,1,14,- ,
,Culturas temporárias,expl (nº),257,12,5,1,- ,- ,1,- ,- ,1,4,- ,
,,área (ha),"9,745",41,25,... ,- ,- ,... ,- ,- ,... ,12,- ,
,Pousio (com e sem ajuda),expl (nº),153,34,17,2,2,- ,2,2,2,3,4,- ,
,,área (ha),"4,697",200,184,... ,... ,- ,... ,... ,... ,o ,2,- ,
Culturas permanentes,,expl (nº),"47,782","12,951","1,967",824,113,42,"1,429","3,450",692,"2,396","1,959",79,
,,área (ha),"117,590","30,153","7,824","2,920",752,63,"2,375","4,404","1,171","4,156","6,263",225,
,Sem culturas sob-coberto,expl (nº),"45,206","11,837","1,819",635,111,33,"1,407","3,308",632,"2,285","1,552",55,
,,área (ha),"103,050","22,305","6,703","1,167",746,41,"1,978","3,564",913,"3,396","3,665",132,
,Com culturas temporárias,expl (nº),"6,428","3,462",378,233,2,14,356,"1,042",361,567,487,22,
,,área (ha),"6,678","3,397",866,380,... ,7,196,557,192,434,723,40,
,Com pousio (com e sem ajuda),expl (nº),"2,271","1,000",23,301,2,- ,- ,128,1,131,406,8,
,,área (ha),"3,660","1,530",51,333,... ,- ,- ,59,... ,192,862,29,
,Com horta familiar,expl (nº),"4,922","3,891",391,81,11,26,729,"1,411",293,570,347,32,
,,área (ha),649,533,70,13,2,2,110,184,53,60,34,5,
,Com pastagens permanentes,expl (nº),"1,298",977,25,205,1,6,151,90,26,39,422,12,
,,área (ha),"3,537","2,390",136,"1,021",... ,13,92,39,12,75,984,17,
Pastagens permanentes,,expl (nº),"4,553",714,86,114,4,5,79,120,9,66,219,12,
,,área (ha),"122,541","4,953","1,290",213,15,14,"1,165",170,18,"1,319",414,335,
,Em terra limpa,expl (nº),"4,135",687,74,110,4,5,76,119,7,64,217,11,
,,área (ha),"29,000","3,790",465,186,15,14,"1,162",169,16,"1,315",413,35,
,Sob-coberto de matas e florestas,expl (nº),573,38,15,9,- ,- ,4,1,2,4,2,1,
,,área (ha),"93,553","1,164",825,27,- ,- ,3,... ,... ,4,... ,... ,
Matas e florestas sem culturas sob-coberto,,expl (nº),"19,529","7,694","1,005",445,42,4,"1,088","2,376",481,"1,495",731,27,
,,área (ha),"220,118","68,974","23,324",824,"29,288",155,"3,606","4,178","2,094","4,294","1,004",207,
Superfície Agrícola não utilizada,,expl (nº),"10,641","2,456",135,142,- ,8,333,"1,168",47,248,368,7,
,,área (ha),"15,377","2,286",383,149,- ,17,158,877,132,146,418,6,
Outras superfícies,,expl (nº),"55,559","13,132","1,953",844,88,44,"1,434","3,545",684,"2,445","2,009",86,
,,área (ha),"22,646","2,111",490,93,20,3,751,255,38,183,269,9,
"Fonte: INE, Recenseamento da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
