Produtor singular segundo a OTE e as classes de idade,,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,Pág.11/12
REGIÃO AGRÁRIA,,,,Total,Cereais Plantas olea./prot.,Culturas agrícolas diversas,Horticultura,Viticultura,Fruticultura,Olivicultura,Culturas permanentes diversas,Bovinos                de leite,Bovinos para gado/carne
,Nut III,,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,,
,,Cartaxo,,,,,,,,,,,
,,,Total,   992 ,   17 ,   81 ,   10 ,   540 ,   57 ,   28 ,   79 ,   3 ,   15 
,,,15 - 24,   4 ,- ,   1 ,- ,   1 ,- ,- ,- ,- ,   1 
,,,25 - 34,   33 ,   3 ,   9 ,- ,   11 ,   1 ,   2 ,- ,- ,   1 
,,,35 - 44,   94 ,   5 ,   20 ,   1 ,   35 ,   4 ,   1 ,   8 ,- ,   5 
,,,45 - 54,   212 ,   4 ,   22 ,   1 ,   120 ,   12 ,   6 ,   10 ,- ,   1 
,,,55 - 64,   282 ,   2 ,   19 ,   8 ,   158 ,   15 ,   10 ,   22 ,   2 ,   1 
,,,>= 65,   367 ,   3 ,   10 ,- ,   215 ,   25 ,   9 ,   39 ,   1 ,   6 
,,Chamusca,,,,,,,,,,,
,,,Total,   577 ,   83 ,   128 ,   3 ,   34 ,   120 ,   27 ,   32 ,   1 ,   5 
,,,15 - 24,   5 ,   3 ,   1 ,- ,- ,- ,- ,   1 ,- ,- 
,,,25 - 34,   33 ,   4 ,   17 ,- ,- ,   2 ,- ,- ,- ,- 
,,,35 - 44,   63 ,   7 ,   27 ,- ,   3 ,   8 ,   2 ,   3 ,- ,   2 
,,,45 - 54,   98 ,   16 ,   18 ,- ,   5 ,   21 ,   4 ,   3 ,- ,- 
,,,55 - 64,   151 ,   21 ,   26 ,   2 ,   9 ,   36 ,   4 ,   8 ,   1 ,- 
,,,>= 65,   227 ,   32 ,   39 ,   1 ,   17 ,   53 ,   17 ,   17 ,- ,   3 
,,Coruche,,,,,,,,,,,
,,,Total,  1 361 ,   75 ,   240 ,   18 ,   130 ,   187 ,   22 ,   203 ,   11 ,   21 
,,,15 - 24,   9 ,   2 ,   2 ,- ,- ,- ,- ,- ,   1 ,   1 
,,,25 - 34,   76 ,   9 ,   24 ,- ,   4 ,   6 ,   1 ,   2 ,   1 ,   3 
,,,35 - 44,   151 ,   11 ,   49 ,   4 ,   8 ,   16 ,   1 ,   15 ,   2 ,   1 
