Máquinas e equipamentos (Oeste),,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,,,,Pág.1/5
,,,,LISBOA E VALE DO TEJO,Oeste,Alcobaça,Alenquer,Arruda dos Vinhos,Bombarral,Cadaval,Caldas da Rainha,Lourinhã,Mafra,Nazaré,Óbidos,Peniche,Sobral de Monte Agraço,Torres Vedras
Explorações que utilizam tractores,,,expl (nº),  51 103 ,  19 932 ,  2 851 ,  2 410 ,   695 ,   980 ,  1 493 ,  1 952 ,  1 893 ,  1 982 ,   289 ,   936 ,   763 ,   597 ,  3 091 
,,,máq (nº),  2 951 ,   837 ,   49 ,   84 ,   30 ,   32 ,   31 ,   13 ,   135 ,   135 ,   29 ,   23 ,   31 ,   50 ,   195 
,Plantadores/transplantadores,,expl (nº),  1 538 ,   469 ,   103 ,   18 ,   5 ,   25 ,   8 ,   9 ,   96 ,   22 ,   51 ,   28 ,   39 ,   2 ,   63 
,,,máq (nº),  1 688 ,   520 ,   120 ,   21 ,   5 ,   29 ,   10 ,   10 ,   102 ,   30 ,   53 ,   29 ,   43 ,... ,   66 
,Pulverizadores e polvilhadores,,expl (nº),  14 495 ,  7 218 ,  1 072 ,   474 ,   177 ,   545 ,   540 ,   753 ,   414 ,   849 ,   123 ,   380 ,   165 ,   109 ,  1 617 
,,,máq (nº),  18 449 ,  9 700 ,  1 268 ,   676 ,   240 ,   657 ,   602 ,   887 ,   477 ,  1 242 ,   137 ,   458 ,   183 ,   191 ,  2 682 
,Gadanheiras,,expl (nº),  2 790 ,   925 ,   76 ,   64 ,   36 ,   16 ,   37 ,   46 ,   45 ,   290 ,   10 ,   29 ,   23 ,   53 ,   200 
,,,máq (nº),  3 236 ,  1 165 ,   80 ,   71 ,   39 ,   17 ,   41 ,   51 ,   49 ,   334 ,   12 ,   36 ,   26 ,   58 ,   351 
,Colhedores de forragem,,expl (nº),   500 ,   165 ,   18 ,   5 ,   5 ,   2 ,   11 ,   17 ,   13 ,   40 ,   5 ,   5 ,   5 ,   13 ,   26 
,,,máq (nº),   578 ,   196 ,   23 ,   5 ,   5 ,... ,   13 ,   19 ,   19 ,   46 ,   7 ,   7 ,   5 ,   16 ,   29 
,Enfardadeiras,,expl (nº),  1 136 ,   308 ,   32 ,   37 ,   28 ,   5 ,   7 ,   22 ,   12 ,   68 ,   4 ,   13 ,   13 ,   21 ,   46 
,,,máq (nº),  1 247 ,   346 ,   33 ,   39 ,   29 ,   5 ,   8 ,   25 ,   15 ,   76 ,   4 ,   17 ,   16 ,   21 ,   58 
,Ceifeiras-debulhadoras,,expl (nº),   686 ,   146 ,   8 ,   12 ,   19 ,   3 ,   1 ,   5 ,   10 ,   27 ,   2 ,   4 ,   12 ,   12 ,   31 
,,,máq (nº),   758 ,   159 ,   8 ,   13 ,   20 ,   3 ,... ,   6 ,   13 ,   29 ,... ,   4 ,   13 ,   12 ,   35 
,Secadores de cereais,,expl (nº),   188 ,   11 ,   1 ,   2 ,- ,- ,- ,   1 ,- ,- ,   1 ,- ,   3 ,- ,   3 
,,,máq (nº),   208 ,   12 ,... ,... ,- ,- ,- ,... ,- ,- ,... ,- ,   3 ,- ,   3 
,Viradores de feno,,expl (nº),  1 246 ,   272 ,   16 ,   31 ,   14 ,   2 ,   8 ,   14 ,   13 ,   91 ,   2 ,   9 ,   4 ,   26 ,   42 
,,,máq (nº),  1 363 ,   304 ,   16 ,   34 ,   15 ,... ,   9 ,   16 ,   15 ,   100 ,... ,   12 ,   5 ,   27 ,   51 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo."
