lookupVariable,lookupValue,newVariable,newValue,reason
name,Valencia,name,Valencia / València,
name,Alicante,name,Alicante / Alacant,
name,Castellón,name,Castellón / Castelló,
name,Las Palmas,name,Gran Canaria,
name,S.C. de Tenerife,name,Tenerife
name,R. DE MURCIA,name,Región de Murcia
name,BALEARES,name,Illes Balears
name,CANTABRIA,name,Cantabria
name,Vizcaya,name,Bizkaia
