Table 2.
        Predictions of Proportion of Ascospores Trapped (PAT)<comma> ascosporic and pycnidiosporic infection period scores during the period of fruit susceptibility for study sites.
Location<comma> Statea,Country,Observed prevalence,Ascospores,Pycnidiospores
ΔPATb,Infection on days with PAT,Infection
Average,Average,Std. Dev.,% suitable yearsc,Average,Std. Dev.,% suitable yearsd
Citrusdal<comma> WC,South Africa,Absent,0.29,1.6,1.6,0,11.3,6.8,0
Foggia Amendola,Italy,Unknown,0.28,1.6,1.8,0,21.1,9.4,0
Calepatria-Imperial Valley<comma> CA,USA,Unknown,0.35,1.5,1.3,0,2.6,2.0,0
Mildura<comma> Vic.,Australia,Absent,0.12,1.4,1.2,0,4.6,4.9,0
Redlands<comma> CA,USA,Unknown,0.18,1.3,1.7,0,3.1,3.3,0
Kakamas<comma> NC,South Africa,Absent,0.16,1.1,1.2,0,4.2,2.9,0
Sun City<comma> AZ,USA,Unknown,0.27,1.1,1.5,0,3.7,3.1,0
Thessaloniki-Mikra,Greece,Unknown,0.31,1.0,0.9,0,23.1,10.1,0
Sevilla-San Pablo,Spain,Unknown,0.04,0.9,1.0,0,7.8,3.4,0
Hemet<comma> CA,USA,Unknown,0.14,0.9,1.5,0,3.3,3.2,0
Viana Do Castelo,Portugal,Unknown,0.12,0.8,0.6,0,17.0,5.5,0
Firenze,Italy,Unknown,0.17,0.5,0.8,0,18.0,5.7,0
Yuma<comma> AZ,USA,Unknown,0.32,0.5,0.7,0,1.2,2.1,0
Marina Di Ginosa,Italy,Unknown,0.15,0.4,0.9,0,15.9,9.3,0
Riverside<comma> CA,USA,Unknown,0.03,0.2,0.5,0,1.3,1.6,0
Larissa,Greece,Unknown,0.08,0.1,0.4,0,8.6,5.5,0
Coachella Valley<comma> CA,USA,Unknown,0.10,0.1,0.4,0,1.4,1.2,0
Arroya Grande area<comma> CA,USA,Unknown,0.00,0.0,0.0,0,0.7,1.4,0
Bakersfield<comma> CA,USA,Unknown,0.00,0.0,0.0,0,0.0,0.0,0
Borrego Springs<comma> CA,USA,Unknown,0.02,0.0,0.0,0,0.6,1.0,0
Fresno<comma> CA,USA,Unknown,0.00,0.0,0.0,0,0.1,0.4,0
Porterville<comma> CA,USA,Unknown,0.01,0.0,0.0,0,0.2,0.5,0
Tulare<comma> CA,USA,Unknown,0.00,0.0,0.0,0,0.1,0.4,0
Valley Center<comma> CA,USA,Unknown,0.06,0.0,0.0,0,0.6,1.2,0
