"Produtor singular segundo a OTE e as Classes de Idade  (Baixo Mondego, página 2)",,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 4/10
Região Agrária,,,Bovinos para leite / gado / carne,Ovinos / caprinos / out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
Nut III,,,,,,,,,,,
Concelho,,,nº de indivíduos,,,,,,,,
Baixo Mondego,,,,,,,,,,,
,,Total,165,448,564,"4,982","1,295",787,970,"1,383",5
,,15 - 24,1,1,4,5,2,3,1,1,- 
,,25 - 34,11,19,50,77,21,40,18,44,1
,,35 - 44,26,53,98,464,126,117,90,182,1
,,45 - 54,46,105,136,"1,093",336,226,204,345,- 
,,55 - 64,46,129,140,"1,669",446,215,342,439,2
,,>= 65,35,141,136,"1,674",364,186,315,372,1
,Cantanhede,,,,,,,,,,
,,Total,72,30,169,"1,492",220,198,92,368,1
,,15 - 24,- ,- ,2,- ,1,- ,- ,1,- 
,,25 - 34,3,- ,13,26,2,15,2,13,1
,,35 - 44,14,4,30,167,29,40,9,54,- 
,,45 - 54,19,8,34,346,51,43,25,97,- 
,,55 - 64,22,9,53,511,74,56,35,108,- 
,,>= 65,14,9,37,442,63,44,21,95,- 
,Coimbra,,,,,,,,,,
,,Total,- ,48,68,"1,019",89,138,68,287,- 
,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,25 - 34,- ,1,1,12,3,2,4,4,- 
,,35 - 44,- ,4,7,79,- ,11,7,38,- 
,,45 - 54,- ,14,21,231,20,50,19,70,- 
,,55 - 64,- ,13,13,374,35,41,20,101,- 
,,>= 65,- ,16,26,323,31,34,18,74,- 
,Condeixa-a-Nova,,,,,,,,,,
,,Total,2,44,14,469,153,33,53,97,- 
,,15 - 24,- ,1,- ,1,1,- ,- ,- ,- 
,,25 - 34,- ,1,1,6,1,2,- ,- ,- 
,,35 - 44,1,5,2,31,17,4,4,5,- 
,,45 - 54,1,7,7,97,31,13,10,24,- 
,,55 - 64,- ,15,3,167,55,10,17,39,- 
,,>= 65,- ,15,1,167,48,4,22,29,- 
,Figueira da Foz,,,,,,,,,,
,,Total,41,67,51,330,164,96,126,90,1
,,15 - 24,- ,- ,1,1,- ,- ,- ,- ,- 
,,25 - 34,3,4,1,3,3,6,1,2,- 
,,35 - 44,6,8,10,30,15,15,11,9,- 
,,45 - 54,9,20,13,67,47,29,24,21,- 
,,55 - 64,11,16,10,112,60,20,46,30,1
,,>= 65,12,19,16,117,39,26,44,28,- 
,Mira,,,,,,,,,,
,,Total,5,5,14,223,31,5,100,29,1
,,15 - 24,- ,- ,- ,2,- ,- ,1,- ,- 
,,25 - 34,- ,1,1,5,1,- ,1,1,- 
,,35 - 44,1,2,2,23,3,- ,11,6,- 
,,45 - 54,3,2,4,51,13,3,28,8,- 
,,55 - 64,- ,- ,7,65,11,1,41,6,- 
,,>= 65,1,- ,- ,77,3,1,18,8,1
,Montemor-o-Velho,,,,,,,,,,
,,Total,43,80,183,392,231,217,200,247,2
,,15 - 24,1,- ,1,- ,- ,2,- ,- ,- 
,,25 - 34,5,7,31,13,7,13,6,18,- 
,,35 - 44,4,9,31,40,26,31,21,40,1
,,45 - 54,13,21,37,78,74,52,31,57,- 
,,55 - 64,12,18,41,117,60,58,76,67,1
,,>= 65,8,25,42,144,64,61,66,65,- 
,Penacova,,,,,,,,,,
,,Total,- ,82,4,218,144,9,214,36,- 
,,15 - 24,- ,- ,- ,1,- ,- ,- ,- ,- 
,,25 - 34,- ,3,- ,4,- ,1,4,- ,- 
,,35 - 44,- ,11,1,23,12,1,19,5,- 
,,45 - 54,- ,9,1,56,35,3,46,8,- 
,,55 - 64,- ,29,- ,64,54,2,62,14,- 
,,>= 65,- ,30,2,70,43,2,83,9,- 
,Soure,,,,,,,,,,
,,Total,2,92,61,839,263,91,117,229,- 
,,15 - 24,- ,- ,- ,- ,- ,1,- ,- ,- 
,,25 - 34,- ,2,2,8,4,1,- ,6,- 
,,35 - 44,- ,10,15,71,24,15,8,25,- 
,,45 - 54,1,24,19,167,65,33,21,60,- 
,,55 - 64,1,29,13,259,97,27,45,74,- 
,,>= 65,- ,27,12,334,73,14,43,64,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,
,,,,,,,,,,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
