"Produtor singular segundo a OTE e as Classes de Idade  (Dão-Lafões, página 2)",,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 10/10
Região Agrária,,,Bovinos para leite / gado / carne,Ovinos / caprinos / out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
Nut III,,,,,,,,,,,
Concelho,,,nº de indivíduos,,,,,,,,
Dão-Lafões,,,,,,,,,,,
,,Total,140,"1,830",581,"6,887","2,681",636,"3,212","1,306",3
,,15 - 24,- ,7,- ,5,1,1,6,4,- 
,,25 - 34,4,89,47,112,70,20,74,55,- 
,,35 - 44,21,261,112,647,304,114,379,197,- 
,,45 - 54,58,427,201,"1,572",716,182,657,341,- 
,,55 - 64,27,542,154,"2,168",875,198,"1,031",384,2
,,>= 65,30,504,67,"2,383",715,121,"1,065",325,1
,Aguiar da Beira,,,,,,,,,,
,,Total,8,59,4,159,46,9,254,14,- 
,,15 - 24,- ,- ,- ,1,- ,- ,4,1,- 
,,25 - 34,1,5,1,5,2,- ,6,2,- 
,,35 - 44,2,12,1,31,8,3,42,3,- 
,,45 - 54,3,14,2,29,16,4,52,4,- 
,,55 - 64,- ,22,- ,41,12,2,70,3,- 
,,>= 65,2,6,- ,52,8,- ,80,1,- 
,Carregal do Sal,,,,,,,,,,
,,Total,- ,56,19,421,33,17,50,46,- 
,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,25 - 34,- ,3,- ,11,1,1,- ,1,- 
,,35 - 44,- ,9,6,32,4,4,4,5,- 
,,45 - 54,- ,14,3,93,6,4,12,11,- 
,,55 - 64,- ,23,8,142,10,6,17,22,- 
,,>= 65,- ,7,2,143,12,2,17,7,- 
,Castro Daire,,,,,,,,,,
,,Total,13,334,36,285,273,34,477,60,- 
,,15 - 24,- ,2,- ,- ,- ,- ,1,1,- 
,,25 - 34,1,20,4,11,6,3,17,5,- 
,,35 - 44,- ,44,7,40,38,3,64,15,- 
,,45 - 54,6,84,13,68,63,10,92,13,- 
,,55 - 64,1,86,10,94,93,11,151,13,- 
,,>= 65,5,98,2,72,73,7,152,13,- 
,Mangualde,,,,,,,,,,
,,Total,- ,215,10,478,52,5,69,24,- 
,,15 - 24,- ,2,- ,1,- ,- ,- ,- ,- 
,,25 - 34,- ,12,1,3,2,- ,1,- ,- 
,,35 - 44,- ,35,1,35,3,3,7,2,- 
,,45 - 54,- ,53,4,85,15,- ,13,3,- 
,,55 - 64,- ,68,2,163,19,2,21,6,- 
,,>= 65,- ,45,2,191,13,- ,27,13,- 
,Mortágua,,,,,,,,,,
,,Total,- ,87,15,141,226,13,272,22,- 
,,15 - 24,- ,- ,- ,1,- ,- ,- ,- ,- 
,,25 - 34,- ,2,- ,6,2,- ,2,- ,- 
,,35 - 44,- ,11,4,14,20,- ,20,2,- 
,,45 - 54,- ,10,7,38,66,8,73,9,- 
