Explorações com rega e drenagem (Baixo Mondego),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 3/8
,,,,Baixo Mondego,Cantanhede,Coimbra,Condeixa-a-Nova,Figueira da Foz,Mira,Montemor-o-Velho,Penacova,Soure
Superfície irrigável,,,expl (nº),"15,043","3,607","2,381",941,"2,026",914,"2,626",743,1805
,,,área (ha),"26,619","3,849","4,077",955,"5,384","1,593","7,355",414,2992
Sistema de rega ,,,,,,,,,,,,
,Colectivo estatal,,expl (nº),"3,017",129,734,387,462,4,610,23,668
,Colectivo privado,,expl (nº),"1,107",380,311,184,26,10,33,24,139
,Individual,,expl (nº),"13,490","3,384","1,936",641,"1,921",909,"2,512",712,1475
Origem das águas de rega,,,,,,,,,,,,
,"Furo, poço, nascente",,expl (nº),"13,475","3,527","1,854",786,"1,889",906,"2,388",670,1455
,Albufeira (barragem),,expl (nº),250,2,47,2,54,- ,12,2,131
,Açude,,expl (nº),407,5,353,8,2,1,21,9,8
,Charca,,expl (nº),248,46,73,1,31,9,33,14,41
,Curso de água natural,,expl (nº),"3,898",253,773,392,571,76,860,161,812
,Outra,,expl (nº),292,58,151,13,19,4,22,11,14
Método de colocação de água no terreno,,,,,,,,,,,,
,Sem elevação,,expl (nº),"2,910",82,722,402,432,5,531,129,607
,Com elevação,,expl (nº),"14,394","3,575","2,173",783,"1,968",912,"2,542",692,1749
,,Motor electrico,expl (nº),"6,964","1,916",933,302,"1,157",557,"1,674",75,350
,,Motor a carburante,expl (nº),"10,981","2,869","1,589",553,"1,421",743,"1,583",616,1607
,,Outros meios,expl (nº),236,34,46,12,20,12,34,49,29
Superfície drenada,,,expl (nº),"2,826",587,281,74,200,630,701,4,349
,,,área (ha),"7,160",961,889,153,774,"1,114","2,510",1,758
Superfície com encharcamento,,,expl (nº),"1,491",118,379,98,298,246,146,5,201
,,,área (ha),"1,353",59,300,56,334,158,266,1,179
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,,
