"Explorações com rega e drenagem (Total e Baixo Vouga, página 1)",,,,,,,,,,
,,,,,,,,,,1999
,,,,,,,,,,pág. 1/8
,,,,BEIRA LITORAL,Baixo Vouga,Águeda,Albergaria-a-Velha,Anadia,Aveiro,Estarreja
Superfície irrigável,,,expl (nº),"69,994","13,962","2,041",898,"2,311","1,116","1,024"
,,,área (ha),"104,620","20,156","2,179","1,648","2,091","2,233","2,390"
Sistema de rega ,,,,,,,,,,
,Colectivo estatal,,expl (nº),"6,804",647,195,20,204,6,35
,Colectivo privado,,expl (nº),"10,596","1,195",82,56,111,153,36
,Individual,,expl (nº),"63,163","13,206","1,971",870,"2,189","1,095","1,010"
Origem das águas de rega,,,,,,,,,,
,"Furo, poço, nascente",,expl (nº),"63,819","12,973","1,721",781,"2,212","1,078",954
,Albufeira (barragem),,expl (nº),631,202,112,3,48,5,2
,Açude,,expl (nº),"2,907",362,38,118,17,6,6
,Charca,,expl (nº),"2,415",232,2,34,10,13,118
,Curso de água natural,,expl (nº),"16,882","2,878",752,320,333,186,213
,Outra,,expl (nº),"1,394",269,53,6,10,89,9
Método de colocação de água no terreno,,,,,,,,,,
,Sem elevação,,expl (nº),"19,515","1,668",403,132,125,18,44
,Com elevação,,expl (nº),"61,866","13,057","1,867",851,"2,270","1,109","1,000"
,,Motor electrico,expl (nº),"30,661","7,922","1,425",504,"1,195",618,706
,,Motor a carburante,expl (nº),"45,294","9,182",895,607,"1,666",911,731
,,Outros meios,expl (nº),695,142,46,11,21,11,10
Superfície drenada,,,expl (nº),"3,556",592,9,3,8,141,1
,,,área (ha),"8,357",925,110,2,3,202,... 
Superfície com encharcamento,,,expl (nº),"2,691",403,9,- ,67,16,10
,,,área (ha),"2,031",332,32,- ,17,2,10
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,
