Explorações segundo a OTE e a dimensão económica (Baixo Mondego),,,,,,,,,,
,,,,,,,,,,1999
,,,,,,,,,,pág. 3/8
,,Baixo Mondego,Cantanhede,Coimbra,Condeixa-a-Nova,Figueira da Foz,Mira,Montemor-o-Velho,Penacova,Soure
,,expl (nº),,,,,,,,
Classes de dimensão económica (UDE),,"17,472","4,456","2,754","1,167","2,169",929,"2,878",830,"2,289"
,> 0 a < 2,"9,773","2,188","1,874",813,"1,074",284,"1,425",549,"1,566"
,2 a < 4,"4,183","1,213",506,257,461,381,632,239,494
,4 a < 8,"2,029",702,189,66,329,159,413,33,138
,8 a < 16,911,255,74,21,196,63,248,5,49
,16 a < 40,420,81,69,7,78,32,118,4,31
,40 a < 100,121,15,30,3,19,7,39,- ,8
,> = 100,35,2,12,- ,12,3,3,- ,3
OTE,,"17,479","4,458","2,754","1,167","2,170",930,"2,881",830,"2,289"
,Cereais e plantas olea./proteaginosas,"1,416",40,207,23,460,2,448,10,226
,Culturas agrícolas diversas,"1,878",492,236,77,205,328,220,102,218
,Horticultura,334,33,98,65,20,88,23,2,5
,Viticultura,795,548,175,32,16,- ,5,1,18
,Fruticultura,170,38,50,10,19,18,4,2,29
,Olivicultura,43,2,8,16,- ,- ,- ,- ,17
,Culturas permanentes diversas,484,96,238,67,6,- ,6,2,69
,Bovinos de leite,"1,552",516,13,10,421,65,517,1,9
,Bovinos para gado/carne,179,45,4,1,52,13,60,2,2
,Bovinos para leite/gado/carne,166,72,- ,2,41,5,44,- ,2
,Ovinos/caprinos/outros herbívoros,448,30,48,44,67,5,80,82,92
,Granívoros,573,171,69,15,54,15,183,5,61
,Policultura,"4,993","1,494","1,025",469,330,224,393,218,840
,Polipecuária-herbívoros,"1,298",221,90,153,165,31,231,144,263
,Polipecuária-granívoros,788,198,138,33,96,6,217,9,91
,Agricultura geral e herbívoros,971,92,68,53,127,100,200,214,117
,Culturas diversas e gado,"1,384",368,287,97,90,29,247,36,230
,Não classificadas,7,2,- ,- ,1,1,3,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",

,
,













,
