Efectivo animal (Médio Tejo),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,,Pág.5/7
,,,LISBOA E VALE DO TEJO,,Médio Tejo,,Ourém,,Sardoal,,Tomar,,Torres Novas,,Vila Nova da Barquinha,
,,,Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº)
BOVINOS,,,"4,642","159,317",834,"9,312",389,"1,728",7,18,112,"1,817",114,"1,663",1,... 
Bovinos com menos de 1 ano,,,"3,147","51,864",494,"2,999",223,715,4,9,65,577,68,487,- ,- 
,Vitelos de carne (para abate < 1 ano),,878,"9,563",140,738,55,166,4,9,35,338,25,116,- ,- 
,Outros vitelos,,"2,394","42,301",360,"2,261",168,549,- ,- ,32,239,45,371,- ,- 
,,Machos,"1,828","21,634",304,"1,309",141,423,- ,- ,27,118,37,192,- ,- 
,,Fêmeas,"1,357","20,667",158,952,39,126,- ,- ,18,121,22,179,- ,- 
Bovinos de 1 a menos de 2 anos,,,"2,030","40,341",350,"2,376",140,520,- ,- ,43,429,53,553,1,... 
,Machos,,"1,264","17,303",244,"1,265",93,298,- ,- ,32,203,39,370,1,... 
,Fêmeas reprodutoras,,"1,051","19,988",158,"1,029",41,190,- ,- ,22,224,22,177,- ,- 
,Fêmeas não reprodutoras,,242,"3,050",26,82,16,32,- ,- ,2,... ,4,6,- ,- 
Bovinos de 2 anos e mais,,,"2,273","67,112",370,"3,937",118,493,4,9,54,811,52,623,- ,- 
,Machos,,632,"3,438",75,186,13,21,- ,- ,16,43,11,16,- ,- 
,Novilhas reprodutoras,,789,"14,562",126,"1,153",30,206,1,... ,27,350,16,102,- ,- 
,Novilhas não reprodutoras,,57,890,8,37,4,6,- ,- ,1,... ,- ,- ,- ,- 
,Vacas leiteiras,,962,"28,478",149,"1,406",26,177,3,7,21,201,31,213,- ,- 
,Outras vacas,,698,"19,744",119,"1,155",59,83,- ,- ,8,204,10,292,- ,- 
SUÍNOS,,,"10,993","1,072,748","2,128","53,776",990,"4,737",106,231,217,"6,210",216,"3,925",6,39
,Suínos com menos de 20 kg de PV,,"2,995","299,875",232,"21,088",88,"1,196",6,33,33,"1,727",17,"1,473",2,... 
,Fêmeas reprodutoras de 50 kg de PV e mais,,"4,283","124,993",533,"5,745",256,852,3,5,50,907,34,510,2,... 
,Outros suínos,,"9,063","647,880","1,790","26,943",820,"2,689",100,193,198,"3,576",191,"1,942",5,20
OVINOS,,,"10,901","263,238","3,873","51,599","1,384","8,250",107,624,620,"8,795",632,"7,826",28,433
,Fêmeas reprodutoras,,"10,452","222,276","3,760","44,679","1,337","6,780",102,552,608,"7,774",613,"6,696",28,351
,Outros ovinos,,"6,713","40,962","1,988","6,920",707,"1,470",28,72,310,"1,021",394,"1,130",17,82
CAPRINOS,,,"5,274","46,562","3,182","16,515","1,037","4,763",213,685,424,"2,007",390,"2,508",10,90
,Fêmeas reprodutoras,,"5,170","40,863","3,154","14,522","1,025","4,090",212,638,418,"1,719",388,"2,205",10,85
,Outros caprinos,,"1,982","5,699",958,"1,993",358,673,37,47,135,288,144,303,4,5
EQUÍDEOS,,,"3,312","10,444",746,"1,410",248,270,43,46,81,283,143,246,6,23
,Gado equino,,"1,429","8,374",187,824,26,46,2,... ,39,241,54,149,6,21
,Fêmeas reprodutoras,,847,"3,285",99,264,11,18,2,... ,17,79,34,62,3,7
,Outros equinos,,"1,091","5,089",141,560,17,28,1,... ,34,162,39,87,6,14
,Gado asinino,,"1,224","1,310",342,351,180,181,6,6,27,27,47,49,1,... 
,Gado muar,,733,760,227,235,43,43,35,35,15,15,45,48,- ,- 
COELHAS reprodutoras,,,"11,706","58,375","2,329","9,562",950,"4,448",126,328,374,885,245,"1,685",14,86
AVES,,,,,,,,,,,,,,,,
,Frangos de carne (inclui galos),,"17,363","9,710,681","3,805","1,475,951","1,411","334,583",181,"2,397",651,"473,087",558,"207,913",19,"80,229"
,Galinhas poedeiras e reprodutoras,,"25,970","4,410,908","7,226","2,396,419","2,319","1,270,575",465,"3,421","1,328","410,787",945,"7,041",43,448
,Perús,,"1,795","1,137,946",323,"144,358",97,"6,834",16,49,73,"38,324",59,347,5,22
,"Patos, Gansos e pintadas",,"7,503","394,900","1,506","12,869",430,"3,097",84,543,300,"2,668",285,"2,859",26,223
ABELHAS,,,,,,,,,,,,,,,,
,Número de colmeias povoadas,,963,"16,775",520,"7,493",209,"2,635",74,384,58,627,28,320,5,35
,Número de cortiços povoadas,,296,"1,962",134,830,49,174,30,211,6,30,10,33,1,... 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,,,,,,
