Produtor singular segundo a OTE e as classes de idade,,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,Pág.10/12
REGIÃO AGRÁRIA,,,,Bovinos para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
,Nut III,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,
,,Ourém,,,,,,,,,,
,,,Total,   2 ,   49 ,   47 ,   888 ,   90 ,   37 ,   25 ,   249 ,   7 
,,,15 - 24,- ,- ,- ,   1 ,   1 ,- ,- ,- ,- 
,,,25 - 34,- ,   3 ,   2 ,   8 ,- ,   2 ,- ,   4 ,- 
,,,35 - 44,- ,   2 ,   10 ,   71 ,   11 ,   4 ,   3 ,   28 ,- 
,,,45 - 54,   1 ,   12 ,   14 ,   158 ,   17 ,   10 ,   3 ,   53 ,   2 
,,,55 - 64,   1 ,   16 ,   14 ,   289 ,   34 ,   17 ,   6 ,   64 ,   1 
,,,>= 65,- ,   16 ,   7 ,   361 ,   27 ,   4 ,   13 ,   100 ,   4 
,,Sardoal,,,,,,,,,,
,,,Total,- ,   2 ,- ,   237 ,   1 ,   2 ,- ,   12 ,   1 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,   1 ,- ,   3 ,- ,- ,- ,- ,- 
,,,35 - 44,- ,- ,- ,   19 ,- ,- ,- ,   2 ,- 
,,,45 - 54,- ,- ,- ,   40 ,- ,- ,- ,   4 ,- 
,,,55 - 64,- ,- ,- ,   60 ,   1 ,   1 ,- ,   2 ,- 
,,,>= 65,- ,   1 ,- ,   115 ,- ,   1 ,- ,   4 ,   1 
,,Tomar,,,,,,,,,,
,,,Total,   3 ,   53 ,   16 ,   297 ,   8 ,   19 ,   4 ,   94 ,   6 
,,,15 - 24,- ,- ,   1 ,   1 ,- ,- ,- ,- ,   1 
,,,25 - 34,- ,- ,- ,   3 ,- ,- ,- ,   2 ,   1 
,,,35 - 44,   1 ,   6 ,   3 ,   20 ,   1 ,   3 ,   1 ,   6 ,- 
,,,45 - 54,   1 ,   7 ,   1 ,   49 ,   3 ,   5 ,   3 ,   18 ,   1 
,,,55 - 64,   1 ,   17 ,   6 ,   91 ,   1 ,   6 ,- ,   24 ,   1 
,,,>= 65,- ,   23 ,   5 ,   133 ,   3 ,   5 ,- ,   44 ,   2 
,,Torres Novas,,,,,,,,,,
,,,Total,   1 ,   41 ,   6 ,   124 ,   8 ,   7 ,   3 ,   69 ,   4 
,,,15 - 24,- ,   1 ,- ,- ,- ,- ,- ,   1 ,- 
,,,25 - 34,- ,   2 ,- ,   4 ,- ,   1 ,- ,   2 ,- 
,,,35 - 44,   1 ,   7 ,   1 ,   16 ,   1 ,   2 ,- ,   5 ,- 
,,,45 - 54,- ,   6 ,   1 ,   25 ,   2 ,   2 ,   1 ,   16 ,   1 
,,,55 - 64,- ,   13 ,   1 ,   32 ,   2 ,- ,- ,   17 ,   1 
,,,>= 65,- ,   12 ,   3 ,   47 ,   3 ,   2 ,   2 ,   28 ,   2 
,,Vila Nova da Barquinho,,,,,,,,,,
,,,Total,- ,   5 ,   2 ,   13 ,   1 ,- ,- ,   3 ,- 
