Produtor singular segundo a OTE e as classes de idade,,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,Pág.4/12
REGIÃO AGRÁRIA,,,,Bovinos para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
,Nut III,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,
,,Mafra,,,,,,,,,,
,,,Total,   10 ,   188 ,   72 ,   537 ,   42 ,   32 ,   52 ,   83 ,   9 
,,,15 - 24,- ,   2 ,- ,- ,- ,- ,- ,- ,   1 
,,,25 - 34,- ,   14 ,   4 ,   18 ,   2 ,- ,   2 ,   1 ,- 
,,,35 - 44,- ,   19 ,   13 ,   47 ,   3 ,   6 ,   6 ,   9 ,   4 
,,,45 - 54,   3 ,   36 ,   22 ,   95 ,   6 ,   8 ,   13 ,   15 ,- 
,,,55 - 64,   3 ,   54 ,   26 ,   176 ,   14 ,   8 ,   17 ,   31 ,   3 
,,,>= 65,   4 ,   63 ,   7 ,   201 ,   17 ,   10 ,   14 ,   27 ,   1 
,,Nazaré,,,,,,,,,,
,,,Total,- ,   7 ,   3 ,   75 ,   2 ,   6 ,   4 ,   7 ,   1 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,- ,- ,- ,- ,- ,- ,   1 
,,,35 - 44,- ,   1 ,   1 ,   8 ,- ,   1 ,- ,   2 ,- 
,,,45 - 54,- ,   2 ,   1 ,   17 ,   1 ,   1 ,   2 ,- ,- 
,,,55 - 64,- ,   2 ,   1 ,   21 ,   1 ,   1 ,- ,   4 ,- 
,,,>= 65,- ,   2 ,- ,   29 ,- ,   3 ,   2 ,   1 ,- 
,,Óbidos,,,,,,,,,,
,,,Total,   1 ,   16 ,   5 ,   171 ,   5 ,   1 ,   6 ,   11 ,   1 
,,,15 - 24,- ,- ,- ,   3 ,- ,- ,- ,- ,- 
,,,25 - 34,- ,   2 ,- ,   7 ,- ,- ,- ,- ,- 
,,,35 - 44,- ,   2 ,- ,   19 ,- ,- ,- ,   2 ,- 
,,,45 - 54,   1 ,   3 ,   2 ,   39 ,   1 ,- ,- ,- ,- 
,,,55 - 64,- ,   3 ,- ,   56 ,   2 ,- ,   3 ,   4 ,- 
,,,>= 65,- ,   6 ,   3 ,   47 ,   2 ,   1 ,   3 ,   5 ,   1 
,,Peniche,,,,,,,,,,
,,,Total,- ,   21 ,   9 ,   113 ,   2 ,- ,   3 ,   4 ,   4 
,,,15 - 24,- ,- ,- ,   3 ,- ,- ,- ,- ,- 
,,,25 - 34,- ,   2 ,   1 ,   4 ,- ,- ,   1 ,   1 ,- 
,,,35 - 44,- ,   3 ,   2 ,   9 ,- ,- ,- ,   1 ,   1 
