Efectivo animal (Lezíria do Tejo),,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,,Pág.7/7
,,,LISBOA E VALE DO TEJO,,Lezíria do Tejo,,Coruche,,Golegã,,Rio Maior,,Salvaterra de Magos,,Santarém,
,,,Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº)
BOVINOS,,,"4,642","159,317",988,"63,643",170,"16,706",7,495,108,"3,237",59,"3,039",297,"10,868"
Bovinos com menos de 1 ano,,,"3,147","51,864",700,"19,248",131,"3,557",3,104,79,"2,252",37,700,207,"3,664"
,Vitelos de carne (para abate < 1 ano),,878,"9,563",227,"3,175",7,159,- ,- ,43,863,8,82,88,729
,Outros vitelos,,"2,394","42,301",511,"16,073",128,"3,398",3,104,38,"1,389",31,618,133,"2,935"
,,Machos,"1,828","21,634",415,"7,793",103,"1,357",3,46,33,499,25,267,103,"1,898"
,,Fêmeas,"1,357","20,667",336,"8,280",105,"2,041",3,58,18,890,22,351,75,"1,037"
Bovinos de 1 a menos de 2 anos,,,"2,030","40,341",416,"11,459",89,"2,353",5,80,32,350,27,536,111,"2,488"
,Machos,,"1,264","17,303",231,"4,557",35,547,4,20,20,242,21,155,61,"1,227"
,Fêmeas reprodutoras,,"1,051","19,988",263,"6,297",74,"1,737",5,60,14,65,15,368,66,991
,Fêmeas não reprodutoras,,242,"3,050",38,605,2,... ,- ,- ,6,43,3,13,10,270
Bovinos de 2 anos e mais,,,"2,273","67,112",592,"32,936",143,"10,796",6,311,32,635,36,"1,803",162,"4,716"
,Machos,,632,"3,438",246,"1,687",93,526,4,7,10,77,15,206,20,106
,Novilhas reprodutoras,,789,"14,562",234,"7,083",67,"2,278",6,284,11,144,10,163,48,"1,072"
,Novilhas não reprodutoras,,57,890,8,278,1,... ,1,... ,- ,- ,2,... ,1,... 
,Vacas leiteiras,,962,"28,478",197,"10,202",25,"2,722",- ,- ,11,274,13,554,100,"2,803"
,Outras vacas,,698,"19,744",234,"13,686",84,"5,264",- ,- ,12,140,17,808,28,731
SUÍNOS,,,"10,993","1,072,748","2,248","342,356",367,"20,645",7,201,561,"110,269",139,"13,759",613,"96,903"
,Suínos com menos de 20 kg de PV,,"2,995","299,875",695,"90,529",29,"5,665",2,... ,317,"31,918",22,"3,591",225,"20,874"
,Fêmeas reprodutoras de 50 kg de PV e mais,,"4,283","124,993","1,076","40,579",52,"3,696",2,... ,500,"12,904",18,"1,906",390,"9,386"
,Outros suínos,,"9,063","647,880","1,834","211,248",362,"11,284",6,88,371,"65,447",127,"8,262",442,"66,643"
OVINOS,,,"10,901","263,238","2,504","72,586",236,"20,442",17,445,411,"5,644",103,"2,072","1,123","21,019"
,Fêmeas reprodutoras,,"10,452","222,276","2,415","61,936",231,"17,183",15,404,408,"4,795",100,"1,586","1,083","17,583"
,Outros ovinos,,"6,713","40,962","1,508","10,650",194,"3,259",14,41,236,849,78,486,642,"3,436"
CAPRINOS,,,"5,274","46,562",933,"11,921",130,"1,881",3,77,251,"3,362",27,171,372,"4,475"
,Fêmeas reprodutoras,,"5,170","40,863",924,"10,568",129,"1,680",3,72,250,"2,846",25,155,369,"4,010"
,Outros caprinos,,"1,982","5,699",362,"1,353",66,201,3,5,97,516,9,16,126,465
EQUÍDEOS,,,"3,312","10,444",914,"4,124",157,679,11,82,74,137,73,358,219,824
,Gado equino,,"1,429","8,374",462,"3,627",76,591,11,82,32,94,34,318,83,683
,Fêmeas reprodutoras,,847,"3,285",325,"1,650",57,296,11,42,21,56,27,132,63,254
,Outros equinos,,"1,091","5,089",345,"1,977",58,295,7,40,21,38,26,186,59,429
,Gado asinino,,"1,224","1,310",231,252,34,35,- ,- ,30,31,1,... ,84,85
,Gado muar,,733,760,239,245,53,53,- ,- ,12,12,38,39,54,56
COELHAS reprodutoras,,,"11,706","58,375","1,682","6,818",215,629,- ,- ,277,"1,711",175,572,427,"2,419"
AVES,,,,,,,,,,,,,,,,
,Frangos de carne (inclui galos),,"17,363","9,710,681","3,375","3,352,251",505,"124,338",6,104,375,"1,940,428",418,"4,134",587,"884,978"
,Galinhas poedeiras e reprodutoras,,"25,970","4,410,908","5,211","659,994",880,"6,211",5,41,423,"2,863",481,"3,127","1,324","272,306"
,Perús,,"1,795","1,137,946",389,"124,164",119,"3,480",1,... ,28,"18,068",34,103,62,"77,200"
,"Patos, Gansos e pintadas",,"7,503","394,900","1,552","22,246",258,"7,946",2,... ,120,"1,314",205,"1,915",292,"4,010"
ABELHAS,,,,,,,,,,,,,,,,
,Número de colmeias povoadas,,963,"16,775",216,"3,469",61,649,- ,- ,17,188,5,91,41,799
,Número de cortiços povoadas,,296,"1,962",91,644,31,310,- ,- ,8,66,6,23,15,99
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,,,,,,
