Principais culturas temporárias,,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,Pág.7/10
Região Agrária,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
,Nut III,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
,,Concelho,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,,Sementes de culturas forrageiras,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   15 ,   1 ,   12 ,   1 ,   3 ,o ,   1 ,... ,   2 ,... 
,Sardoal,,,,,,,,,,,
,,Culturas temporárias,   449 ,   296 ,   146 ,   92 ,   366 ,   202 ,   14 ,   9 ,   361 ,   192 
,,Cereais para grão,   163 ,   46 ,   56 ,   20 ,   114 ,   27 ,   3 ,   1 ,   111 ,   27 
,,Leguminosas secas para grão,   186 ,   24 ,   51 ,   13 ,   136 ,   12 ,- ,- ,   136 ,   12 
,,Prados temporários,   1 ,... ,- ,- ,   1 ,... ,- ,- ,   1 ,... 
,,Culturas forrageiras,   186 ,   93 ,   33 ,   15 ,   159 ,   81 ,   12 ,   9 ,   153 ,   72 
,,Batata,   138 ,   22 ,   35 ,   8 ,   103 ,   15 ,- ,- ,   103 ,   15 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   359 ,   106 ,   102 ,   39 ,   260 ,   68 ,- ,- ,   260 ,   68 
,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   2 ,... ,- ,- ,   2 ,... ,- ,- ,   2 ,... 
,Tomar,,,,,,,,,,,
,,Culturas temporárias,  1 085 ,  2 026 ,   775 ,  1 560 ,   576 ,   463 ,   18 ,   23 ,   567 ,   441 
,,Cereais para grão,   426 ,   741 ,   344 ,   695 ,   117 ,   50 ,   7 ,   6 ,   111 ,   44 
,,Leguminosas secas para grão,   210 ,   44 ,   125 ,   20 ,   106 ,   21 ,   4 ,   4 ,   104 ,   17 
,,Prados temporários,   54 ,   97 ,   34 ,   75 ,   26 ,   23 ,- ,- ,   26 ,   23 
,,Culturas forrageiras,   582 ,  1 022 ,   346 ,   691 ,   356 ,   335 ,   8 ,   13 ,   351 ,   321 
,,Batata,   57 ,   14 ,   31 ,   9 ,   30 ,   7 ,   1 ,... ,   29 ,   6 
,,Beterraba sacarina,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   5 ,   9 ,   4 ,   8 ,   1 ,... ,- ,- ,   1 ,... 
,,Culturas hortícolas,   290 ,   90 ,   173 ,   57 ,   134 ,   34 ,   1 ,... ,   133 ,   34 
,,Flores e plantas ornamentais,   6 ,   3 ,   5 ,   3 ,   1 ,... ,- ,- ,   1 ,... 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   2 ,... ,   1 ,... ,   1 ,... ,- ,- ,   1 ,... 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,,
