Explorações seundo a OTE e a dimensão económica (Grande Lisboa),,,,,,,,,,
,,,,,,,,,,1999
,,,,,,,,,,Pág.2/5
,,LISBOA E VALE DO TEJO,Grande Lisboa,Amadora,Cascais,Loures,Odivelas,Oeiras,Sintra,Vila Franca de Xira
,,expl (nº),,,,,,,,
Classes de dimensão económica (UDE),,  60 960 ,  3 586 ,   18 ,   95 ,   942 ,   69 ,   29 ,  1 650 ,   783 
,> 0 a < 2,  21 193 ,  1 238 ,   6 ,   50 ,   291 ,   32 ,   5 ,   544 ,   310 
,2 a < 4,  13 201 ,   720 ,   2 ,   21 ,   159 ,   10 ,   8 ,   365 ,   155 
,4 a < 8,  10 395 ,   610 ,   4 ,   13 ,   167 ,   13 ,   5 ,   288 ,   120 
,8 a < 16,  6 971 ,   433 ,   4 ,   6 ,   132 ,   7 ,   4 ,   208 ,   72 
,16 a < 40,  5 521 ,   390 ,- ,   3 ,   137 ,   4 ,   3 ,   188 ,   55 
,40 a < 100,  2 412 ,   131 ,   2 ,   1 ,   46 ,   2 ,   2 ,   47 ,   31 
,> = 100,  1 267 ,   64 ,- ,   1 ,   10 ,   1 ,   2 ,   10 ,   40 
OTE,,  61 615 ,  3 632 ,   19 ,   96 ,   964 ,   71 ,   34 ,  1 662 ,   786 
,Cereais e plantas olea./proteaginosas,  1 461 ,   118 ,- ,   4 ,   6 ,   1 ,   1 ,   62 ,   44 
,Culturas agrícolas diversas,  5 146 ,   317 ,   1 ,   1 ,   58 ,   1 ,   2 ,   172 ,   82 
,Horticultura,  4 735 ,  1 127 ,   1 ,   24 ,   472 ,   20 ,   3 ,   550 ,   57 
,Viticultura,  10 941 ,   298 ,- ,   1 ,   81 ,- ,- ,   36 ,   180 
,Fruticultura,  6 804 ,   235 ,   1 ,   4 ,   20 ,   3 ,   2 ,   78 ,   127 
,Olivicultura,  6 219 ,   28 ,- ,- ,   15 ,- ,   1 ,   5 ,   7 
,Culturas permanentes diversas,  7 853 ,   127 ,- ,   1 ,   22 ,   1 ,- ,   24 ,   79 
,Bovinos de leite,   402 ,   34 ,   2 ,   1 ,   6 ,   1 ,   1 ,   19 ,   4 
,Bovinos para gado/carne,   697 ,   67 ,   1 ,   3 ,   24 ,- ,- ,   31 ,   8 
,Bovinos para leite/gado/carne,   46 ,   8 ,- ,   2 ,- ,   1 ,- ,   3 ,   2 
,Ovinos/caprinos/outros herbívoros,  2 292 ,   396 ,   10 ,   34 ,   101 ,   23 ,   5 ,   147 ,   76 
,Granívoros,  1 993 ,   43 ,   1 ,   2 ,   8 ,   1 ,   2 ,   20 ,   9 
,Policultura,  8 707 ,   563 ,- ,   9 ,   82 ,   2 ,   2 ,   385 ,   83 
,Polipecuária-herbívoros,   488 ,   30 ,- ,- ,   5 ,   1 ,   3 ,   20 ,   1 
,Polipecuária-granívoros,   579 ,   44 ,- ,   6 ,   2 ,   3 ,   2 ,   28 ,   3 
,Agricultura geral e herbívoros,   423 ,   38 ,- ,   1 ,   6 ,   1 ,   3 ,   17 ,   10 
,Culturas diversas e gado,  2 174 ,   113 ,   1 ,   2 ,   34 ,   10 ,   2 ,   53 ,   11 
,Não classificadas,   655 ,   46 ,   1 ,   1 ,   22 ,   2 ,   5 ,   12 ,   3 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,
