"Culturas regadas (Oeste, Grande Lisboa e Península de Setúbal)",,,,,,,,,,,,,,
,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,Pág.2/4
REGIÃO AGRÁRIA,,,,Beterraba sacarina,Girasol,Tomate para indústria,Hortícolas              ao ar livre,"Prados, Pastagens Permanentes",Pomares excepto citrinos,Citrinos,Vinha para uva de mesa,Vinha para Vinho,Olival,Outras excepto a da horta familiar
,Nut III,,,,,,,,,,,,,
,,Concelho,,,,,,,,,,,,
LISBOA E VALE DO TEJO,,,expl (nº),   303 ,   182 ,  1 863 ,  9 049 ,   525 ,  5 711 ,  4 997 ,   193 ,   856 ,   477 ,  2 241 
,,,área regada (ha),  4 236 ,  1 858 ,  10 919 ,  12 955 ,  2 970 ,  11 053 ,  2 104 ,   264 ,  1 870 ,  1 209 ,  3 263 
,Oeste,,expl (nº),   7 ,   7 ,   243 ,  3 703 ,   68 ,  2 696 ,   421 ,   7 ,   25 ,   21 ,  1 122 
,,,área regada (ha),   58 ,   69 ,   442 ,  5 309 ,   287 ,  8 531 ,   221 ,   10 ,   15 ,   19 ,   846 
,,Alcobaça,expl (nº),- ,- ,   19 ,   363 ,   16 ,   930 ,   46 ,   2 ,   13 ,   10 ,   151 
,,,área regada (ha),- ,- ,   22 ,   347 ,   72 ,  2 668 ,   7 ,... ,   4 ,   3 ,   79 
,,Alenquer,expl (nº),   5 ,   7 ,   15 ,   34 ,   3 ,   27 ,   9 ,   1 ,   1 ,   1 ,   12 
,,,área regada (ha),   58 ,   69 ,   86 ,   79 ,   40 ,   116 ,   3 ,... ,... ,... ,   14 
,,Arruda dos Vinhos,expl (nº),- ,- ,   4 ,   36 ,- ,   1 ,   1 ,- ,   1 ,- ,   5 
,,,área regada (ha),- ,- ,   16 ,   68 ,- ,... ,... ,- ,... ,- ,   4 
,,Bombarral,expl (nº),- ,- ,   1 ,   79 ,- ,   168 ,   2 ,   1 ,- ,- ,   54 
,,,área regada (ha),- ,- ,... ,   142 ,- ,   652 ,... ,... ,- ,- ,   66 
,,Cadaval,expl (nº),- ,- ,   3 ,   14 ,- ,   282 ,   2 ,- ,- ,   3 ,   11 
,,,área regada (ha),- ,- ,   25 ,   8 ,- ,  1 121 ,... ,- ,- ,   1 ,   2 
,,Caldas da Rainha,expl (nº),   1 ,- ,   45 ,   336 ,   7 ,   546 ,   30 ,   2 ,   3 ,   4 ,   149 
,,,área regada (ha),... ,- ,   49 ,   173 ,   10 ,  1 806 ,   5 ,... ,   2 ,   3 ,   54 
,,Lourinhã,expl (nº),- ,- ,   34 ,   487 ,   3 ,   70 ,   12 ,- ,   1 ,   1 ,   57 
,,,área regada (ha),- ,- ,   45 ,   947 ,   3 ,   245 ,   3 ,- ,... ,... ,   77 
,,Mafra,expl (nº),   1 ,- ,   8 ,   652 ,   19 ,   190 ,   259 ,   1 ,- ,   1 ,   100 
,,,área regada (ha),... ,- ,   11 ,   613 ,   40 ,   285 ,   186 ,... ,- ,... ,   53 
,,Nazaré,expl (nº),- ,- ,   5 ,   188 ,   4 ,   71 ,   3 ,- ,   4 ,- ,   22 
,,,área regada (ha),- ,- ,   4 ,   406 ,   25 ,   152 ,o ,- ,o ,- ,   10 
,,Óbidos,expl (nº),- ,- ,   45 ,   341 ,   4 ,   188 ,   20 ,- ,- ,- ,   127 
,,,área regada (ha),- ,- ,   52 ,   453 ,   4 ,   700 ,   7 ,- ,- ,- ,   116 
,,Peniche,expl (nº),- ,- ,- ,   471 ,   5 ,   18 ,   8 ,- ,- ,- ,   111 
,,,área regada (ha),- ,- ,- ,  1 069 ,   79 ,   35 ,   1 ,- ,- ,- ,   94 
,,Sobral de Monte Agraço,expl (nº),- ,- ,- ,   94 ,   1 ,   9 ,   6 ,- ,   1 ,   1 ,   6 
,,,área regada (ha),- ,- ,- ,   103 ,... ,   8 ,   3 ,- ,... ,... ,   7 
,,Torres Vedras,expl (nº),- ,- ,   64 ,   608 ,   6 ,   196 ,   23 ,- ,   1 ,- ,   317 
,,,área regada (ha),- ,- ,   125 ,   901 ,   13 ,   742 ,   6 ,- ,... ,- ,   270 
,Grande Lisboa,,expl (nº),   14 ,   14 ,   44 ,  1 394 ,   54 ,   190 ,   166 ,   11 ,   17 ,   11 ,   182 
,,,área regada (ha),   426 ,   351 ,   518 ,  1 989 ,   163 ,   148 ,   60 ,   2 ,   15 ,   6 ,   304 
,,Amadora,expl (nº),- ,- ,- ,   2 ,- ,   1 ,   1 ,- ,- ,   1 ,- 
