Principais culturas temporárias,,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,Pág.2/10
Região Agrária,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
,Nut III,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
,,Concelho,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,Cadaval,,,,,,,,,,,
,,Culturas temporárias,739,"1,065",682,"1,052",75,12,4,3,71,9
,,Cereais para grão,119,150,116,148,4,2,3,2,1,... 
,,Leguminosas secas para grão,118,24,117,23,2,... ,1,... ,1,... 
,,Prados temporários,14,21,14,21,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,196,668,196,668,1,... ,- ,- ,1,... 
,,Batata,547,145,480,135,70,9,- ,- ,70,9
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,60,45,60,45,1,... ,1,... ,- ,- 
,,Flores e plantas ornamentais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Caldas da Rainha,,,,,,,,,,,
,,Culturas temporárias,"1,498","1,844","1,423","1,762",195,85,69,64,127,19
,,Cereais para grão,524,309,514,300,16,7,15,7,1,... 
,,Leguminosas secas para grão,356,84,341,77,18,7,12,5,6,2
,,Prados temporários,31,32,31,32,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,409,745,397,705,22,41,19,40,3,1
,,Batata,"1,187",311,"1,078",289,134,21,17,5,117,14
,,Beterraba sacarina,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,3,1,3,1,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,620,350,608,340,23,8,13,7,10,2
,,Flores e plantas ornamentais,14,10,14,10,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,15,2,14,2,1,... ,1,... ,- ,- 
,Lourinhã,,,,,,,,,,,
,,Culturas temporárias,"1,862","5,457","1,831","5,047",412,411,302,327,133,82
,,Cereais para grão,649,879,534,752,169,126,168,126,1,... 
,,Leguminosas secas para grão,299,109,262,93,43,14,30,11,13,4
,,Prados temporários,11,28,11,28,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,163,533,145,489,25,43,25,43,- ,- 
,,Batata,"1,607","2,247","1,563","2,122",172,126,54,52,121,74
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,854,"1,662",820,"1,562",98,101,87,96,12,5
,,Flores e plantas ornamentais,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,4,1,2,... ,2,... ,2,... ,- ,- 
,Mafra,,,,,,,,,,,
,,Culturas temporárias,"2,022","5,977","1,948","5,856",201,117,62,84,143,34
,,Cereais para grão,692,"1,361",680,"1,343",26,18,23,18,3,1
