Forma de exploração da SAU e contabilidade agrícola,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,Pág.2/2
REGIÃO AGRÁRIA,,,Forma de Exploração da SAU,,,,,,Contabilidade agrícola,,,,,
,Nut III,,Conta Própria,,Arrendamento,,Outras formas,,Contabilidade organizada,,Registo de receitas e despesas,,Outra situação,
,,Concelho,Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha)
,Médio Tejo,,  13 301 ,  45 949 ,   202 ,  2 084 ,   526 ,  3 361 ,   571 ,  15 925 ,   501 ,  4 538 ,  12 426 ,  30 931 
,,Abrantes,  2 091 ,  14 684 ,   35 ,   512 ,   59 ,   418 ,   105 ,  6 571 ,   209 ,  1 607 ,  1 825 ,  7 435 
,,Alcanena,   826 ,  3 411 ,   16 ,   158 ,   78 ,   306 ,   39 ,   752 ,   74 ,   827 ,   731 ,  2 296 
,,Constância,   114 ,  1 016 ,   2 ,... ,   4 ,   6 ,   9 ,   770 ,   5 ,   59 ,   104 ,   222 
,,Entroncamento,   43 ,   137 ,   1 ,... ,   4 ,   17 ,   2 ,... ,   2 ,... ,   40 ,   102 
,,Ferreira do Zêzere,  1 437 ,  3 866 ,   8 ,   27 ,   6 ,   14 ,   41 ,  1 338 ,   28 ,   152 ,  1 373 ,  2 416 
,,Ourém,  3 543 ,  6 249 ,   18 ,   116 ,   160 ,   147 ,   106 ,   423 ,   33 ,   149 ,  3 424 ,  5 939 
,,Sardoal,   694 ,  1 281 ,   5 ,   43 ,   26 ,   30 ,   18 ,   77 ,   4 ,   46 ,   686 ,  1 231 
,,Tomar,  2 466 ,  5 998 ,   30 ,   194 ,   75 ,  1 713 ,   106 ,  2 679 ,   77 ,   747 ,  2 322 ,  4 480 
,,Torres Novas,  2 006 ,  8 975 ,   85 ,   982 ,   103 ,   353 ,   138 ,  3 169 ,   63 ,   593 ,  1 847 ,  6 546 
,,Vila Nova da Barquinha,   81 ,   332 ,   2 ,... ,   11 ,   357 ,   7 ,   93 ,   6 ,   337 ,   74 ,   264 
,Lezíria do Tejo,,  14 147 ,  155 721 ,  1 610 ,  42 858 ,   954 ,  21 627 ,  2 392 ,  161 740 ,  1 717 ,  24 919 ,  11 044 ,  33 540 
,,Almeirim,  1 296 ,  7 053 ,   242 ,  1 629 ,   31 ,   542 ,   172 ,  3 721 ,   243 ,  3 179 ,   926 ,  2 324 
,,Alpiarça,   625 ,  7 545 ,   154 ,  1 752 ,   33 ,   373 ,   169 ,  7 709 ,   184 ,  1 115 ,   323 ,   844 
,,Azambuja,  1 537 ,  7 917 ,   76 ,  2 309 ,   127 ,  1 090 ,   124 ,  6 607 ,   173 ,  1 293 ,  1 316 ,  3 415 
,,Benavente,   557 ,  26 385 ,   160 ,  9 047 ,   67 ,  1 235 ,   260 ,  34 262 ,   45 ,   704 ,   377 ,  1 703 
,,Cartaxo,  1 011 ,  6 494 ,   63 ,  1 239 ,   51 ,   343 ,   131 ,  4 698 ,   164 ,  1 526 ,   770 ,  1 851 
,,Chamusca,   527 ,  15 795 ,   121 ,  2 249 ,   58 ,  4 084 ,   204 ,  18 087 ,   45 ,  2 718 ,   360 ,  1 323 
,,Coruche,  1 260 ,  39 433 ,   277 ,  18 663 ,   137 ,  9 366 ,   410 ,  59 157 ,   114 ,  4 222 ,   938 ,  4 086 
,,Golegã,   239 ,  4 527 ,   82 ,   964 ,   20 ,   93 ,   155 ,  5 221 ,   25 ,   143 ,   81 ,   221 
,,Rio Maior,  2 034 ,  7 042 ,   57 ,   495 ,   88 ,   283 ,   196 ,  1 812 ,   227 ,  1 415 ,  1 729 ,  4 591 
,,Salvaterra de Magos,   844 ,  9 294 ,   169 ,  1 783 ,   99 ,   292 ,   251 ,  9 670 ,   57 ,   490 ,   612 ,  1 211 
,,Santarém,  4 217 ,  24 236 ,   209 ,  2 728 ,   243 ,  3 926 ,   320 ,  10 796 ,   440 ,  8 114 ,  3 612 ,  11 971 
"Fonte:  INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,,,,
