Produtor singular segundo a OTE e as classes de idade,,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,Pág.8/12
REGIÃO AGRÁRIA,,,,Bovinos para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
,Nut III,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,
,,Palmela,,,,,,,,,,
,,,Total,- ,   121 ,   107 ,   347 ,   18 ,   24 ,   5 ,   91 ,   67 
,,,15 - 24,- ,   7 ,   2 ,- ,- ,   2 ,- ,   1 ,- 
,,,25 - 34,- ,   10 ,   5 ,   16 ,- ,- ,- ,   3 ,   6 
,,,35 - 44,- ,   17 ,   12 ,   28 ,   2 ,   3 ,   1 ,   3 ,   11 
,,,45 - 54,- ,   20 ,   29 ,   71 ,   2 ,   6 ,   2 ,   27 ,   15 
,,,55 - 64,- ,   32 ,   25 ,   102 ,   9 ,   12 ,   1 ,   35 ,   19 
,,,>= 65,- ,   35 ,   34 ,   130 ,   5 ,   1 ,   1 ,   22 ,   16 
,,Seixal,,,,,,,,,,
,,,Total,   1 ,   21 ,   2 ,   14 ,   2 ,   2 ,   1 ,   5 ,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,   2 ,- ,- ,- ,- ,- ,- ,- 
,,,35 - 44,- ,   3 ,- ,- ,   1 ,- ,- ,- ,- 
,,,45 - 54,- ,   7 ,- ,   2 ,   1 ,- ,   1 ,- ,- 
,,,55 - 64,   1 ,   7 ,   1 ,   5 ,- ,   2 ,- ,   3 ,- 
,,,>= 65,- ,   2 ,   1 ,   7 ,- ,- ,- ,   2 ,- 
,,Sesimbra,,,,,,,,,,
,,,Total,   1 ,   57 ,   11 ,   65 ,   6 ,   6 ,   4 ,   13 ,   6 
,,,15 - 24,- ,   1 ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,   2 ,- ,   1 ,   1 ,- ,- ,- ,- 
,,,35 - 44,- ,   5 ,   1 ,   5 ,   1 ,- ,   2 ,- ,   1 
,,,45 - 54,- ,   10 ,   3 ,   7 ,- ,   4 ,- ,   3 ,   2 
,,,55 - 64,- ,   18 ,   2 ,   23 ,   1 ,- ,- ,   1 ,   1 
,,,>= 65,   1 ,   21 ,   5 ,   29 ,   3 ,   2 ,   2 ,   9 ,   2 
,,Setúbal,,,,,,,,,,
,,,Total,   1 ,   59 ,   3 ,   61 ,   13 ,   4 ,- ,   25 ,   2 
,,,15 - 24,- ,   1 ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,   6 ,- ,   1 ,   1 ,- ,- ,   1 ,   1 
,,,35 - 44,- ,   9 ,- ,   3 ,- ,- ,- ,- ,- 
,,,45 - 54,- ,   11 ,   2 ,   15 ,   4 ,   2 ,- ,   3 ,- 
,,,55 - 64,   1 ,   17 ,   1 ,   19 ,   2 ,   2 ,- ,   11 ,   1 
,,,>= 65,- ,   15 ,- ,   23 ,   6 ,- ,- ,   10 ,- 
,Médio Tejo,,,,,,,,,,,
,,,Total,   9 ,   264 ,   86 ,  2 016 ,   145 ,   79 ,   46 ,   650 ,   22 
,,,15 - 24,- ,   1 ,   1 ,   3 ,   1 ,- ,- ,   2 ,   1 
,,,25 - 34,- ,   9 ,   3 ,   31 ,   1 ,   3 ,   1 ,   15 ,   1 
,,,35 - 44,   4 ,   28 ,   19 ,   172 ,   20 ,   9 ,   4 ,   67 ,   1 
,,,45 - 54,   2 ,   44 ,   19 ,   354 ,   36 ,   22 ,   8 ,   148 ,   6 
,,,55 - 64,   3 ,   78 ,   27 ,   603 ,   47 ,   29 ,   9 ,   161 ,   3 
,,,>= 65,- ,   104 ,   17 ,   853 ,   40 ,   16 ,   24 ,   257 ,   10 
,,Abrantes,,,,,,,,,,
,,,Total,- ,   72 ,   2 ,   231 ,   16 ,   6 ,   12 ,   71 ,   3 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,   1 ,   1 ,   5 ,   1 ,- ,- ,   4 ,- 
,,,35 - 44,- ,   9 ,- ,   17 ,   2 ,- ,- ,   8 ,   1 
,,,45 - 54,- ,   12 ,- ,   38 ,   5 ,   2 ,   1 ,   13 ,   1 
