Principais culturas permanentes (Médio Tejo e Lezíria do Tejo),,,,,,,,,,,,,,
,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,Pág.2/2
REGIÃO AGRÁRIA,,,,Culturas Permanentes,Frutos frescos,Citrinos,Frutos sub-tropicais,Frutos secos,Olival,Vinha,Viveiros,Chá,Vime,Outras culturas permanentes
,Nut III,,,,,,,,,,,,,
,,Concelho,,,,,,,,,,,,
LISBOA E VALE DO TEJO,,,expl (nº),  47 782 ,  15 986 ,  8 044 ,   70 ,  1 352 ,  19 878 ,  31 811 ,   187 ,- ,   3 ,   17 
,,,área (ha),  117 590 ,  24 607 ,  2 780 ,   10 ,   738 ,  36 831 ,  52 081 ,   504 ,- ,o ,   13 
,Médio Tejo,,expl (nº),  12 951 ,  3 235 ,  2 097 ,   23 ,   748 ,  12 202 ,  6 830 ,   5 ,- ,   1 ,   7 
,,,área (ha),  30 153 ,  2 423 ,   472 ,   1 ,   236 ,  23 541 ,  3 469 ,   1 ,- ,... ,   7 
,,Abrantes,expl (nº),  1 967 ,   304 ,   339 ,   1 ,   17 ,  1 844 ,   423 ,- ,- ,- ,   7 
,,,área (ha),  7 824 ,   343 ,   169 ,... ,   19 ,  7 009 ,   277 ,- ,- ,- ,   7 
,,Alcanena,expl (nº),   824 ,   358 ,   109 ,   3 ,   59 ,   817 ,   102 ,- ,- ,- ,- 
,,,área (ha),  2 920 ,   158 ,   6 ,o ,   4 ,  2 719 ,   29 ,- ,- ,- ,- 
,,Constância,expl (nº),   113 ,   15 ,   30 ,- ,   1 ,   109 ,   3 ,- ,- ,- ,- 
,,,área (ha),   752 ,   23 ,   13 ,- ,... ,   716 ,o ,- ,- ,- ,- 
,,Entroncamento,expl (nº),   42 ,   28 ,   39 ,   1 ,   3 ,   27 ,   12 ,   1 ,- ,- ,- 
,,,área (ha),   63 ,   19 ,   9 ,... ,o ,   28 ,   6 ,... ,- ,- ,- 
,,Ferreira do Zêzere,expl (nº),  1 429 ,   288 ,   172 ,   6 ,   116 ,  1 387 ,  1 067 ,- ,- ,- ,- 
,,,área (ha),  2 375 ,   228 ,   18 ,o ,   30 ,  1 719 ,   380 ,- ,- ,- ,- 
,,Ourém,expl (nº),  3 450 ,   397 ,   307 ,   8 ,   80 ,  3 171 ,  2 583 ,   1 ,- ,- ,- 
,,,área (ha),  4 404 ,   132 ,   28 ,   1 ,   12 ,  3 011 ,  1 220 ,... ,- ,- ,- 
,,Sardoal,expl (nº),   692 ,   86 ,   85 ,- ,   5 ,   686 ,   135 ,- ,- ,   1 ,- 
,,,área (ha),  1 171 ,   24 ,   21 ,- ,   4 ,  1 045 ,   78 ,- ,- ,... ,- 
,,Tomar,expl (nº),  2 396 ,   435 ,   388 ,   2 ,   87 ,  2 215 ,  1 585 ,   1 ,- ,- ,- 
,,,área (ha),  4 156 ,   190 ,   44 ,... ,   54 ,  2 959 ,   909 ,... ,- ,- ,- 
,,Torres Novas,expl (nº),  1 959 ,  1 290 ,   585 ,   2 ,   375 ,  1 873 ,   907 ,   2 ,- ,- ,- 
,,,área (ha),  6 263 ,  1 299 ,   156 ,... ,   111 ,  4 145 ,   553 ,... ,- ,- ,- 
,,Vila Nova da Barquinha,expl (nº),   79 ,   34 ,   43 ,- ,   5 ,   73 ,   13 ,- ,- ,- ,- 
