Máquinas e equipamentos (Médio Tejo),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,Pág.4/5
,,,,LISBOA E VALE DO TEJO,Médio Tejo,Abrantes,Alcanena,Constância,Entroncamento,Ferreira do Zêzere,Ourém,Sardoal,Tomar,Torres Novas,Vila Nova da Barquinha
Explorações que utilizam tractores,,,expl (nº),  51 103 ,  10 934 ,  1 496 ,   713 ,   61 ,   40 ,  1 291 ,  2 935 ,   561 ,  1 883 ,  1 883 ,   71 
,Colhedores de forragem,,expl (nº),   500 ,   48 ,   5 ,   1 ,   2 ,- ,   11 ,   7 ,- ,   12 ,   10 ,- 
,,,máq (nº),   578 ,   54 ,   7 ,... ,... ,- ,   11 ,   7 ,- ,   13 ,   13 ,- 
,Enfardadeiras,,expl (nº),  1 136 ,   145 ,   23 ,   15 ,   1 ,- ,   12 ,   28 ,- ,   19 ,   47 ,- 
,,,máq (nº),  1 247 ,   151 ,   24 ,   15 ,... ,- ,   12 ,   30 ,- ,   20 ,   49 ,- 
,Ceifeiras-debulhadoras,,expl (nº),   686 ,   177 ,   19 ,- ,   1 ,- ,   12 ,   73 ,   1 ,   53 ,   18 ,- 
,,,máq (nº),   758 ,   185 ,   22 ,- ,... ,- ,   13 ,   73 ,... ,   55 ,   20 ,- 
,Secadores de cereais,,expl (nº),   188 ,   24 ,   12 ,- ,   1 ,- ,- ,   1 ,- ,   1 ,   9 ,- 
,,,máq (nº),   208 ,   25 ,   13 ,- ,... ,- ,- ,... ,- ,... ,   9 ,- 
,Viradores de feno,,expl (nº),  1 246 ,   127 ,   13 ,   18 ,   1 ,- ,   8 ,   3 ,   1 ,   12 ,   70 ,   1 
,,,máq (nº),  1 363 ,   133 ,   14 ,   18 ,... ,- ,   8 ,   3 ,... ,   12 ,   75 ,... 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo."
