"Características da habitação do produtor singular (Total de explorações com Produtor residente na exploração, Idade da habitação < 30 anos)",,,,,,,,
,,,,,,,1999,
,,,,,,,pág. 2/6,
Região Agrícola,,,Total de explorações com produtor residente na exploração,,,,,
Nut III,,,Total,Electricidade,Água Canalizada,Instalação Sanitária,Electrodomésticos,
Concelho,,,Idade da habitação < 30 anos,,,,,
,,,expl. (nº),,,,,
BEIRA INTERIOR,,,"5,823","5,744","5,695","5,647","5,729",
,Pinhal Interior Sul ,,981,981,974,969,978,
,,Mação,50,50,50,49,50,
,,Oleiros,301,301,298,299,301,
,,Proença-a-Nova,87,87,87,87,87,
,,Sertã,518,518,514,509,515,
,,Vila de Rei,25,25,25,25,25,
,Serra da Estrela,,601,595,594,588,594,
,,Fornos de Algodres,137,135,133,132,135,
,,Gouveia,258,256,257,253,255,
,,Seia,206,204,204,203,204,
,Beira Interior Norte,,"1,871","1,851","1,834","1,812","1,845",
,,Almeida,128,126,125,124,125,
,,Celorico da Beira,196,193,190,188,191,
,,Figueira de Castelo Rodrigo,129,129,128,127,129,
,,Guarda,542,539,534,527,537,
,,Manteigas,39,38,39,39,38,
,,Meda,79,78,75,71,77,
,,Pinhel,319,317,317,314,317,
,,Sabugal,310,307,303,301,307,
,,Trancoso,129,124,123,121,124,
,Beira Interior Sul,,821,803,795,785,802,
,,Castelo Branco,382,381,378,376,381,
,,Idanha-a-Nova,179,169,161,159,170,
,,Penamacor,166,159,162,157,158,
,,Vila Velha de Ródão,94,94,94,93,93,
,Cova da Beira,,"1,549","1,514","1,498","1,493","1,510",
,,Belmonte,102,100,99,99,100,
,,Covilhã,530,513,518,519,513,
,,Fundão,917,901,881,875,897,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
