Explorações segundo a OTE e a dimensão económica (Beira Interior Sul),,,,,,
,,,,,,1999
,,,,,,pág. 4/5
,,Beira Interior Sul,Castelo Branco,Idanha-a-Nova,Penamacor,Vila Velha de Rodão
,,expl (nº),,,,
Classes de dimensão económica (UDE),,"9,656","4,740","2,143","1,644","1,129"
,> 0 a < 2,"6,658","3,386","1,279","1,267",726
,2 a < 4,"1,431",696,322,184,229
,4 a < 8,710,317,195,90,108
,8 a < 16,313,127,100,56,30
,16 a < 40,286,127,102,31,26
,40 a < 100,163,63,83,10,7
,> = 100,95,24,62,6,3
OTE,,"9,656","4,740","2,143","1,644","1,129"
,Cereais e plantas olea./proteaginosas,87,12,62,11,2
,Culturas agrícolas diversas,119,36,44,31,8
,Horticultura,31,18,7,5,1
,Viticultura,129,65,15,48,1
,Fruticultura,91,42,26,12,11
,Olivicultura,"3,346","1,618",651,466,611
,Culturas permanentes diversas,"1,173",658,195,218,102
,Bovinos de leite,13,2,7,3,1
,Bovinos para gado/carne,42,10,29,3,- 
,Bovinos para leite/gado/carne,8,4,3,1,- 
,Ovinos/caprinos/outros herbívoros,"1,117",520,367,135,95
,Granívoros,38,20,6,8,4
,Policultura,"1,193",594,208,300,91
,Polipecuária-herbívoros,473,213,128,104,28
,Polipecuária-granívoros,55,25,10,15,5
,Agricultura geral e herbívoros,93,27,33,32,1
,Culturas diversas e gado,"1,648",876,352,252,168
,Não classificadas,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",

,
,













,
