"Produtor singular segundo a OTE e as Classes de Idade  (Cova da Beira, página 2)",,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 10/10
Região Agrária,,,Bovinos para leite / gado / carne,Ovinos / caprinos / out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
Nut III,,,,,,,,,,,
Concelho,,,nº de indivíduos,,,,,,,,
Cova da Beira,,,,,,,,,,,
,,Total,51,597,36,"1,769",425,84,157,816,3
,,15 - 24,1,1,- ,5,- ,- ,- ,1,- 
,,25 - 34,4,35,- ,22,7,2,1,14,- 
,,35 - 44,9,107,7,142,35,6,12,69,- 
,,45 - 54,13,109,9,236,69,15,20,123,- 
,,55 - 64,16,161,7,498,136,33,42,222,- 
,,>= 65,8,184,13,866,178,28,82,387,3
,Belmonte,,,,,,,,,,
,,Total,1,85,3,242,50,3,25,56,1
,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,25 - 34,1,3,- ,3,1,- ,- ,- ,- 
,,35 - 44,- ,19,- ,16,4,- ,- ,3,- 
,,45 - 54,- ,17,- ,27,10,- ,3,12,- 
,,55 - 64,- ,22,1,80,15,1,8,9,- 
,,>= 65,- ,24,2,116,20,2,14,32,1
,Covilhã,,,,,,,,,,
,,Total,34,181,28,617,147,54,51,256,- 
,,15 - 24,1,- ,- ,2,- ,- ,- ,1,- 
,,25 - 34,2,15,- ,8,2,1,- ,6,- 
,,35 - 44,8,31,5,66,19,4,4,27,- 
,,45 - 54,9,34,6,89,27,10,9,44,- 
,,55 - 64,9,47,6,174,49,23,11,74,- 
,,>= 65,5,54,11,278,50,16,27,104,- 
,Fundão,,,,,,,,,,
,,Total,16,331,5,910,228,27,81,504,2
,,15 - 24,- ,1,- ,3,- ,- ,- ,- ,- 
,,25 - 34,1,17,- ,11,4,1,1,8,- 
,,35 - 44,1,57,2,60,12,2,8,39,- 
,,45 - 54,4,58,3,120,32,5,8,67,- 
,,55 - 64,7,92,- ,244,72,9,23,139,- 
,,>= 65,3,106,- ,472,108,10,41,251,2
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,
