"Efectivo animal (Pinhal Interior Sul, página 2)",,,,,,,,,,,,
,,,,,,,,1999,,,,
,,,,,,,,pág. 2/7,,,,
,,,Proença-a-Nova,,Sertã,,Vila de Rei,,,,,
,,,Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),,,,
BOVINOS,,,77,468,296,800,9,55,,,,
Bovinos com menos de 1 ano,,,46,145,112,179,4,13,,,,
,Vitelos de carne (para abate < 1 ano),,41,138,73,108,1,... ,,,,
,Outros vitelos,,5,7,45,71,3,12,,,,
,,Machos,3,5,18,30,2,... ,,,,
,,Fêmeas,2,... ,31,41,2,... ,,,,
Bovinos de 1 a menos de 2 anos,,,31,297,68,198,1,... ,,,,
,Machos,,22,264,50,155,1,... ,,,,
,Fêmeas reprodutoras,,7,9,15,35,- ,- ,,,,
,Fêmeas não reprodutoras,,4,24,5,8,- ,- ,,,,
Bovinos de 2 anos e mais,,,13,26,186,423,8,40,,,,
,Machos,,6,15,29,44,3,3
,Novilhas reprodutoras,,1,... ,13,57,1,... 
,Novilhas não reprodutoras,,- ,- ,1,... ,- ,- 
,Vacas leiteiras,,6,7,139,302,4,8
,Outras vacas,,1,... ,9,19,1,... 
SUÍNOS,,,705,"1,685","1,136","10,275",198,"1,028"
,Suínos com menos de 20 kg de PV,,43,243,105,"2,738",2,... 
,Fêmeas reprodutoras de 50 kg de PV e mais,,16,81,102,"1,140",5,87
,Outros suínos,,670,"1,361","1,041","6,397",198,694
OVINOS,,,170,"1,370",314,"2,762",43,253
,Fêmeas reprodutoras,,134,"1,059",310,"2,276",42,211
,Outros ovinos,,91,311,147,486,13,42
CAPRINOS,,,"1,110","9,460","1,497","7,147",329,"1,102"
,Fêmeas reprodutoras,,"1,109","8,601","1,491","6,118",328,"1,062"
,Outros caprinos,,308,859,397,"1,029",29,40
EQUÍDEOS,,,614,669,257,272,103,110
,Gado equino,,9,21,22,32,3,7
,,Fêmeas reprodutoras,1,... ,3,6,2,... 
,,Outros equinos,9,17,21,26,1,... 
,Gado asinino,,181,210,62,65,19,20
,Gado muar,,433,438,175,175,82,83
COELHAS reprodutoras,,,376,847,767,"1,716",104,212
AVES,,,,,,,,
,Frangos de carne (inclui galos),,826,"8,544","1,223","11,393",158,"6,316"
,Galinhas poedeiras e reprodutoras,,"1,446","12,453","2,101","19,034",407,"32,223"
,Perús,,59,174,51,182,11,58
,"Patos, Gansos e pintadas",,313,"1,951",554,"3,031",40,225
ABELHAS,,,,,,,,
,Número de colmeias povoadas,,198,"1,936",264,"1,396",80,903
,Número de cortiços povoadas,,279,"5,307",202,"1,019",84,696
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,
