modelname,GRID_NO,_NAME_,           1,           2,           3,           4,           5,           6,           7,           8,           9,          10,          11,          12
Asco_3_12,38168,AVG_of_Proportion_of_events,0,0,0,0,"0,0448028673835125","0,0462962962962963",0,"0,0320020481310804","0,165343915343915","1,33128520225294","0,317460317460317",0
Asco_3_12,38169,AVG_of_Proportion_of_events,"0,00640040962621614",0,0,0,"0,128008192524322","0,158730158730159",0,0,"0,324074074074074","1,20327700972862","0,608465608465608",0
Asco_3_12,39008,AVG_of_Proportion_of_events,"0,470430107526882","0,0248015873015873",0,0,"0,17921146953405","0,0925925925925926","0,649641577060932","0,0896057347670251","1,41203703703704","3,71863799283154","1,875","0,940860215053763"
Asco_3_12,39009,AVG_of_Proportion_of_events,0,0,0,0,0,"0,25462962962963","0,0224014336917563","0,0224014336917563","1,27314814814815","3,53942652329749","0,949074074074074",0
Asco_3_12,39010,AVG_of_Proportion_of_events,"0,134408602150538","0,0496031746031746",0,0,"0,112007168458781","0,25462962962963","0,492831541218638","0,156810035842294","1,31944444444444","3,71863799283154","2,91666666666667","0,17921146953405"
Asco_3_12,39125,AVG_of_Proportion_of_events,0,0,0,"0,138888888888889","0,192012288786482","0,171957671957672","0,0640040962621608","0,108806963645673","0,330687830687831","1,63850486431132","0,462962962962963","0,14720942140297"
Asco_3_12,39126,AVG_of_Proportion_of_events,0,0,0,"0,0595238095238095","0,0320020481310804","0,271164021164021","0,0256016385048643","0,134408602150538","1,21693121693122","2,310547875064","1,42195767195767","0,0576036866359447"
Asco_3_12,39127,AVG_of_Proportion_of_events,0,0,0,0,"0,0576036866359447","0,0793650793650792","0,0640040962621608","0,0896057347670255","0,793650793650794","1,20327700972862","0,588624338624339",0
Asco_3_12,39128,AVG_of_Proportion_of_events,0,0,0,0,"0,185611879160266","0,152116402116401","0,0640040962621608","0,204813108038915","0,998677248677249","3,01459293394777","1,50793650793651","0,108806963645673"
Asco_3_12,39169,AVG_of_Proportion_of_events,0,0,0,0,"0,0832053251408091","0,0396825396825397",0,0,"0,152116402116402","0,761648745519713","0,595238095238095","0,0320020481310804"
Asco_3_12,40125,AVG_of_Proportion_of_events,0,0,0,"0,0529100529100529","0,108806963645673","0,224867724867725","0,102406554019457","0,211213517665131","0,866402116402116","1,5937019969278","0,674603174603175","0,0320020481310804"
Asco_3_12,40126,AVG_of_Proportion_of_events,0,0,0,0,0,"0,132275132275132","0,0320020481310804","0,0128008192524322","0,714285714285714","0,428827444956477","0,0661375661375661",0
Asco_3_12,40127,AVG_of_Proportion_of_events,0,0,0,0,0,"0,0595238095238095","0,0128008192524322","0,0640040962621608","1,11772486772487","1,01126472094214","0,0396825396825397",0
