Principais culturas temporárias (Página 8),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 8/8
Região Agrária,,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
,Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
,,Concelho,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,Entre Douro e Vouga,,,,,,,,,,,,
,,,Culturas temporárias,"4,945","12,650","4,928","6,525","4,759","6,133","4,678","5,754","1,706",373
,,,Cereais para grão,"4,343","3,192","4,302","3,021","1,007",166,338,83,736,77
,,,Leguminosas secas para grão,"1,710",305,"1,646",291,223,13,92,6,147,5
,,,Prados temporários,387,135,374,134,21,1,- ,- ,21,1
,,,Culturas forrageiras,"4,728","8,416","1,778","2,587","4,657","5,839","4,617","5,575","1,502",264
,,,Batata,"4,188",438,"4,097",416,434,19,30,3,405,16
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,174,46,153,40,31,4,19,1,13,o 
,,,Flores e plantas ornamentais,38,3,38,2,2,... ,- ,- ,2,... 
,,,Sementes de culturas forrageiras,346,103,34,18,316,84,313,79,59,4
,,,Sementes e propágulos de outras culturas não lenhosas,1,... ,- ,- ,1,... ,1,... ,- ,- 
,,,Outras culturas temporárias,3,o ,1,... ,2,... ,2,... ,- ,- 
,,Arouca,,,,,,,,,,,
,,,Culturas temporárias,"1,654","4,172","1,645","2,137","1,601","2,036","1,579","1,865",628,171
,,,Cereais para grão,"1,440","1,076","1,430","1,023",175,52,68,39,112,12
,,,Leguminosas secas para grão,441,51,440,48,46,2,- ,- ,46,2
,,,Prados temporários,120,46,111,45,11,1,- ,- ,11,1
,,,Culturas forrageiras,"1,618","2,823",810,871,"1,593","1,955","1,572","1,805",568,150
,,,Batata,"1,539",137,"1,516",132,77,4,- ,- ,77,4
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
