Produtor singular segundo a OTE e as classes de idade (Página 3),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 3/10
Região Agrária,,,,Total,Cereais Plantas olea./prot.,Culturas agrícolas diversas,Horticultura,Viticultura,Fruticultura,Olivicultura,Culturas permanentes diversas,Bovinos                de leite,Bovinos para gado/carne
,Nut III,,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,,
,Cávado,,,,,,,,,,,,
,,,Total,"11,270",62,759,454,550,98,- ,227,"1,465",482
,,,15 - 24,39,- ,5,5,1,- ,- ,1,15,3
,,,25 - 34,438,4,23,31,14,3,- ,6,130,35
,,,35 - 44,"1,432",4,59,77,37,12,- ,19,310,87
,,,45 - 54,"2,466",9,132,122,81,12,- ,34,450,125
,,,55 - 64,"3,230",16,188,111,141,31,- ,67,341,139
,,,>= 65,"3,665",29,352,108,276,40,- ,100,219,93
,,Amares,,,,,,,,,,,
,,,Total,888,- ,38,13,78,38,- ,83,5,3
,,,15 - 24,1,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,25,- ,- ,- ,1,1,- ,3,- ,- 
,,,35 - 44,109,- ,4,1,7,6,- ,9,2,- 
,,,45 - 54,179,- ,8,6,15,3,- ,10,2,- 
,,,55 - 64,240,- ,8,4,17,8,- ,26,1,2
,,,>= 65,334,- ,18,2,38,20,- ,35,- ,1
,,Barcelos,,,,,,,,,,,
,,,Total,"3,963",18,317,78,174,12,- ,56,"1,145",274
,,,15 - 24,17,- ,1,- ,- ,- ,- ,1,11,3
,,,25 - 34,189,- ,10,13,2,1,- ,1,104,16
,,,35 - 44,526,2,30,20,10,1,- ,5,253,46
,,,45 - 54,943,3,54,17,25,2,- ,10,338,82
,,,55 - 64,"1,100",4,72,17,43,3,- ,16,279,89
,,,>= 65,"1,188",9,150,11,94,5,- ,23,160,38
,,Braga,,,,,,,,,,,
,,,Total,"1,703",17,202,23,103,18,- ,37,95,46
,,,15 - 24,4,- ,2,1,- ,- ,- ,- ,- ,- 
,,,25 - 34,43,1,7,- ,3,- ,- ,- ,7,9
,,,35 - 44,173,- ,12,5,4,- ,- ,3,15,8
,,,45 - 54,287,3,26,5,13,1,- ,4,31,8
,,,55 - 64,511,6,47,2,30,8,- ,16,16,10
,,,>= 65,685,7,108,10,53,9,- ,14,26,11
,,Esposende,,,,,,,,,,,
,,,Total,"1,314",2,45,325,12,- ,- ,4,191,23
