Produtor singular segundo a OTE e as classes de idade (Página 1),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 1/10
Região Agrária,,,,Total,Cereais Plantas olea./prot.,Culturas agrícolas diversas,Horticultura,Viticultura,Fruticultura,Olivicultura,Culturas permanentes diversas,Bovinos                de leite,Bovinos para gado/carne
,Nut III,,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,,
Entre Douro e Minho,,,,,,,,,,,,,
,,,Total,"66,580",317,"4,018","2,026","7,215",491,7,"1,176","4,565","2,215"
,,,15 - 24,227,1,13,30,20,1,- ,5,46,18
,,,25 - 34,"2,867",10,148,161,243,26,1,40,408,157
,,,35 - 44,"8,978",50,412,378,768,55,- ,134,984,377
,,,45 - 54,"14,026",50,717,522,"1,357",105,- ,215,"1,304",506
,,,55 - 64,"18,662",63,"1,032",444,"1,802",133,2,319,"1,078",570
,,,>= 65,"21,820",143,"1,696",491,"3,025",171,4,463,745,587
,Minho Lima,,,,,,,,,,,,
,,,Total,"16,511",71,590,127,"1,743",33,- ,102,745,658
,,,15 - 24,28,- ,- ,4,2,- ,- ,- ,4,1
,,,25 - 34,531,1,23,26,35,1,- ,5,27,26
,,,35 - 44,"2,067",14,66,34,152,1,- ,11,147,105
,,,45 - 54,"3,612",17,116,31,354,11,- ,22,186,137
,,,55 - 64,"4,970",16,161,15,458,8,- ,24,214,180
,,,>= 65,"5,303",23,224,17,742,12,- ,40,167,209
,,Arcos de Valdevez,,,,,,,,,,,
,,,Total,"3,037",1,100,3,244,3,- ,18,63,311
,,,15 - 24,6,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,69,- ,2,- ,3,- ,- ,- ,- ,14
,,,35 - 44,333,- ,8,3,14,- ,- ,2,7,43
,,,45 - 54,592,- ,23,- ,43,2,- ,7,15,60
,,,55 - 64,932,- ,29,- ,65,- ,- ,3,22,88
,,,>= 65,"1,105",1,38,- ,119,1,- ,6,19,106
,,Caminha,,,,,,,,,,,
,,,Total,533,3,8,8,22,3,- ,5,64,3
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,17,- ,- ,2,- ,- ,- ,- ,3,- 
,,,35 - 44,89,1,2,1,1,- ,- ,- ,15,- 
,,,45 - 54,127,- ,1,5,5,1,- ,2,9,1
,,,55 - 64,158,- ,3,- ,2,2,- ,2,22,- 
,,,>= 65,142,2,2,- ,14,- ,- ,1,15,2
,,Melgaço,,,,,,,,,,,
,,,Total,"1,341",- ,3,- ,372,- ,- ,1,2,113
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,24,- ,- ,- ,5,- ,- ,- ,- ,1
,,,35 - 44,135,- ,- ,- ,40,- ,- ,- ,- ,19
,,,45 - 54,281,- ,- ,- ,73,- ,- ,- ,- ,22
,,,55 - 64,420,- ,2,- ,109,- ,- ,1,1,36
,,,>= 65,481,- ,1,- ,145,- ,- ,- ,1,35
,,Monção,,,,,,,,,,,
,,,Total,"2,183",- ,1,4,490,1,- ,7,7,35
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,64,- ,- ,2,14,- ,- ,- ,- ,1
,,,35 - 44,259,- ,- ,1,47,- ,- ,2,2,4
,,,45 - 54,505,- ,- ,1,125,1,- ,3,2,8
,,,55 - 64,662,- ,- ,- ,131,- ,- ,- ,2,9
,,,>= 65,693,- ,1,- ,173,- ,- ,2,1,13
,,Paredes de Coura,,,,,,,,,,,
,,,Total,"1,136",10,50,7,7,2,- ,4,141,38
,,,15 - 24,4,- ,- ,1,- ,- ,- ,- ,- ,- 
,,,25 - 34,39,- ,1,1,- ,- ,- ,- ,3,2
,,,35 - 44,153,1,8,5,- ,- ,- ,2,24,6
,,,45 - 54,233,4,4,- ,- ,1,- ,1,35,6
,,,55 - 64,330,2,14,- ,3,1,- ,1,40,9
,,,>= 65,377,3,23,- ,4,- ,- ,- ,39,15
,,Ponte da Barca,,,,,,,,,,,
,,,Total,"1,111",6,29,1,90,1,- ,7,6,72
,,,15 - 24,1,- ,- ,- ,1,- ,- ,- ,- ,- 
,,,25 - 34,38,- ,2,- ,3,1,- ,1,1,1
,,,35 - 44,172,3,2,- ,10,- ,- ,2,2,16
,,,45 - 54,228,- ,3,- ,14,- ,- ,- ,1,18
,,,55 - 64,320,1,6,1,23,- ,- ,1,1,15
,,,>= 65,352,2,16,- ,39,- ,- ,3,1,22
,,Ponte de Lima,,,,,,,,,,,
,,,Total,"3,673",15,219,40,315,9,- ,35,194,41
,,,15 - 24,10,- ,- ,1,1,- ,- ,- ,2,1
,,,25 - 34,163,- ,9,10,8,- ,- ,3,11,4
,,,35 - 44,506,2,32,5,28,1,- ,3,44,9
,,,45 - 54,895,6,50,6,68,3,- ,5,57,12
,,,55 - 64,"1,092",4,57,8,70,- ,- ,10,50,12
,,,>= 65,"1,007",3,71,10,140,5,- ,14,30,3
,,Valença,,,,,,,,,,,
,,,Total,761,11,16,12,60,4,- ,6,9,9
,,,15 - 24,4,- ,- ,1,- ,- ,- ,- ,- ,- 
,,,25 - 34,23,- ,- ,3,1,- ,- ,1,1,- 
,,,35 - 44,86,3,2,4,5,- ,- ,- ,1,4
,,,45 - 54,168,3,4,3,10,2,- ,- ,2,- 
,,,55 - 64,239,- ,5,- ,18,1,- ,1,4,2
,,,>= 65,241,5,5,1,26,1,- ,4,1,3
,,Viana do Castelo,,,,,,,,,,,
,,,Total,"2,369",17,135,49,132,8,- ,19,242,34
,,,15 - 24,3,- ,- ,1,- ,- ,- ,- ,2,- 
,,,25 - 34,84,- ,8,6,1,- ,- ,- ,7,3
,,,35 - 44,285,3,8,15,6,- ,- ,- ,48,3
,,,45 - 54,498,2,25,15,15,1,- ,4,57,10
,,,55 - 64,700,7,37,6,35,2,- ,5,68,9
,,,>= 65,799,5,57,6,75,5,- ,10,60,9
,,Vila Nova da Cerveira,,,,,,,,,,,
,,,Total,367,8,29,3,11,2,- ,- ,17,2
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
