Produtor singular segundo a OTE e as classes de idade (Página 10),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 10/10
Região Agrária,,,,Bovinos              para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
,Nut III,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,
,,Paços de Ferreira,,,,,,,,,,
,,,Total,2,12,3,251,59,6,56,33,- 
,,,15 - 24,- ,1,- ,1,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,1,4,1,- ,3,2,- 
,,,35 - 44,- ,3,- ,16,9,2,5,5,- 
,,,45 - 54,- ,1,1,32,16,1,15,3,- 
,,,55 - 64,1,4,- ,89,16,2,15,9,- 
,,,>= 65,1,3,1,109,17,1,18,14,- 
,,Paredes,,,,,,,,,,
,,,Total,6,11,2,592,97,4,71,69,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,1,- ,- 
,,,25 - 34,- ,1,- ,21,6,- ,3,5,- 
,,,35 - 44,3,2,1,72,17,- ,14,15,- 
,,,45 - 54,2,3,- ,132,28,1,17,22,- 
,,,55 - 64,1,5,1,180,24,2,17,14,- 
,,,>= 65,- ,- ,- ,187,22,1,19,13,- 
,,Penafiel,,,,,,,,,,
,,,Total,2,15,17,"1,041",92,19,70,69,- 
,,,15 - 24,- ,- ,- ,3,1,- ,- ,- ,- 
,,,25 - 34,- ,1,1,52,5,- ,2,5,- 
,,,35 - 44,1,2,5,141,13,2,19,18,- 
,,,45 - 54,- ,3,7,239,23,4,15,20,- 
,,,55 - 64,1,5,2,283,24,7,22,13,- 
,,,>= 65,- ,4,2,323,26,6,12,13,- 
,,Resende,,,,,,,,,,
,,,Total,- ,24,1,263,42,- ,42,38,- 
,,,15 - 24,- ,- ,- ,1,- ,- ,- ,- ,- 
,,,25 - 34,- ,3,1,24,2,- ,4,3,- 
,,,35 - 44,- ,2,- ,49,8,- ,8,9,- 
,,,45 - 54,- ,3,- ,47,10,- ,5,12,- 
,,,55 - 64,- ,9,- ,76,16,- ,11,4,- 
,,,>= 65,- ,7,- ,66,6,- ,14,10,- 
,,Ribeira de Pena,,,,,,,,,,
,,,Total,2,60,13,299,98,2,49,52,- 
,,,15 - 24,- ,4,1,2,1,- ,1,- ,- 
,,,25 - 34,1,11,- ,11,3,- ,1,3,- 
,,,35 - 44,1,14,3,35,17,- ,7,11,- 
,,,45 - 54,- ,12,- ,58,23,- ,8,9,- 
,,,55 - 64,- ,8,5,77,31,1,16,13,- 
,,,>= 65,- ,11,4,116,23,1,16,16,- 
,Entre Douro e Vouga,,,,,,,,,,,
,,,Total,109,144,40,"1,200","1,128",70,521,308,- 
,,,15 - 24,- ,- ,- ,- ,4,- ,1,1,- 
,,,25 - 34,7,12,2,30,61,6,13,8,- 
,,,35 - 44,18,27,12,141,155,7,80,38,- 
,,,45 - 54,32,29,8,244,267,20,113,69,- 
,,,55 - 64,26,38,12,323,312,20,145,96,- 
,,,>= 65,26,38,6,462,329,17,169,96,- 
,,Arouca,,,,,,,,,,
,,,Total,37,74,12,485,431,17,141,127,- 
,,,15 - 24,- ,- ,- ,- ,3,- ,- ,- ,- 
,,,25 - 34,4,7,2,19,31,2,4,4,- 
,,,35 - 44,8,14,6,83,79,3,26,25,- 
,,,45 - 54,13,15,2,100,103,5,40,30,- 
,,,55 - 64,7,23,2,108,116,4,44,36,- 
,,,>= 65,5,15,- ,175,99,3,27,32,- 
,,Oliveira de Azeméis,,,,,,,,,,
,,,Total,41,13,18,185,133,25,116,59,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,1,- ,- ,2,2,3,4,1,- 
,,,35 - 44,5,- ,4,14,10,2,15,3,- 
,,,45 - 54,12,2,5,36,22,7,14,12,- 
,,,55 - 64,13,7,5,56,47,7,35,22,- 
,,,>= 65,10,4,4,77,52,6,48,21,- 
,,Santa Maria da Feira,,,,,,,,,,
,,,Total,17,12,3,249,133,16,150,31,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,1,- 
,,,25 - 34,1,- ,- ,3,1,1,2,1,- 
,,,35 - 44,3,- ,- ,18,7,1,15,4,- 
,,,45 - 54,3,5,- ,53,34,3,28,4,- 
,,,55 - 64,3,- ,2,77,40,5,38,9,- 
,,,>= 65,7,7,1,98,51,6,67,12,- 
,,São João da Madeira,,,,,,,,,,
,,,Total,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,35 - 44,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,45 - 54,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,55 - 64,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,>= 65,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Vale de Cambra,,,,,,,,,,
,,,Total,14,45,7,281,431,12,114,91,- 
,,,15 - 24,- ,- ,- ,- ,1,- ,1,- ,- 
,,,25 - 34,1,5,- ,6,27,- ,3,2,- 
,,,35 - 44,2,13,2,26,59,1,24,6,- 
,,,45 - 54,4,7,1,55,108,5,31,23,- 
,,,55 - 64,3,8,3,82,109,4,28,29,- 
,,,>= 65,4,12,1,112,127,2,27,31,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,,
