Explorações com rega e drenagem (Cávado),,,,,,,,,,
,,,,,,,,,,1999
,,,,,,,,,,pág. 2/6
,,,,Cávado,Amares,Barcelos,Braga,Esposende,Terras do Bouro,Vila Verde
Superfície irrigável,,,expl (nº),"11,230",900,"3,938","1,723","1,271",725,"2,673"
,,,área (ha),"27,647","2,077","11,708","4,931","2,317","1,566","5,048"
Sistema de rega ,,,,,,,,,,
,Colectivo estatal,,expl (nº),367,36,161,64,11,7,88
,Colectivo privado,,expl (nº),"5,426",507,"1,390",498,209,699,"2,123"
,Individual,,expl (nº),"8,349",673,"3,486","1,537","1,221",298,"1,134"
Origem das águas de rega,,,,,,,,,,
,"Furo, poço, nascente",,expl (nº),"9,937",744,"3,667","1,573","1,242",527,"2,184"
,Albufeira (barragem),,expl (nº),29,7,10,5,1,3,3
,Açude,,expl (nº),344,89,26,70,6,1,152
,Charca,,expl (nº),"1,463",89,757,142,172,3,300
,Curso de água natural,,expl (nº),"3,028",345,754,311,158,567,893
,Outra,,expl (nº),309,9,32,42,2,4,220
Método de colocação de água no terreno,,,,,,,,,,
,Sem elevação,,expl (nº),"5,406",615,"1,112",504,209,719,"2,247"
,Com elevação,,expl (nº),"7,841",532,"3,555","1,507","1,239",39,969
,,Motor electrico,expl (nº),"5,580",468,"2,518","1,200",573,16,805
,,Motor a carburante,expl (nº),"3,573",90,"1,865",496,902,16,204
,,Outros meios,expl (nº),216,1,135,46,17,8,9
Superfície drenada,,,expl (nº),252,- ,161,8,38,3,42
,,,área (ha),278,- ,206,40,19,1,12
Superfície com encharcamento,,,expl (nº),587,- ,496,11,26,3,51
,,,área (ha),295,- ,264,10,10,o ,11
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,
