Máquinas e equipamentos (Página 6),,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 6/6
,,,,Penafiel,Resende,Ribeira de Pena,Entre Douro e Vouga,Arouca,Oliveira de Azeméis,Santa Maria da Feira,São João da Madeira,Vale de Cambra
Explorações que utilizam tractores,,,expl (nº),"1,853",712,756,"4,722","1,588","1,034",835,- ,"1,265"
Máquinas pertencentes à exploração,,,,,,,,,,,,
,Tractores ( de rodas e de rasto),,expl (nº),523,126,163,"1,636",499,452,243,- ,442
,,,máq (nº),626,138,196,"2,087",609,677,329,- ,472
,,De menos de 20 c.v.,expl (nº),23,4,3,90,18,37,4,- ,31
,,,máq (nº),24,4,3,92,18,38,5,- ,31
,,De 20 a menos de 34 c.v.,expl (nº),103,36,8,199,52,47,25,- ,75
,,,máq (nº),104,36,8,201,52,48,26,- ,75
,,De 34 a menos de 55 c.v.,expl (nº),324,63,129,"1,077",349,249,163,- ,316
,,,máq (nº),360,66,143,"1,163",374,274,186,- ,329
,,De 55 a menos de 82 c.v.,expl (nº),103,29,37,433,127,195,81,- ,30
,,,máq (nº),130,30,41,566,157,276,99,- ,34
,,De 82 a menos de 109 c.v,expl (nº),7,1,- ,52,4,34,11,- ,3
,,,máq (nº),8,... ,- ,58,4,38,13,- ,3
,,De 109 c.v. e mais,expl (nº),- ,1,1,6,3,3,- ,- ,- 
,,,máq (nº),- ,... ,... ,7,4,3,- ,- ,- 
,Motocultivadores,,expl (nº),72,53,12,"1,235",276,378,381,- ,200
,,,máq (nº),80,56,13,"1,302",287,404,409,- ,202
,Motoenxadas (motofresas),,expl (nº),39,6,- ,157,55,56,19,- ,27
,,,máq (nº),42,8,- ,161,55,58,21,- ,27
,Motoceifeiras (motogadanheiras),,expl (nº),131,15,37,129,45,31,32,- ,21
,,,máq (nº),146,19,40,136,46,31,35,- ,24
,Electrobomba/motobomba,,expl (nº),"1,370",137,77,"2,312",588,779,690,- ,255
,,,máq (nº),"2,296",171,92,"3,698",818,"1,620",965,- ,295
,Distribuidores de adubos e correctivos,,expl (nº),79,4,18,208,49,114,36,- ,9
,,,máq (nº),84,5,18,219,49,120,39,- ,11
,Semeadores,,expl (nº),106,3,18,253,75,121,42,- ,15
,,,máq (nº),113,3,18,261,75,128,43,- ,15
,Plantadores/transplantadores,,expl (nº),29,4,- ,9,1,3,4,- ,1
,,,máq (nº),29,4,- ,9,... ,3,4,- ,... 
,Pulverizadores e polvilhadores,,expl (nº),270,38,34,331,84,150,74,- ,23
,,,máq (nº),295,44,39,338,84,155,75,- ,24
,Gadanheiras,,expl (nº),28,1,42,112,38,39,25,- ,10
,,,máq (nº),30,... ,45,127,45,43,29,- ,10
,Colhedores de forragem,,expl (nº),28,2,18,209,61,107,27,- ,14
,,,máq (nº),31,... ,22,287,79,161,32,- ,15
,Enfardadeiras,,expl (nº),11,2,20,42,20,12,8,- ,2
,,,máq (nº),12,... ,21,42,20,12,8,- ,... 
,Ceifeiras-debulhadoras,,expl (nº),- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,máq (nº),- ,- ,- ,- ,- ,- ,- ,- ,- 
,Secadores de cereais,,expl (nº),- ,- ,1,- ,- ,- ,- ,- ,- 
,,,máq (nº),- ,- ,... ,- ,- ,- ,- ,- ,- 
,Viradores de feno,,expl (nº),15,2,18,77,33,32,9,- ,3
,,,máq (nº),15,... ,19,78,33,33,9,- ,3
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte."
