Explorações segundo a OTE e a dimensão económica (Página 3),,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 3/6
,,Fafe,Guimarães,Póvoa de Lanhoso,Santo Tirso,Trofa,Vieira do Minho,Vila Nova de Famalicão,Vizela,Grande Porto,Espinho
,,expl (nº),,,,,,,,,
Classes de dimensão económica (UDE),,"2,032","1,777","1,058",816,338,"1,197","1,724",205,"4,605",35
,> 0 a < 2,616,336,281,195,46,454,421,49,974,11
,2 a < 4,832,563,403,255,79,456,520,81,"1,037",13
,4 a < 8,436,482,258,184,60,219,322,40,894,9
,8 a < 16,113,238,68,91,40,48,181,21,676,2
,16 a < 40,29,113,33,68,81,17,174,10,623,- 
,40 a < 100,5,36,12,21,31,3,99,4,362,- 
,> = 100,1,9,3,2,1,- ,7,- ,39,- 
OTE,,"2,032","1,777","1,058",816,338,"1,197","1,728",205,"4,606",35
,Cereais e plantas olea./proteaginosas,2,1,3,5,2,5,23,- ,36,1
,Culturas agrícolas diversas,234,131,93,64,39,44,220,13,370,5
,Horticultura,16,64,7,8,5,2,34,4,"1,230",8
,Viticultura,89,220,92,104,10,131,145,29,116,- 
,Fruticultura,2,11,6,9,1,- ,17,2,80,1
,Olivicultura,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas permanentes diversas,6,54,21,34,4,13,35,5,38,- 
,Bovinos de leite,9,62,22,57,124,5,258,5,974,2
,Bovinos para gado/carne,34,24,14,13,13,73,126,3,187,1
,Bovinos para leite/gado/carne,- ,3,2,3,3,- ,8,1,71,- 
,Ovinos/caprinos/outros herbívoros,47,7,23,10,5,67,12,2,52,- 
,Granívoros,7,13,2,3,2,6,3,- ,18,- 
,Policultura,992,853,520,330,69,411,506,103,899,13
,Polipecuária-herbívoros,298,161,124,75,25,280,160,19,184,2
,Polipecuária-granívoros,5,9,3,2,1,2,6,- ,22,- 
,Agricultura geral e herbívoros,183,76,71,49,23,28,84,5,193,1
,Culturas diversas e gado,108,88,55,50,12,130,87,14,135,1
,Não classificadas,- ,- ,- ,- ,- ,- ,4,- ,1,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,
