Principais culturas temporárias (Página 3),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 3/8
Região Agrária,,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
,Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
,,Concelho,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,Cávado,,,,,,,,,,,,
,,,Culturas temporárias,"10,962","42,176","10,894","22,178","10,160","19,989","9,365","17,807","7,510","2,191"
,,,Cereais para grão,"7,718","7,161","7,609","6,525","3,445",636,389,128,"3,167",505
,,,Leguminosas secas para grão,"3,144",529,"2,921",454,"1,477",68,74,8,"1,430",60
,,,Prados temporários,"1,390",759,"1,267",684,666,63,- ,- ,666,63
,,,Culturas forrageiras,"9,656","30,243","5,577","12,916","9,442","17,342","9,033","16,029","6,085","1,308"
,,,Batata,"6,923",937,"6,150",756,"2,679",165,44,10,"2,649",152
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,4,o ,4,o ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,"2,031",772,"1,865",678,432,91,270,73,187,17
,,,Flores e plantas ornamentais,171,34,156,28,35,3,11,2,25,1
,,,Sementes de culturas forrageiras,"4,165","1,688",451,98,"3,970","1,582","3,806","1,526","1,003",49
,,,Sementes e propágulos de outras culturas não lenhosas,35,12,3,1,33,11,32,11,4,o 
,,,Outras culturas temporárias,9,3,1,... ,8,3,7,3,1,... 
,,Amares,,,,,,,,,,,
,,,Culturas temporárias,825,"2,149",815,997,783,"1,153",653,765,766,387
,,,Cereais para grão,724,753,718,598,667,156,21,4,667,151
,,,Leguminosas secas para grão,316,66,276,48,244,17,12,1,242,17
,,,Prados temporários,14,9,13,9,11,o ,- ,- ,11,o 
,,,Culturas forrageiras,644,"1,159",208,250,644,911,628,717,616,193
,,,Batata,592,57,542,45,305,11,1,... ,304,11
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,105,44,103,34,70,9,2,... ,69,9
,,,Flores e plantas ornamentais,28,9,26,8,15,1,1,... ,15,1
,,,Sementes de culturas forrageiras,168,51,16,3,167,47,155,39,124,8
,,,Sementes e propágulos de outras culturas não lenhosas,2,... ,- ,- ,2,... ,2,... ,2,... 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Barcelos,,,,,,,,,,,
,,,Culturas temporárias,"3,914","20,388","3,871","10,282","3,741","10,105","3,603","9,461","2,857",649
,,,Cereais para grão,"1,923","1,307","1,898","1,278",115,26,71,19,45,5
,,,Leguminosas secas para grão,628,72,547,68,105,2,12,o ,93,2
,,,Prados temporários,266,112,185,93,109,14,- ,- ,109,14
,,,Culturas forrageiras,"3,731","17,782","2,884","8,431","3,661","9,357","3,511","8,821","2,438",533
,,,Batata,"2,635",326,"2,121",245,925,73,9,o ,918,72
