Explorações segundo a OTE e a dimensão económica (Página 6),,,,,,,,,,
,,,,,,,,,,1999
,,,,,,,,,,pág. 6/6
,,Penafiel,Resende,Ribeira de Pena,Entre Douro e Vouga,Arouca,Oliveira de Azeméis,Santa Maria da Feira,São João da Madeira,Vale de Cambra
,,expl. (nº),,,,,,,,
Classes de dimensão económica (UDE),,"1,906","1,237",882,"5,095","1,688","1,076",981,- ,"1,350"
,> 0 a < 2,605,496,215,"2,225",737,411,480,- ,597
,2 a < 4,715,378,312,"1,802",584,332,331,- ,555
,4 a < 8,364,194,232,622,224,134,99,- ,165
,8 a < 16,137,97,93,222,80,80,35,- ,27
,16 a < 40,63,55,26,169,55,83,25,- ,6
,40 a < 100,18,15,2,48,7,32,9,- ,- 
,> = 100,4,2,2,7,1,4,2,- ,- 
OTE,,"1,906","1,237",882,"5,095","1,688","1,076",981,- ,"1,350"
,Cereais e plantas olea./proteaginosas,6,2,2,43,1,8,32,- ,2
,Culturas agrícolas diversas,122,24,130,356,53,79,180,- ,44
,Horticultura,9,- ,- ,40,4,20,8,- ,8
,Viticultura,362,368,77,117,43,12,1,- ,61
,Fruticultura,7,120,3,49,7,16,20,- ,6
,Olivicultura,- ,- ,4,- ,- ,- ,- ,- ,- 
,Culturas permanentes diversas,39,220,11,40,26,5,1,- ,8
,Bovinos de leite,17,4,10,760,157,289,105,- ,209
,Bovinos para gado/carne,10,86,69,144,69,45,20,- ,10
,Bovinos para leite/gado/carne,4,- ,2,109,37,41,17,- ,14
,Ovinos/caprinos/outros herbívoros,15,25,60,149,77,14,12,- ,46
,Granívoros,17,1,13,50,12,25,5,- ,8
,Policultura,"1,047",263,299,"1,207",485,187,250,- ,285
,Polipecuária-herbívoros,92,42,99,"1,129",431,134,133,- ,431
,Polipecuária-granívoros,19,- ,2,70,17,25,16,- ,12
,Agricultura geral e herbívoros,70,42,49,522,141,117,150,- ,114
,Culturas diversas e gado,70,40,52,310,128,59,31,- ,92
,Não classificadas,- ,- ,- ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
