Utilização das terras (Cávado),,,,,,,,,
,,,,,,,,,1999
,,,,,,,,,pág. 2/6
,,,Cávado,Amares,Barcelos,Braga,Esposende,Terras do Bouro,Vila Verde
Superfície Total,,expl (nº),"11,431",906,"4,012","1,746","1,321",756,"2,690"
 ,,área (ha),"59,883","4,170","19,181","8,495","4,069","14,458","9,510"
Superfície Agrícola Utilizada (SAU),,expl (nº),"11,412",903,"4,011","1,739","1,320",750,"2,689"
 ,,área (ha),"36,362","2,127","12,230","5,051","2,622","8,465","5,867"
Terra arável,,expl (nº),"11,174",856,"3,936","1,683","1,317",720,"2,662"
,,área (ha),"22,760","1,041","10,453","3,847","2,420","1,046","3,953"
,Terra arável limpa,expl (nº),"11,171",856,"3,935","1,683","1,316",720,"2,661"
,,área (ha),"22,755","1,041","10,451","3,847","2,418","1,046","3,952"
,Culturas temporárias,expl (nº),"10,891",815,"3,870","1,605","1,312",706,"2,583"
,,área (ha),"22,175",997,"10,281","3,731","2,378","1,010","3,778"
,Pousio (com e sem ajuda),expl (nº),106,1,17,30,37,2,19
,,área (ha),51,... ,13,22,8,... ,8
,Horta familiar,expl (nº),"9,142",671,"3,090","1,465",715,706,"2,495"
,,área (ha),533,44,156,95,33,35,170
,Culturas sob-coberto matas e florestas,expl (nº),5,- ,2,1,1,- ,1
,,área (ha),4,- ,... ,... ,... ,- ,... 
,Culturas temporárias,expl (nº),5,- ,2,1,1,- ,1
,,área (ha),4,- ,... ,... ,... ,- ,... 
,Pousio (com e sem ajuda),expl (nº),- ,- ,- ,- ,- ,- ,- 
,,área (ha),- ,- ,- ,- ,- ,- ,- 
Culturas permanentes,,expl (nº),"10,613",900,"3,809","1,681",936,697,"2,590"
,,área (ha),"5,361","1,071","1,715","1,082",200,214,"1,079"
,Sem culturas sob-coberto,expl (nº),"6,081",642,"1,763","1,261",588,483,"1,344"
,,área (ha),"3,514",833,"1,051",863,85,66,616
,Com culturas temporárias,expl (nº),"7,510",766,"2,857",637,588,638,"2,024"
,,área (ha),"1,658",220,639,166,108,125,400
,Com pousio (com e sem ajuda),expl (nº),17,1,4,5,1,2,4
,,área (ha),4,... ,3,1,... ,... ,o 
,Com horta familiar,expl (nº),"2,721",430,403,265,95,429,"1,099"
,,área (ha),92,15,13,10,7,9,38
,Com pastagens permanentes,expl (nº),376,10,30,172,- ,98,66
,,área (ha),58,1,3,33,- ,10,11
Pastagens permanentes,,expl (nº),934,27,84,214,5,332,272
,,área (ha),"8,257",19,72,121,2,"7,204",839
,Em terra limpa,expl (nº),912,27,83,211,5,325,261
,,área (ha),"6,606",18,72,119,2,"5,628",767
,Sob-coberto de matas e florestas,expl (nº),114,1,1,5,- ,86,21
,,área (ha),"1,657",... ,... ,3,- ,"1,582",71
Matas e florestas sem culturas sob-coberto,,expl (nº),"7,560",687,"2,698",979,861,516,"1,819"
,,área (ha),"18,494","1,499","6,314","2,818","1,305","4,375","2,183"
Superfície Agrícola não utilizada,,expl (nº),"1,496",271,221,160,75,328,441
,,área (ha),"1,357",281,128,309,50,320,269
Outras superfícies,,expl (nº),"10,789",858,"3,912","1,632","1,167",666,"2,554"
,,área (ha),"3,651",262,503,311,94,"1,301","1,180"
"Fonte: INE, Recenseamento da Agricultura, 1999 - Região Norte."
