Principais culturas temporárias (Página 2),,,,,,,,,,,,,
,,,Sementes de culturas forrageiras,956,322,37,8,932,314,928,312,29,2
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,Vila Nova de Cerveira,,,,,,,,,,,
,,,Culturas temporárias,362,"1,020",362,691,287,330,285,329,22,1
,,,Cereais para grão,329,255,329,254,3,1,2,... ,1,... 
,,,Leguminosas secas para grão,129,9,126,9,7,o ,6,o ,1,... 
,,,Prados temporários,102,51,102,51,1,... ,- ,- ,1,... 
,,,Culturas forrageiras,325,658,227,339,282,323,282,323,8,o 
,,,Batata,283,34,279,33,15,o ,2,... ,13,o 
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,6,1,6,1,- ,- ,- ,- ,- ,- 
,,,Flores e plantas ornamentais,5,1,5,1,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,35,7,10,1,29,6,29,6,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,,,
