Principais culturas temporárias (Página 7),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 7/8
Região Agrária,,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
,Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
,,Concelho,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,,,Sementes e propágulos de outras culturas não lenhosas,4,4,2,... ,2,... ,2,... ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Penafiel,,,,,,,,,,,
,,,Culturas temporárias,"1,742","4,418","1,643","2,267","1,631","2,156","1,314","1,583","1,434",575
,,,Cereais para grão,"1,404","1,491","1,377","1,348",557,143,211,83,429,62
,,,Leguminosas secas para grão,895,170,797,144,341,27,46,4,323,24
,,,Prados temporários,99,45,65,31,73,12,- ,- ,73,12
,,,Culturas forrageiras,"1,418","2,161",404,484,"1,386","1,671","1,212","1,340","1,081",327
,,,Batata,"1,579",309,"1,245",190,944,118,15,2,936,115
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,836,102,548,52,511,46,226,27,330,18
,,,Flores e plantas ornamentais,20,1,19,1,2,... ,- ,- ,2,... 
,,,Sementes de culturas forrageiras,493,137,36,8,467,128,458,120,74,7
,,,Sementes e propágulos de outras culturas não lenhosas,4,1,3,o ,3,o ,1,... ,2,... 
,,,Outras culturas temporárias,2,... ,- ,- ,2,... ,1,... ,1,... 
,,Resende,,,,,,,,,,,
,,,Culturas temporárias,949,"1,086",933,757,583,327,450,267,317,58
,,,Cereais para grão,733,411,728,391,194,19,3,5,193,15
,,,Leguminosas secas para grão,593,76,589,72,165,3,- ,- ,165,3
,,,Prados temporários,47,36,45,32,24,4,- ,- ,24,4
,,,Culturas forrageiras,464,343,51,63,447,281,444,261,167,20
,,,Batata,829,205,810,192,267,13,- ,- ,267,13
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,13,2,8,1,5,1,5,1,- ,- 
