Principais culturas temporárias (Página 5),,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 5/8
Região Agrária,,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
,Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
,,Concelho,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,Grande Porto,,,,,,,,,,,,
,,,Culturas temporárias,"4,445","26,881","4,416","14,664","3,155","12,229","3,070","12,067",597,153
,,,Cereais para grão,"1,850","1,738","1,789","1,702",112,33,93,28,20,3
,,,Leguminosas secas para grão,330,109,314,92,29,12,19,12,10,o 
,,,Prados temporários,125,123,118,118,8,6,- ,- ,8,6
,,,Culturas forrageiras,"3,048","21,763","2,108","10,323","2,818","11,433","2,774","11,327",398,109
,,,Batata,"2,263",928,"2,111",860,289,58,75,31,217,24
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,"2,444","1,887","2,091","1,485",667,395,629,383,63,8
,,,Flores e plantas ornamentais,170,49,165,47,7,2,6,2,1,... 
,,,Sementes de culturas forrageiras,480,269,35,3,452,263,452,263,1,... 
,,,Sementes e propágulos de outras culturas não lenhosas,19,7,14,6,5,1,5,1,- ,- 
,,,Outras culturas temporárias,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Espinho,,,,,,,,,,,
,,,Culturas temporárias,34,75,34,43,25,33,25,33,1,... 
,,,Cereais para grão,28,28,28,28,- ,- ,- ,- ,- ,- 
,,,Leguminosas secas para grão,16,6,15,5,2,... ,2,... ,- ,- 
,,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,18,29,2,... ,17,27,17,27,- ,- 
,,,Batata,13,2,13,2,- ,- ,- ,- ,- ,- 
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,24,10,19,4,12,5,12,4,1,... 
,,,Flores e plantas ornamentais,3,o ,3,o ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Gondomar,,,,,,,,,,,
,,,Culturas temporárias,735,"1,788",722,"1,131",510,658,478,614,167,44
,,,Cereais para grão,448,451,437,439,26,12,19,9,7,2
,,,Leguminosas secas para grão,104,21,100,20,9,o ,5,o ,4,o 
,,,Prados temporários,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,484,754,200,210,430,542,419,516,96,27
,,,Batata,436,153,404,137,76,14,5,4,72,9
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,419,399,368,308,120,87,105,82,26,5
,,,Flores e plantas ornamentais,23,4,23,4,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,7,1,6,1,1,... ,1,... ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,5,6,5,6,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Póvoa de Lanhoso,Maia,,,,,,,,,,
,,,Culturas temporárias,385,"2,962",383,"1,584",329,"1,380",324,"1,361",93,18
,,,Cereais para grão,179,189,177,187,7,1,6,1,1,... 
,,,Leguminosas secas para grão,34,20,31,14,3,5,2,... ,1,... 
,,,Prados temporários,37,35,37,35,1,... ,- ,- ,1,... 
,,,Culturas forrageiras,315,"2,348",235,"1,091",291,"1,256",287,"1,243",77,15
,,,Batata,279,179,274,169,36,10,10,7,26,3
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,225,145,141,75,155,71,155,71,2,... 
,,,Flores e plantas ornamentais,28,12,27,11,1,... ,1,... ,- ,- 
,,,Sementes de culturas forrageiras,59,32,6,1,54,31,54,31,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,4,1,1,... ,3,1,3,1,- ,- 
,,,Outras culturas temporárias,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Matosinhos,,,,,,,,,,,
,,,Culturas temporárias,289,"2,194",288,"1,173",265,"1,022",261,"1,016",26,6
,,,Cereais para grão,102,107,102,105,3,1,3,1,1,... 
,,,Leguminosas secas para grão,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Prados temporários,17,22,17,22,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,266,"1,824",232,903,238,919,232,915,23,5
,,,Batata,225,98,220,93,12,4,7,3,5,1
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,158,88,102,42,99,46,99,46,3,o 
,,,Flores e plantas ornamentais,4,3,3,3,1,... ,1,... ,- ,- 
,,,Sementes de culturas forrageiras,50,50,1,... ,49,50,49,50,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Póvoa de Varzim,,,,,,,,,,,
,,,Culturas temporárias,"1,307","5,689","1,306","3,242",592,"2,450",589,"2,424",96,24
,,,Cereais para grão,256,126,220,115,49,11,44,10,5,o 
,,,Leguminosas secas para grão,27,2,25,2,2,... ,- ,- ,2,... 
,,,Prados temporários,7,11,7,11,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,591,"4,651",473,"2,291",536,"2,360",535,"2,339",73,21
,,,Batata,366,83,325,75,54,7,25,4,29,3
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,"1,009",759,987,744,51,13,44,13,8,o 
,,,Flores e plantas ornamentais,22,3,20,2,3,1,3,1,- ,- 
,,,Sementes de culturas forrageiras,128,56,12,1,120,54,120,54,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,4,o ,4,o ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Valongo,,,,,,,,,,,
,,,Culturas temporárias,282,1097,275,600,242,497,224,466,99,32
,,,Cereais para grão,190,170,188,168,8,2,6,2,2,... 
,,,Leguminosas secas para grão,19,4,19,4,1,... ,- ,- ,1,... 
,,,Prados temporários,13,13,9,13,4,1,- ,- ,4,1
,,,Culturas forrageiras,244,783,110,317,228,466,214,441,79,26
,,,Batata,172,66,156,60,34,4,2,... ,32,4
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,156,51,132,35,34,17,25,15,10,2
,,,Flores e plantas ornamentais,9,3,8,3,1,... ,- ,- ,1,... 
,,,Sementes de culturas forrageiras,19,8,3,o ,17,7,17,7,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Vila do Conde,,,,,,,,,,,
,,,Culturas temporárias,848,"11,339",847,"5,768",809,"5,574",803,"5,561",67,10
,,,Cereais para grão,257,200,251,200,8,1,8,1,- ,- 
,,,Leguminosas secas para grão,7,o ,7,o ,- ,- ,- ,- ,- ,- 
,,,Prados temporários,40,32,40,32,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,803,"10,648",740,"5,251",791,"5,395",789,"5,389",32,7
,,,Batata,509,261,474,247,51,11,14,6,39,3
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,99,66,43,23,62,38,62,38,- ,- 
,,,Flores e plantas ornamentais,25,8,25,8,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,213,120,6,o ,208,119,208,119,1,... 
,,,Sementes e propágulos de outras culturas não lenhosas,2,... ,- ,- ,2,... ,2,... ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Vila Nova de Gaia,,,,,,,,,,,
,,,Culturas temporárias,565,"1,737",561,"1,123",383,615,366,592,48,19
,,,Cereais para grão,390,467,386,460,11,5,7,4,4,1
,,,Leguminosas secas para grão,122,55,116,46,12,7,10,7,2,... 
,,,Prados temporários,10,10,7,5,3,5,- ,- ,3,5
,,,Culturas forrageiras,327,726,116,259,287,468,281,457,18,8
