"Principais Culturas Temporárias (Total e Beira Litoral, página 2)",,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 2/9
Região Agrária,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
Concelho,,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,Ílhavo,,,,,,,,,,,
,,Culturas temporárias,283,"1,210",283,839,176,372,175,371,1,... 
,,Cereais para grão,213,393,202,367,41,26,41,26,- ,- 
,,Leguminosas secas para grão,71,46,61,42,12,3,12,3,- ,- 
,,Prados temporários,7,8,7,8,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,175,483,130,228,138,254,138,254,- ,- 
,,Batata,186,76,178,71,17,5,17,5,- ,- 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,137,153,126,72,32,80,31,80,1,... 
,,Flores e plantas ornamentais,13,18,13,18,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,54,31,53,31,2,... ,2,... ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Mealhada,,,,,,,,,,,
,,Culturas temporárias,"1,271","1,201","1,231",907,722,292,364,148,510,145
,,Cereais para grão,987,582,957,497,261,83,96,30,187,57
,,Leguminosas secas para grão,312,41,255,28,88,12,27,3,64,8
,,Prados temporários,26,5,25,5,3,o ,- ,- ,3,o 
,,Culturas forrageiras,688,350,475,197,429,153,253,104,230,47
,,Batata,946,162,793,126,276,38,56,9,224,27
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,20,7,20,7,1,... ,1,... ,- ,- 
,,Culturas hortícolas,268,52,219,43,74,8,21,3,57,6
,,Flores e plantas ornamentais,9,2,8,2,1,... ,- ,- ,1,... 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Murtosa,,,,,,,,,,,
,,Culturas temporárias,374,"2,555",374,"1,350",322,"1,204",322,"1,204",- ,- 
