Natureza Jurídica do Produtor,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,pág. 1/2
Região Agrária,,,Produtor Singular,,,,Sociedade,,Baldio,,Estado e pessoas públicas,,Outra,
Nut III,,,Autónomo,,Empresário,,,,,,,,,
Concelho,,,Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha)
BEIRA LITORAL,,,"77,002","147,290","2,264","16,388",444,"5,305",1,... ,38,434,57,378
,Baixo Vouga,,"14,529","24,270",835,"5,233",93,"1,138",- ,- ,3,29,7,41
,,Águeda,"2,231","2,534",42,203,14,179,- ,- ,- ,- ,- ,- 
,,Albergaria-a-Velha,918,"2,169",64,311,15,116,- ,- ,- ,- ,- ,- 
,,Anadia,"2,666","4,120",69,722,15,294,- ,- ,1,... ,1,... 
,,Aveiro,"1,041","2,138",118,657,7,97,- ,- ,- ,- ,2,... 
,,Estarreja,"1,017","2,493",105,679,2,... ,- ,- ,- ,- ,- ,- 
,,Ílhavo,252,567,25,216,6,140,- ,- ,1,... ,2,... 
,,Mealhada,"1,347","2,186",89,310,8,89,- ,- ,- ,- ,- ,- 
,,Murtosa,305,736,71,776,4,94,- ,- ,- ,- ,- ,- 
,,Oliveira do Bairro,"1,541","2,052",70,403,5,20,- ,- ,- ,- ,1,... 
,,Ovar,577,"1,429",45,413,8,58,- ,- ,- ,- ,- ,- 
,,Sever do Vouga,658,791,52,107,2,... ,- ,- ,- ,- ,1,... 
,,Vagos,"1,976","3,055",85,436,7,19,- ,- ,1,... ,- ,- 
,Baixo Mondego,,"16,906","36,089",480,"5,361",67,"1,616",- ,- ,11,200,15,103
,,Cantanhede,"4,311","7,581",136,790,8,50,- ,- ,- ,- ,3,43
,,Coimbra,"2,632","5,304",92,756,16,282,- ,- ,8,121,6,30
,,Condeixa-a-Nova,"1,151","2,791",13,81,2,... ,- ,- ,- ,- ,1,... 
,,Figueira da Foz,"2,088","5,067",66,"1,173",14,495,- ,- ,1,... ,1,... 
,,Mira,902,"1,485",18,153,7,110,- ,- ,- ,- ,3,23
,,Montemor-o-Velho,"2,749","6,840",120,"1,866",11,401,- ,- ,- ,- ,1,... 
,,Penacova,822,"1,294",5,22,3,2,- ,- ,- ,- ,- ,- 
,,Soure,"2,251","5,727",30,520,6,219,- ,- ,2,... ,- ,- 
,Pinhal Litoral,,"11,872","21,674",290,"1,618",117,994,- ,- ,3,48,7,56
,,Batalha,"1,005","1,813",43,259,15,57,- ,- ,- ,- ,1,... 
,,Leiria,"4,486","6,797",162,814,71,658,- ,- ,3,48,4,25
,,Marinha Grande,201,251,2,... ,3,32,- ,- ,- ,- ,- ,- 
,,Pombal,"4,686","7,188",64,302,12,128,- ,- ,- ,- ,1,... 
,,Porto de Mós,"1,494","5,625",19,239,16,119,- ,- ,- ,- ,1,... 
,Pinhal Interior Norte,,"9,876","17,929",127,"1,015",42,356,- ,- ,12,55,4,21
,,Alvaiázere,"1,088","1,929",9,91,- ,- ,- ,- ,1,... ,- ,- 
,,Ansião,"1,675","3,202",12,27,3,11,- ,- ,- ,- ,- ,- 
,,Arganil,895,"1,355",8,102,6,74,- ,- ,1,... ,- ,- 
,,Castanheira de Pêra,68,87,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Figueiró dos Vinhos,494,666,2,... ,4,6,- ,- ,- ,- ,- ,- 
,,Góis,273,439,6,117,2,... ,- ,- ,- ,- ,- ,- 
,,Lousã,279,465,18,98,2,... ,- ,- ,2,... ,- ,- 
,,Miranda do Corvo,792,897,26,75,1,... ,- ,- ,4,20,- ,- 
,,Oliveira do Hospital,"1,545","3,783",25,289,10,91,- ,- ,1,... ,4,21
,,Pampilhosa da Serra,349,373,- ,- ,1,... ,- ,- ,- ,- ,- ,- 
,,Pedrógão Grande,439,606,1,... ,- ,- ,- ,- ,- ,- ,- ,- 
,,Penela,755,"1,733",2,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Tábua,930,"1,936",17,180,10,126,- ,- ,1,... ,- ,- 
,,Vila Nova de Poiares,294,458,1,... ,2,... ,- ,- ,2,... ,- ,- 
,Dão-Lafões,,"23,819","47,328",532,"3,161",125,"1,201",1,... ,9,102,24,157
,,Aguiar da Beira,"1,052","3,719",13,176,2,... ,- ,- ,- ,- ,- ,- 
,,Carregal do Sal,992,"1,641",15,30,6,73,- ,- ,- ,- ,7,18
,,Castro Daire,"2,086","4,378",37,59,2,... ,- ,- ,1,... ,2,... 
,,Mangualde,"1,686","4,602",22,228,8,138,1,... ,1,... ,6,37
,,Mortágua,822,"1,149",32,92,11,44,- ,- ,- ,- ,- ,- 
,,Nelas,"1,310","2,319",33,321,8,195,- ,- ,1,... ,- ,- 
,,Oliveira de Frades,"1,086","1,791",40,60,15,13,- ,- ,- ,- ,- ,- 
,,Penalva do Castelo,"1,305","3,112",20,368,1,... ,- ,- ,- ,- ,- ,- 
,,Santa Comba Dão,717,"1,204",58,128,12,227,- ,- ,- ,- ,- ,- 
,,São Pedro do Sul,"1,630","3,131",64,178,10,45,- ,- ,- ,- ,1,... 
,,Sátão,"1,581","3,269",22,159,3,11,- ,- ,- ,- ,1,... 
,,Tondela,"3,334","5,196",63,417,21,155,- ,- ,1,... ,4,53
,,Vila Nova de Paiva,730,"2,351",24,95,2,... ,- ,- ,- ,- ,- ,- 
,,Viseu,"4,236","7,135",62,714,16,197,- ,- ,5,60,3,42
,,Vouzela,"1,252","2,331",27,136,8,86,- ,- ,- ,- ,- ,- 
"Fonte:  INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,,,,
