Mão-de-obra agrícola não familiar (UTA),,,,,,,,,
,,,,,,,,,1999
Região Agrícola,,,,Mão-de-obra não familiar,,,,,
Nut III,,,,Total,Permanente,,,Trabalhadores eventuais agrícolas,Trabalhadores eventuais agrícolas não contratados pelo produtor
Concelho,,,,,Total,Dirigente,Outros trabalhadores,,
BEIRA LITORAL,,,índ. (nº),- ,"6,036",669,"5,367",- ,- 
,,,UTA,"9,108","4,157",454,"3,699","4,623",328
,Baixo Vouga,,índ. (nº),- ,"1,253",119,"1,134",- ,- 
,,,UTA,"1,809",763,85,678,968,78
,,Águeda,índ. (nº),- ,87,15,72,- ,- 
,,,UTA,143,51,10,40,83,9
,,Albergaria-a-Velha,índ. (nº),- ,138,15,123,- ,- 
,,,UTA,125,75,12,63,43,7
,,Anadia,índ. (nº),- ,205,23,182,- ,- 
,,,UTA,549,124,13,111,414,11
,,Aveiro,índ. (nº),- ,95,11,84,- ,- 
,,,UTA,83,42,6,37,35,6
,,Estarreja,índ. (nº),- ,61,2,59,- ,- 
,,,UTA,75,25,2,23,41,9
,,Ílhavo,índ. (nº),- ,88,9,79,- ,- 
,,,UTA,100,79,8,71,18,3
,,Mealhada,índ. (nº),- ,243,11,232,- ,- 
,,,UTA,287,177,7,170,106,4
,,Murtosa,índ. (nº),- ,42,5,37,- ,- 
,,,UTA,40,24,4,20,14,2
,,Oliveira do Bairro,índ. (nº),- ,64,6,58,- ,- 
,,,UTA,143,24,2,21,112,7
,,Ovar,índ. (nº),- ,83,9,74,- ,- 
,,,UTA,81,59,9,50,18,4
,,Sever do Vouga,índ. (nº),- ,32,3,29,- ,- 
,,,UTA,49,20,3,17,28,1
,,Vagos,índ. (nº),- ,115,10,105,- ,- 
,,,UTA,134,63,9,55,56,15
,Baixo Mondego,,índ. (nº),- ,"1,053",102,951,- ,- 
,,,UTA,"1,630",767,76,690,788,75
,,Cantanhede,índ. (nº),- ,259,15,244,- ,- 
,,,UTA,412,128,9,119,266,18
,,Coimbra,índ. (nº),- ,337,31,306,- ,- 
,,,UTA,366,262,22,239,100,4
,,Condeixa-a-Nova,índ. (nº),- ,20,3,17,- ,- 
,,,UTA,50,18,3,16,29,3
,,Figueira da Foz,índ. (nº),- ,122,18,104,- ,- 
,,,UTA,219,108,15,93,95,16
,,Mira,índ. (nº),- ,128,10,118,- ,- 
,,,UTA,163,105,5,100,51,7
,,Montemor-o-Velho,índ. (nº),- ,121,13,108,- ,- 
,,,UTA,244,96,11,84,130,18
,,Penacova,índ. (nº),- ,11,3,8,- ,- 
,,,UTA,41,7,2,5,32,2
,,Soure,índ. (nº),- ,55,9,46,- ,- 
,,,UTA,135,43,9,34,85,7
,Pinhal Litoral,,índ. (nº),- ,930,130,800,- ,- 
,,,UTA,"1,368",716,90,629,610,42
,,Batalha,índ. (nº),- ,106,16,90,- ,- 
,,,UTA,158,85,8,77,69,4
,,Leiria,índ. (nº),- ,517,79,438,- ,- 
,,,UTA,650,379,58,321,257,14
,,Marinha Grande,índ. (nº),- ,8,3,5,- ,- 
,,,UTA,17,6,2,4,10,1
,,Pombal,índ. (nº),- ,96,15,81,- ,- 
,,,UTA,283,61,11,52,204,18
,,Porto de Mós,índ. (nº),- ,203,17,186,- ,- 
,,,UTA,260,185,11,175,70,5
,Pinhal Interior Norte,,índ. (nº),- ,536,71,465,- ,- 
,,,UTA,997,394,49,346,574,29
,,Alvaiázere,índ. (nº),- ,34,1,33,- ,- 
,,,UTA,79,19,1,18,56,4
,,Ansião,índ. (nº),- ,20,6,14,- ,- 
,,,UTA,74,14,5,10,56,4
,,Arganil,índ. (nº),- ,58,7,51,- ,- 
,,,UTA,81,43,7,37,36,2
,,Castanheira de Pêra,índ. (nº),- ,3,- ,3,- ,- 
,,,UTA,6,3,- ,3,3,o 
,,Figueiró dos Vinhos,índ. (nº),- ,37,4,33,- ,- 
,,,UTA,51,17,3,14,32,2
,,Góis,índ. (nº),- ,20,2,18,- ,- 
,,,UTA,26,19,2,17,7,o 
,,Lousã,índ. (nº),- ,50,4,46,- ,- 
,,,UTA,75,44,4,40,30,1
,,Miranda do Corvo,índ. (nº),- ,40,5,35,- ,- 
,,,UTA,56,23,2,21,32,1
,,Oliveira do Hospital,índ. (nº),- ,152,17,135,- ,- 
,,,UTA,251,124,8,116,120,7
,,Pampilhosa da Serra,índ. (nº),- ,5,1,4,- ,- 
,,,UTA,9,5,1,4,4,o 
,,Pedrógão Grande,índ. (nº),- ,4,- ,4,- ,- 
,,,UTA,43,o ,- ,o ,41,2
,,Penela,índ. (nº),- ,13,3,10,- ,- 
,,,UTA,32,8,2,6,22,2
,,Tábua,índ. (nº),- ,80,17,63,- ,- 
,,,UTA,157,62,12,50,92,3
,,Vila Nova de Poiares,índ. (nº),- ,20,4,16,- ,- 
,,,UTA,57,13,2,10,43,1
,Dão-Lafões,,índ. (nº),- ,"2,264",247,"2,017",- ,- 
,,,UTA,"3,304","1,517",154,"1,356","1,683",104
,,Aguiar da Beira,índ. (nº),- ,22,3,19,- ,- 
,,,UTA,105,16,2,14,84,5
,,Carregal do Sal,índ. (nº),- ,109,14,95,- ,- 
,,,UTA,129,43,9,35,85,1
,,Castro Daire,índ. (nº),- ,19,5,14,- ,- 
,,,UTA,78,10,1,9,67,1
,,Mangualde,índ. (nº),- ,130,33,97,- ,- 
,,,UTA,280,102,17,83,168,10
,,Mortágua,índ. (nº),- ,106,13,93,- ,- 
,,,UTA,122,91,10,80,27,4
,,Nelas,índ. (nº),- ,135,14,121,- ,- 
,,,UTA,264,94,10,84,165,5
,,Oliveira de Frades,índ. (nº),- ,137,18,119,- ,- 
,,,UTA,160,106,8,97,47,7
,,Penalva do Castelo,índ. (nº),- ,44,7,37,- ,- 
,,,UTA,152,38,5,32,110,4
,,Santa Comba Dão,índ. (nº),- ,101,15,86,- ,- 
,,,UTA,146,75,12,64,66,5
,,São Pedro do Sul,índ. (nº),- ,127,14,113,- ,- 
,,,UTA,141,74,11,62,59,8
,,Sátão,índ. (nº),- ,52,8,44,- ,- 
,,,UTA,122,29,3,26,85,8
,,Tondela,índ. (nº),- ,666,43,623,- ,- 
,,,UTA,803,476,21,452,311,16
,,Vila Nova de Paiva,índ. (nº),- ,3,2,1,- ,- 
,,,UTA,44,3,2,1,35,6
,,Viseu,índ. (nº),- ,551,47,504,- ,- 
,,,UTA,656,305,34,271,333,18
,,Vouzela,índ. (nº),- ,62,11,51,- ,- 
,,,UTA,102,55,9,46,41,6
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,
