"Principais Culturas Temporárias (Dão-Lafões, página 2)",,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 9/9
Região Agrária,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
Concelho,,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,Penalva do Castelo,,,,,,,,,,,
,,Culturas temporárias,"1,269","2,703","1,257","1,734",913,970,818,901,223,70
,,Cereais para grão,"1,140",765,"1,121",735,131,31,9,5,122,24
,,Leguminosas secas para grão,970,151,950,146,49,3,5,o ,45,3
,,Prados temporários,58,39,34,29,29,9,- ,- ,29,9
,,Culturas forrageiras,992,"1,289",511,378,850,910,810,892,93,21
,,Batata,"1,212",452,"1,187",438,97,13,3,o ,95,13
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,3,1,3,1,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,22,4,21,4,1,... ,1,... ,- ,- 
,,Flores e plantas ornamentais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Santa Comba Dão,,,,,,,,,,,
,,Culturas temporárias,753,"1,044",745,835,343,208,223,157,198,52
,,Cereais para grão,672,387,670,365,55,24,12,5,47,17
,,Leguminosas secas para grão,547,100,535,90,59,8,15,2,48,6
,,Prados temporários,37,28,35,27,4,1,- ,- ,4,1
,,Culturas forrageiras,382,383,285,227,209,157,189,148,35,10
,,Batata,630,124,589,111,114,13,3,1,112,12
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,9,3,9,3,1,... ,- ,- ,1,... 
,,Culturas hortícolas,98,13,74,9,33,2,30,1,4,o 
,,Flores e plantas ornamentais,3,1,3,1,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,1,... ,1,... ,1,... ,- ,- ,1,... 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,24,2,22,2,2,... ,- ,- ,2,... 
,São Pedro do Sul,,,,,,,,,,,
,,Culturas temporárias,"1,648","3,943","1,646","2,130","1,563","1,809","1,555","1,776",140,35
,,Cereais para grão,"1,572","1,293","1,569","1,227",254,68,209,61,47,5
,,Leguminosas secas para grão,"1,332",330,"1,326",326,55,4,15,1,40,3
,,Prados temporários,124,71,111,68,14,3,- ,- ,14,3
,,Culturas forrageiras,"1,582","2,156",812,425,"1,555","1,729","1,551","1,708",86,19
,,Batata,912,69,897,66,34,3,4,o ,30,3
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,3,4,3,4,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,67,13,67,13,- ,- ,- ,- ,- ,- 
,,Flores e plantas ornamentais,4,o ,4,o ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,3,o ,- ,- ,3,o ,3,o ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,1,... ,- ,- ,1,... ,1,... ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sátão,,,,,,,,,,,
,,Culturas temporárias,"1,544","2,899","1,536","1,771","1,426","1,124","1,404","1,090",156,34
,,Cereais para grão,"1,447","1,234","1,443","1,175",155,60,99,45,63,14
,,Leguminosas secas para grão,"1,129",108,"1,125",107,28,1,4,o ,24,1
,,Prados temporários,140,53,126,49,19,4,- ,- ,19,4
,,Culturas forrageiras,"1,413","1,235",332,185,"1,396","1,049","1,393","1,042",48,6
,,Batata,"1,454",253,"1,430",246,60,9,1,... ,59,8
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,267,13,233,10,42,3,38,3,5,o 
,,Flores e plantas ornamentais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Tondela,,,,,,,,,,,
,,Culturas temporárias,"3,219","4,177","3,172","2,803","2,186","1,374","1,909","1,304",496,71
,,Cereais para grão,"2,753","1,394","2,747","1,372",97,21,69,20,28,1
,,Leguminosas secas para grão,"2,334",433,"2,308",422,86,7,31,4,55,3
,,Prados temporários,61,25,61,25,1,... ,- ,- ,1,... 
,,Culturas forrageiras,"2,213","1,892","1,132",594,"1,894","1,292","1,869","1,277",59,11
,,Batata,"2,708",397,"2,542",348,429,47,8,1,422,46
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,33,13,33,13,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,286,23,274,23,20,o ,13,o ,7,o 
,,Flores e plantas ornamentais,10,1,10,1,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,6,o ,2,... ,4,o ,3,o ,1,... 
,Vila Nova de Paiva,,,,,,,,,,,
,,Culturas temporárias,728,"1,834",728,"1,104",703,728,702,721,19,7
,,Cereais para grão,702,810,698,731,138,78,136,75,11,3
,,Leguminosas secas para grão,372,53,372,53,2,... ,1,... ,1,... 
,,Prados temporários,47,27,46,25,2,... ,- ,- ,2,... 
,,Culturas forrageiras,697,803,207,157,695,646,694,645,6,1
,,Batata,610,140,609,139,4,2,1,... ,3,2
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,4,2,4,2,- ,- ,- ,- ,- ,- 
,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,15,1,4,o ,11,1,11,1,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,3,o ,2,... ,1,... ,1,... ,- ,- 
,Viseu,,,,,,,,,,,
,,Culturas temporárias,"4,188","6,019","4,122","3,809","3,273","2,213","2,931","1,939","1,166",274
,,Cereais para grão,"3,756","1,895","3,690","1,798",586,101,120,32,477,64
,,Leguminosas secas para grão,"3,507",589,"3,415",557,438,29,45,4,397,26
,,Prados temporários,238,80,219,76,26,3,- ,- ,26,3
,,Culturas forrageiras,"3,062","2,581","1,276",625,"2,935","1,959","2,869","1,876",439,80
,,Batata,"3,760",703,"3,506",608,713,93,6,1,708,92
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,7,1,7,1,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,"1,391",164,"1,144",139,301,21,216,17,87,3
,,Flores e plantas ornamentais,47,3,47,3,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,7,2,3,1,4,1,4,1,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,3,o ,3,o ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,Vouzela,,,,,,,,,,,
,,Culturas temporárias,"1,248","2,749","1,245","1,496","1,189","1,253","1,179","1,235",77,14
,,Cereais para grão,"1,190",808,"1,188",792,74,19,53,14,25,2
,,Leguminosas secas para grão,"1,050",239,"1,048",238,21,1,4,o ,17,o 
,,Prados temporários,165,89,164,89,4,o ,- ,- ,4,o 
,,Culturas forrageiras,"1,188","1,456",440,236,"1,174","1,220","1,171","1,212",36,8
,,Batata,"1,024",126,"1,006",126,31,1,2,... ,29,1
,,Beterraba sacarina,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,4,4,3,4,1,... ,1,... ,- ,- 
,,Culturas hortícolas,171,12,163,11,12,o ,4,o ,8,o 
,,Flores e plantas ornamentais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,62,7,2,... ,60,7,60,7,1,... 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,,
