"Culturas regadas, página 2",,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,pág. 2/2
Região Agrária,,,Beterraba sacarina,Girasol,Tomate para indústria,Hortícolas              ao ar livre,"Prados, Pastagens Permanentes",Pomares excepto citrinos,Citrinos,Vinha para uva de mesa,Vinha para Vinho,Olival,Outras excepto a da horta familiar
Nut III,,,,,,,,,,,,,
Concelho,,,,,,,,,,,,,
,,área regada (ha),- ,... ,- ,2,57,6,... ,- ,- ,6,50
,Castanheira de Pêra,expl (nº),- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,22
,,área regada (ha),- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,2
,Figueiró dos Vinhos,expl (nº),- ,1,3,1,1,1,- ,- ,- ,- ,178
,,área regada (ha),- ,... ,4,... ,... ,... ,- ,- ,- ,- ,17
,Góis,expl (nº),- ,- ,- ,17,3,6,- ,- ,- ,7,163
,,área regada (ha),- ,- ,- ,4,4,2,- ,- ,- ,o ,29
,Lousã,expl (nº),- ,- ,- ,57,8,8,5,- ,- ,5,138
,,área regada (ha),- ,- ,- ,8,19,5,1,- ,- ,3,90
,Miranda do Corvo,expl (nº),- ,2,- ,312,4,56,17,- ,- ,5,413
,,área regada (ha),- ,... ,- ,49,7,33,1,- ,- ,3,101
,Oliveira do Hospital,expl (nº),- ,- ,- ,49,28,37,7,1,- ,23,"1,141"
,,área regada (ha),- ,- ,- ,9,41,17,1,... ,- ,22,221
,Pampilhosa da Serra,expl (nº),- ,- ,- ,15,12,8,6,- ,- ,12,184
,,área regada (ha),- ,- ,- ,1,12,1,o ,- ,- ,4,12
,Pedrógão Grande,expl (nº),- ,- ,- ,- ,- ,1,1,- ,- ,- ,126
,,área regada (ha),- ,- ,- ,- ,- ,... ,... ,- ,- ,- ,18
,Penela,expl (nº),- ,- ,- ,78,21,42,6,- ,- ,2,324
,,área regada (ha),- ,- ,- ,4,64,14,o ,- ,- ,... ,31
,Tábua,expl (nº),- ,- ,- ,48,13,11,2,- ,- ,4,463
,,área regada (ha),- ,- ,- ,8,38,2,... ,- ,- ,2,63
,Vila Nova de Poiares,expl (nº),- ,- ,- ,57,- ,9,1,- ,- ,2,141
,,área regada (ha),- ,- ,- ,10,- ,10,... ,- ,- ,... ,24
Dão-Lafões,,expl (nº),1,7,- ,"2,030","3,572","1,082",209,3,- ,221,"17,052"
,,área regada (ha),... ,1,- ,226,"3,186","1,197",34,o ,- ,79,"3,319"
,Aguiar da Beira,expl (nº),- ,- ,- ,- ,24,48,- ,- ,- ,1,833
,,área regada (ha),- ,- ,- ,- ,74,152,- ,- ,- ,... ,120
,Carregal do Sal,expl (nº),- ,- ,- ,33,7,27,5,- ,- ,1,750
,,área regada (ha),- ,- ,- ,9,13,35,o ,- ,- ,... ,100
,Castro Daire,expl (nº),- ,- ,- ,15,"1,040",26,- ,- ,- ,63,"1,408"
,,área regada (ha),- ,- ,- ,1,"1,039",17,- ,- ,- ,7,339
,Mangualde,expl (nº),- ,- ,- ,387,16,96,4,- ,- ,7,"1,245"
,,área regada (ha),- ,- ,- ,30,58,101,o ,- ,- ,9,232
,Mortágua,expl (nº),- ,- ,- ,4,5,8,- ,- ,- ,- ,364
,,área regada (ha),- ,- ,- ,2,19,o ,- ,- ,- ,- ,46
,Nelas,expl (nº),- ,- ,- ,8,9,66,1,- ,- ,31,656
,,área regada (ha),- ,- ,- ,2,52,40,... ,- ,- ,14,73
,Oliveira de Frades,expl (nº),- ,2,- ,11,355,41,46,- ,- ,- ,897
,,área regada (ha),- ,... ,- ,1,230,12,3,- ,- ,- ,263
,Penalva do Castelo,expl (nº),- ,- ,- ,19,28,77,1,- ,- ,6,983
,,área regada (ha),- ,- ,- ,4,95,137,... ,- ,- ,7,218
,Santa Comba Dão,expl (nº),- ,2,- ,42,13,19,6,- ,- ,1,497
,,área regada (ha),- ,... ,- ,6,191,27,o ,- ,- ,... ,73
,São Pedro do Sul,expl (nº),- ,1,- ,39,399,86,30,1,- ,4,"1,352"
,,área regada (ha),- ,... ,- ,9,185,106,4,... ,- ,4,379
,Sátão,expl (nº),- ,- ,- ,97,154,57,- ,- ,- ,49,"1,038"
,,área regada (ha),- ,- ,- ,8,104,65,- ,- ,- ,15,108
,Tondela,expl (nº),- ,1,- ,84,162,157,98,- ,- ,6,"2,288"
,,área regada (ha),- ,... ,- ,11,139,46,25,- ,- ,4,450
,Vila Nova de Paiva,expl (nº),- ,- ,- ,- ,422,20,- ,- ,- ,6,333
,,área regada (ha),- ,- ,- ,- ,437,15,- ,- ,- ,o ,80
,Viseu,expl (nº),- ,1,- ,"1,147",639,314,13,2,- ,44,"3,366"
,,área regada (ha),- ,... ,- ,133,345,320,1,... ,- ,15,577
,Vouzela,expl (nº),1,- ,- ,144,299,40,5,- ,- ,2,"1,042"
,,área regada (ha),... ,- ,- ,10,205,124,o ,- ,- ,... ,261
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,,,
