"Efectivo animal (Baixo Vouga, página 3)",,,,,,,,
,,,,,,,,1999
,,,,,,,,pág. 3/12
,,,Ovar,,Sever do Vouga,,Vagos,
,,,Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº),Expl (nº),Efectivo (nº)
BOVINOS,,,461,"10,497",549,"1,649","1,363","9,009"
Bovinos com menos de 1 ano,,,369,"2,911",249,466,956,"3,088"
,Vitelos de carne (para abate < 1 ano),,3,26,75,104,199,820
,Outros vitelos,,369,"2,885",181,362,817,"2,268"
,,Machos,309,"1,250",103,194,381,986
,,Fêmeas,258,"1,635",107,168,592,"1,282"
Bovinos de 1 a menos de 2 anos,,,356,"2,480",117,194,387,"1,094"
,Machos,,240,954,55,102,152,367
,Fêmeas reprodutoras,,211,"1,481",66,84,258,707
,Fêmeas não reprodutoras,,29,45,7,8,13,20
Bovinos de 2 anos e mais,,,319,"5,106",443,989,"1,016","4,827"
,Machos,,35,71,2,... ,38,60
,Novilhas reprodutoras,,36,148,3,8,110,262
,Novilhas não reprodutoras,,5,6,- ,- ,6,12
,Vacas leiteiras,,288,"4,830",401,883,731,"4,058"
,Outras vacas,,22,51,57,93,306,435
SUÍNOS,,,404,"4,623",569,"4,778","1,695","11,792"
,Suínos com menos de 20 kg de PV,,15,"1,432",57,"1,272",478,"4,358"
,Fêmeas reprodutoras de 50 kg de PV e mais,,32,483,99,570,848,"2,424"
,Outros suínos,,398,"2,708",540,"2,936","1,002","5,010"
OVINOS,,,30,223,62,674,51,194
,Fêmeas reprodutoras,,30,185,58,629,48,163
,Outros ovinos,,18,38,14,45,18,31
CAPRINOS,,,39,140,179,803,72,221
,Fêmeas reprodutoras,,39,117,173,745,66,173
,Outros caprinos,,13,23,26,58,33,48
EQUÍDEOS,,,21,45,3,4,34,53
,Gado equino,,20,43,3,4,18,32
,,Fêmeas reprodutoras,11,16,- ,- ,10,17
,,Outros equinos,12,27,3,4,12,15
,Gado asinino,,- ,- ,- ,- ,8,11
,Gado muar,,2,... ,- ,- ,10,10
COELHAS reprodutoras,,,193,865,251,"2,800",363,"2,488"
AVES,,,,,,,,
,Frangos de carne (inclui galos),,482,"91,794",348,"60,020","1,144","16,878"
,Galinhas poedeiras e reprodutoras,,426,"79,255",481,"37,897","1,340","95,888"
,Perús,,26,118,22,64,63,249
,"Patos, Gansos e pintadas",,140,"1,109",52,223,315,"1,900"
ABELHAS,,,,,,,,
,Número de colmeias povoadas,,12,86,68,238,31,170
,Número de cortiços povoadas,,1,... ,22,50,1,... 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,
