Produtor singular segundo a Dimensão Económica e as Classes de Idade (Dão-Lafões),,,,,,,,,,,
,,,,,,,,,,,1999
,,,,,,,,,,,pág. 5/5
Região Agrária,,,,Total,Classes de dimensão económica (UDE),,,,,,
Nut III,,,,,> 0 a < 2,2 a < 4,4 a < 8,8 a < 16,16 a < 40,40 a < 100,> = 100
Concelho,,,,,nº de indíviduos,,,,,,
,Dão-Lafões,,,,,,,,,,
,,,25 - 34,67,46,9,6,3,3,- ,- 
,,,35 - 44,351,217,78,31,18,5,2,- 
,,,45 - 54,764,510,176,59,16,3,- ,- 
,,,55 - 64,"1,081",752,235,71,18,4,- ,1
,,,>= 65,"1,128",868,189,47,17,6,1,- 
,,Vila Nova de Poiares,,,,,,,,,
,,,Total,754,408,206,99,38,2,- ,1
,,,15 - 24,2,1,1,- ,- ,- ,- ,- 
,,,25 - 34,29,12,5,8,3,- ,- ,1
,,,35 - 44,102,54,25,13,9,1,- ,- 
,,,45 - 54,167,77,53,28,9,- ,- ,- 
,,,55 - 64,198,105,57,25,11,- ,- ,- 
,,,>= 65,256,159,65,25,6,1,- ,- 
,,Viseu,,,,,,,,,
,,,Total,"4,296","2,876","1,072",252,70,23,2,1
,,,15 - 24,4,3,- ,1,- ,- ,- ,- 
,,,25 - 34,78,53,11,5,8,1,- ,- 
,,,35 - 44,446,312,90,30,9,5,- ,- 
,,,45 - 54,"1,027",673,269,61,19,5,- ,- 
,,,55 - 64,"1,415",911,392,85,18,8,1,- 
,,,>= 65,"1,326",924,310,70,16,4,1,1
,,Vouzela,,,,,,,,,
,,,Total,"1,279",713,397,125,32,10,2,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,41,23,10,7,- ,1,- ,- 
,,,35 - 44,159,74,53,24,5,3,- ,- 
,,,45 - 54,289,148,97,29,12,2,1,- 
,,,55 - 64,373,192,121,47,12,1,- ,- 
,,,>= 65,417,276,116,18,3,3,1,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,
