"Máquinas e equipamentos (Baixo Vouga, página 2)",,,,,,,,,
,,,,,,,,,1999
,,,,,,,,,pág. 2/8
,,,Ílhavo,Mealhada,Murtosa,Oliveira do Bairro,Ovar,Sever do Vouga,Vagos
Explorações que utilizam tractores Máquinas pertencentes à exploração,,expl (nº),274,"1,203",360,"1,514",565,667,"2,002"
Tractores ( de rodas e de rasto),,expl (nº),107,693,192,590,351,303,641
,,máq (nº),140,756,383,659,575,337,735
,De menos de 20 c.v.,expl (nº),5,34,- ,98,5,6,23
,,máq (nº),5,34,- ,98,5,6,23
,De 20 a menos de 34 c.v.,expl (nº),15,158,9,166,15,42,98
,,máq (nº),16,158,9,166,16,42,100
,De 34 a menos de 55 c.v.,expl (nº),45,408,121,234,139,235,290
,,máq (nº),46,419,146,239,144,250,294
,De 55 a menos de 82 c.v.,expl (nº),43,114,116,109,235,38,248
,,máq (nº),55,129,177,128,350,38,294
,De 82 a menos de 109 c.v,expl (nº),3,14,37,24,52,- ,18
,,máq (nº),3,14,44,25,59,- ,18
,De 109 c.v. e mais,expl (nº),11,2,6,3,1,1,6
,,máq (nº),15,... ,7,3,... ,... ,6
Motocultivadores,,expl (nº),68,198,71,396,379,49,247
,,máq (nº),73,202,72,406,415,50,253
Motoenxadas (motofresas),,expl (nº),14,149,5,178,33,24,46
,,máq (nº),14,151,5,187,33,24,46
Motoceifeiras (motogadanheiras),,expl (nº),51,159,163,137,86,35,228
,,máq (nº),54,163,181,147,95,36,244
Electrobomba/motobomba,,expl (nº),272,"1,080",368,"1,515",581,153,"1,979"
,,máq (nº),524,"1,894",900,"3,151","1,503",213,"4,362"
Distribuidores de adubos e correctivos,,expl (nº),19,18,115,24,202,2,40
,,máq (nº),21,19,121,25,212,... ,42
Semeadores,,expl (nº),16,26,87,49,142,5,26
,,máq (nº),17,28,87,53,143,5,31
Plantadores/transplantadores,,expl (nº),3,10,3,10,- ,- ,17
,,máq (nº),4,10,3,10,- ,- ,17
Pulverizadores e polvilhadores,,expl (nº),10,282,145,120,194,4,58
,,máq (nº),10,296,148,128,197,4,63
Gadanheiras,,expl (nº),12,17,103,19,138,11,47
,,máq (nº),13,19,121,20,142,11,52
Colhedores de forragem,,expl (nº),6,8,116,12,172,2,34
,,máq (nº),6,12,198,17,260,... ,40
Enfardadeiras,,expl (nº),7,9,70,11,33,7,15
,,máq (nº),7,10,71,11,35,8,16
Ceifeiras-debulhadoras,,expl (nº),11,5,1,6,2,- ,3
,,máq (nº),13,5,... ,6,... ,- ,3
Secadores de cereais,,expl (nº),2,2,- ,6,- ,1,1
,,máq (nº),... ,... ,- ,7,- ,... ,... 
Viradores de feno,,expl (nº),1,6,88,11,73,2,13
,,máq (nº),... ,6,93,12,73,... ,14
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,
