Principais culturas permanentes,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1999
Região Agrária,,,,Culturas Permanentes,Frutos frescos,Citrinos,Frutos sub-tropicais,Frutos secos,Olival,Vinha,Viveiros,Chá,Vime,Outras culturas permanentes
Nut III,,,,,,,,,,,,,,
Concelho,,,,,,,,,,,,,,
BEIRA LITORAL,,,expl (nº),"61,900","7,475","4,579",343,"2,425","26,339","54,243",298,- ,- ,544
,,,área (ha),"48,300","3,553",617,166,978,"17,590","24,498",475,- ,- ,371
,Baixo Vouga,,expl (nº),"9,667",994,912,192,181,"1,149","8,778",35,- ,- ,485
,,,área (ha),"6,277",155,105,123,61,323,"5,136",23,- ,- ,338
,,Águeda,expl (nº),"1,629",116,107,17,30,24,"1,562",5,- ,- ,- 
,,,área (ha),369,35,13,10,15,3,291,1,- ,- ,- 
,,Albergaria-a-Velha,expl (nº),768,45,43,7,6,1,748,1,- ,- ,9
,,,área (ha),83,5,2,3,7,... ,58,... ,- ,- ,4
,,Anadia,expl (nº),"2,345",181,114,46,44,369,"2,265",7,- ,- ,6
,,,área (ha),"2,927",31,18,48,16,83,"2,722",7,- ,- ,o 
,,Aveiro,expl (nº),768,44,45,10,2,- ,727,7,- ,- ,98
,,,área (ha),164,4,4,7,... ,- ,62,1,- ,- ,85
,,Estarreja,expl (nº),507,44,33,- ,1,- ,378,- ,- ,- ,148
,,,área (ha),111,4,1,- ,... ,- ,23,- ,- ,- ,79
,,Ílhavo,expl (nº),32,1,6,2,- ,- ,18,- ,- ,- ,9
,,,área (ha),6,... ,1,... ,- ,- ,1,- ,- ,- ,2
,,Mealhada,expl (nº),"1,385",291,269,25,49,747,"1,313",5,- ,- ,2
,,,área (ha),"1,470",36,26,2,8,237,"1,158",5,- ,- ,... 
,,Murtosa,expl (nº),148,3,- ,- ,- ,- ,- ,- ,- ,- ,146
,,,área (ha),119,o ,- ,- ,- ,- ,- ,- ,- ,- ,119
,,Oliveira do Bairro,expl (nº),"1,338",122,113,59,29,8,"1,280",9,- ,- ,4
,,,área (ha),844,18,12,49,8,o ,749,9,- ,- ,o 
,,Ovar,expl (nº),229,69,67,1,- ,- ,120,- ,- ,- ,62
,,,área (ha),63,7,6,... ,- ,- ,3,- ,- ,- ,49
,,Sever do Vouga,expl (nº),122,48,55,18,15,- ,31,1,- ,- ,1
,,,área (ha),20,9,5,o ,3,- ,o ,... ,- ,- ,... 
,,Vagos,expl (nº),396,30,60,7,5,- ,336,- ,- ,- ,- 
,,,área (ha),101,6,17,3,3,- ,69,- ,- ,- ,- 
,Baixo Mondego,,expl (nº),"12,224","1,879","1,835",63,280,"4,889","10,677",81,- ,- ,21
,,,área (ha),"9,831",379,315,27,75,"3,178","5,686",144,- ,- ,10
,,Cantanhede,expl (nº),"3,484",431,574,17,80,779,"3,189",5,- ,- ,4
,,,área (ha),"3,536",58,93,10,27,245,"3,102",o ,- ,- ,o 
,,Coimbra,expl (nº),"2,428",505,405,20,90,"1,094","2,260",70,- ,- ,13
,,,área (ha),"2,055",115,90,3,22,524,"1,142",143,- ,- ,9
,,Condeixa-a-Nova,expl (nº),"1,035",130,73,2,32,876,889,3,- ,- ,1
,,,área (ha),"1,227",28,9,... ,7,788,392,1,- ,- ,... 
,,Figueira da Foz,expl (nº),"1,021",182,209,5,11,59,836,- ,- ,- ,2
,,,área (ha),274,31,27,1,3,14,196,- ,- ,- ,... 
,,Mira,expl (nº),369,145,269,14,7,1,161,- ,- ,- ,- 
,,,área (ha),103,22,53,1,2,... ,25,- ,- ,- ,- 
,,Montemor-o-Velho,expl (nº),"1,042",84,86,1,5,189,891,1,- ,- ,- 
,,,área (ha),333,13,17,... ,o ,112,177,... ,- ,- ,- 
,,Penacova,expl (nº),740,41,12,2,4,338,714,- ,- ,- ,- 
,,,área (ha),250,10,1,... ,o ,115,120,- ,- ,- ,- 
,,Soure,expl (nº),"2,105",361,207,2,51,"1,553","1,737",2,- ,- ,1
,,,área (ha),"2,053",102,25,... ,14,"1,380",532,... ,- ,- ,... 
,Pinhal Litoral,,expl (nº),"10,164","2,213",968,20,234,"5,438","7,842",24,- ,- ,6
,,,área (ha),"9,967","1,586",96,3,72,"4,584","3,474",145,- ,- ,15
,,Batalha,expl (nº),962,291,39,1,14,566,680,1,- ,- ,3
,,,área (ha),"1,312",291,5,... ,8,331,660,... ,- ,- ,15
,,Leiria,expl (nº),"3,490",793,249,8,85,"1,317","2,934",19,- ,- ,3
,,,área (ha),"3,150",648,35,2,33,723,"1,587",133,- ,- ,o 
,,Marinha Grande,expl (nº),112,47,16,2,- ,2,81,- ,- ,- ,- 
,,,área (ha),41,15,3,... ,- ,... ,20,- ,- ,- ,- 
,,Pombal,expl (nº),"4,183",634,598,8,101,"2,330","3,691",2,- ,- ,- 
,,,área (ha),"2,623",86,46,o ,15,"1,499",975,... ,- ,- ,- 
,,Porto de Mós,expl (nº),"1,417",448,66,1,34,"1,223",456,2,- ,- ,- 
,,,área (ha),"2,841",546,7,... ,16,"2,029",232,... ,- ,- ,- 
,Pinhal Interior Norte,,expl (nº),"9,612",755,315,14,370,"7,949","7,741",119,- ,- ,2
,,,área (ha),"9,423",180,25,2,192,"7,142","1,723",149,- ,- ,... 
,,Alvaiázere,expl (nº),"1,084",64,22,2,21,"1,038",761,- ,- ,- ,- 
,,,área (ha),"1,459",12,2,... ,8,"1,237",197,- ,- ,- ,- 
,,Ansião,expl (nº),"1,670",75,22,- ,37,"1,635","1,347",- ,- ,- ,- 
,,,área (ha),"2,204",8,1,- ,8,"1,838",349,- ,- ,- ,- 
,,Arganil,expl (nº),851,63,3,1,32,709,721,1,- ,- ,- 
,,,área (ha),572,24,o ,... ,10,495,40,... ,- ,- ,- 
,,Castanheira de Pêra,expl (nº),59,1,1,- ,6,55,32,- ,- ,- ,- 
,,,área (ha),46,... ,... ,- ,2,40,4,- ,- ,- ,- 
,,Figueiró dos Vinhos,expl (nº),478,40,29,- ,22,411,407,- ,- ,- ,- 
