"Explorações com rega e drenagem (Baixo Vouga, página 2)",,,,,,,,,,
,,,,,,,,,,1999
,,,,,,,,,,pág. 2/8
,,,,Ílhavo,Mealhada,Murtosa,Oliveira do Bairro,Ovar,Sever do Vouga,Vagos
Superfície irrigável,,,expl (nº),283,"1,280",373,"1,413",593,682,"1,948"
,,,área (ha),767,"1,024","1,328","1,559","1,435",867,"2,635"
Sistema de rega ,,,,,,,,,,
,Colectivo estatal,,expl (nº),2,69,- ,23,6,70,17
,Colectivo privado,,expl (nº),3,31,- ,80,2,596,45
,Individual,,expl (nº),281,"1,246",373,"1,388",587,264,"1,932"
Origem das águas de rega,,,,,,,,,,
,"Furo, poço, nascente",,expl (nº),280,"1,190",373,"1,391",577,471,"1,945"
,Albufeira (barragem),,expl (nº),- ,13,- ,2,14,2,1
,Açude,,expl (nº),- ,33,- ,14,1,128,1
,Charca,,expl (nº),2,13,- ,6,- ,30,4
,Curso de água natural,,expl (nº),3,331,- ,162,188,377,13
,Outra,,expl (nº),9,16,- ,16,7,51,3
Método de colocação de água no terreno,,,,,,,,,,
,Sem elevação,,expl (nº),2,218,- ,18,28,663,17
,Com elevação,,expl (nº),282,"1,221",373,"1,411",589,143,"1,941"
,,Motor electrico,expl (nº),88,491,240,726,547,70,"1,312"
,,Motor a carburante,expl (nº),235,987,296,"1,121",279,58,"1,396"
,,Outros meios,expl (nº),3,4,- ,7,2,20,7
Superfície drenada,,,expl (nº),1,139,2,79,- ,- ,209
,,,área (ha),... ,74,... ,81,- ,- ,433
Superfície com encharcamento,,,expl (nº),7,178,- ,8,27,1,80
,,,área (ha),2,52,- ,87,10,... ,120
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,
