"Culturas regadas, página 1",,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 1/2
Região Agrária,,,Trigo mole,Trigo duro,Milho híbrido,Milho regional,Arroz,Milho para silagem,Milharada,Outras culturas forrageiras,Prados temporários,Batata excepto a da horta familiar
Nut III,,,,,,,,,,,,
Concelho,,,,,,,,,,,,
BEIRA LITORAL,,expl (nº),198,- ,"25,469","30,474","1,312","4,298","8,112","15,312","1,130","37,773"
,,área regada (ha),92,- ,"18,867","13,590","6,406","10,613","3,951","11,461",934,"9,057"
Baixo Vouga,,expl (nº),34,- ,"9,525","1,449",120,"2,048","1,123","2,534",78,"6,671"
,,área regada (ha),17,- ,"5,800",637,310,"5,715",301,"1,320",63,"1,826"
,Águeda,expl (nº),10,- ,"1,556",369,7,39,87,320,14,715
,,área regada (ha),7,- ,923,187,96,197,16,114,8,133
,Albergaria-a-Velha,expl (nº),3,- ,619,180,10,189,38,78,3,136
,,área regada (ha),o ,- ,442,85,3,562,9,11,10,20
,Anadia,expl (nº),7,- ,"1,634",77,- ,37,23,286,1,"1,608"
,,área regada (ha),4,- ,781,18,- ,128,8,74,... ,474
,Aveiro,expl (nº),3,- ,808,129,- ,168,64,249,7,316
,,área regada (ha),2,- ,683,61,- ,388,18,111,3,71
,Estarreja,expl (nº),- ,- ,703,36,96,417,53,34,10,283
,,área regada (ha),- ,- ,462,14,99,"1,255",14,22,11,28
,Ílhavo,expl (nº),5,- ,181,11,- ,32,24,74,3,138
,,área regada (ha),3,- ,227,6,- ,119,13,74,4,63
,Mealhada,expl (nº),1,- ,831,85,- ,18,114,284,9,724
,,área regada (ha),... ,- ,375,21,- ,75,26,74,3,122
,Murtosa,expl (nº),- ,- ,280,16,- ,168,29,20,- ,161
,,área regada (ha),- ,- ,209,12,- ,870,9,12,- ,18
,Oliveira do Bairro,expl (nº),2,- ,"1,023",59,7,139,36,283,- ,949
,,área regada (ha),... ,- ,483,16,112,197,8,84,- ,264
,Ovar,expl (nº),- ,- ,377,18,- ,322,20,20,7,46
,,área regada (ha),- ,- ,243,8,- ,998,4,24,6,6
,Sever do Vouga,expl (nº),1,- ,584,176,- ,46,286,316,24,432
,,área regada (ha),... ,- ,337,63,- ,49,44,103,13,35
,Vagos,expl (nº),2,- ,929,293,- ,473,349,570,- ,"1,163"
,,área regada (ha),... ,- ,635,146,- ,877,132,617,- ,592
Baixo Mondego,,expl (nº),39,- ,"8,231","3,154","1,065","1,921","1,293","2,065",68,"5,455"
,,área regada (ha),31,- ,"8,536","1,210","5,702","4,089",489,"2,091",63,"1,660"
,Cantanhede,expl (nº),- ,- ,"2,052",416,5,730,300,652,7,"2,167"
,,área regada (ha),- ,- ,"1,143",153,11,"1,317",99,499,1,832
,Coimbra,expl (nº),6,- ,"1,398",488,79,20,75,150,11,750
,,área regada (ha),10,- ,"2,121",149,523,45,38,76,6,106
,Condeixa-a-Nova,expl (nº),13,- ,376,306,2,15,70,70,10,280
,,área regada (ha),6,- ,274,106,... ,52,15,20,3,34
,Figueira da Foz,expl (nº),8,- ,"1,038",426,490,419,333,636,16,684
,,área regada (ha),4,- ,808,166,"2,703",770,135,945,24,96
,Mira,expl (nº),- ,- ,502,211,- ,124,239,172,1,754
,,área regada (ha),- ,- ,335,105,- ,513,113,191,... ,476
,Montemor-o-Velho,expl (nº),1,- ,"1,474",475,301,603,211,350,15,237
,,área regada (ha),... ,- ,"2,649",230,"1,665","1,332",76,339,20,34
,Penacova,expl (nº),- ,- ,69,476,- ,- ,19,8,- ,224
,,área regada (ha),- ,- ,24,150,- ,- ,3,2,- ,40
,Soure,expl (nº),11,- ,"1,322",356,188,10,46,27,8,359
,,área regada (ha),11,- ,"1,182",151,779,60,10,19,8,42
Pinhal Litoral,,expl (nº),58,- ,"4,448","2,223",127,173,372,874,72,954
,,área regada (ha),27,- ,"2,807",941,394,442,133,355,43,148
,Batalha,expl (nº),- ,- ,153,46,- ,20,3,17,2,42
,,área regada (ha),- ,- ,50,11,- ,28,o ,17,... ,6
,Leiria,expl (nº),13,- ,"1,924",807,8,112,137,248,16,523
,,área regada (ha),10,- ,"1,587",406,128,298,67,206,6,94
,Marinha Grande,expl (nº),- ,- ,108,16,- ,- ,2,18,7,33
,,área regada (ha),- ,- ,89,7,- ,- ,... ,6,2,9
,Pombal,expl (nº),44,- ,"2,228","1,317",119,41,229,571,46,326
,,área regada (ha),17,- ,"1,072",503,266,116,65,113,35,31
,Porto de Mós,expl (nº),1,- ,35,37,- ,- ,1,20,1,30
,,área regada (ha),... ,- ,9,14,- ,- ,... ,13,... ,8
Pinhal Interior Norte,,expl (nº),21,- ,"1,154","4,851",- ,2,"1,002",782,112,"5,667"
,,área regada (ha),8,- ,356,"1,843",- ,... ,752,750,156,"1,349"
,Alvaiázere,expl (nº),- ,- ,314,182,- ,- ,53,16,4,292
,,área regada (ha),- ,- ,69,44,- ,- ,14,9,4,20
,Ansião,expl (nº),- ,- ,209,380,- ,- ,49,21,4,370
,,área regada (ha),- ,- ,50,70,- ,- ,7,1,3,26
,Arganil,expl (nº),2,- ,61,587,- ,- ,44,59,- ,605
,,área regada (ha),... ,- ,49,216,- ,- ,23,63,- ,103
,Castanheira de Pêra,expl (nº),- ,- ,2,23,- ,- ,2,- ,- ,37
,,área regada (ha),- ,- ,... ,5,- ,- ,... ,- ,- ,8
,Figueiró dos Vinhos,expl (nº),- ,- ,60,264,- ,- ,4,5,- ,363
,,área regada (ha),- ,- ,18,73,- ,- ,o ,1,- ,85
,Góis,expl (nº),- ,- ,4,173,- ,- ,64,34,5,183
,,área regada (ha),- ,- ,2,61,- ,- ,29,20,2,25
,Lousã,expl (nº),7,- ,81,141,- ,- ,22,30,- ,195
,,área regada (ha),4,- ,46,64,- ,- ,6,14,- ,39
,Miranda do Corvo,expl (nº),- ,- ,236,307,- ,- ,82,96,1,396
,,área regada (ha),- ,- ,46,70,- ,- ,18,22,... ,47
,Oliveira do Hospital,expl (nº),6,- ,13,"1,158",- ,- ,402,312,65,"1,450"
,,área regada (ha),1,- ,9,577,- ,- ,511,494,84,635
,Pampilhosa da Serra,expl (nº),- ,- ,- ,198,- ,- ,73,30,1,272
,,área regada (ha),- ,- ,- ,51,- ,- ,18,10,... ,40
,Pedrógão Grande,expl (nº),5,- ,50,238,- ,- ,29,2,6,275
,,área regada (ha),1,- ,22,89,- ,- ,11,... ,10,45
,Penela,expl (nº),- ,- ,74,328,- ,1,77,107,7,340
,,área regada (ha),- ,- ,13,68,- ,... ,15,23,1,26
,Tábua,expl (nº),1,- ,25,704,- ,1,101,69,19,739
,,área regada (ha),... ,- ,16,387,- ,... ,100,92,52,213
,Vila Nova de Poiares,expl (nº),- ,- ,25,168,- ,- ,- ,1,- ,150
,,área regada (ha),- ,- ,16,68,- ,- ,- ,... ,- ,37
Dão-Lafões,,expl (nº),46,- ,"2,111","18,797",- ,154,"4,322","9,057",800,"19,026"
,,área regada (ha),9,- ,"1,368","8,959",- ,344,"2,276","6,945",609,"4,074"
