"Principais Culturas Temporárias (Pinhal Interior Norte, página 1)",,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,pág. 6/9
Região Agrária,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
Nut III,,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
Concelho,,,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
Pinhal Interior Norte,,,,,,,,,,,,
,,Culturas temporárias,"9,313","12,512","8,078","8,173","6,502","4,329","1,789","1,208","5,633","3,121"
,,Cereais para grão,"6,973","3,739","6,015","2,938","2,394",806,75,21,"2,343",774
,,Leguminosas secas para grão,"6,002","1,198","4,584",709,"2,488",485,99,17,"2,409",468
,,Prados temporários,911,725,500,465,568,254,- ,- ,568,254
,,Culturas forrageiras,"5,480","4,931","3,592","2,615","4,012","2,318","1,564","1,124","3,009","1,190"
,,Batata,"7,218","1,618","5,508","1,236","2,698",383,45,6,"2,667",375
,,Beterraba sacarina,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,32,20,30,20,2,... ,- ,- ,2,... 
,,Culturas hortícolas,"1,698",234,"1,172",159,744,68,230,28,547,38
,,Flores e plantas ornamentais,40,17,36,17,4,1,- ,- ,4,1
,,Sementes de culturas forrageiras,23,5,9,2,16,3,3,o ,13,3
,,Sementes e propágulos de outras culturas não lenhosas,12,2,10,1,3,1,- ,- ,3,1
,,Outras culturas temporárias,44,15,33,10,15,6,4,1,12,4
,Alvaiázere,,,,,,,,,,,
,,Culturas temporárias,922,759,686,382,734,376,144,42,688,334
,,Cereais para grão,522,174,428,128,186,47,5,o ,182,46
,,Leguminosas secas para grão,557,153,301,53,388,99,14,4,377,96
,,Prados temporários,33,22,25,15,13,7,- ,- ,13,7
,,Culturas forrageiras,644,331,386,136,481,194,116,30,419,165
,,Batata,442,30,284,18,195,12,4,o ,193,11
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,167,28,128,20,60,8,32,5,33,2
,,Flores e plantas ornamentais,3,6,1,... ,2,... ,- ,- ,2,... 
,,Sementes de culturas forrageiras,2,... ,2,... ,1,... ,- ,- ,1,... 
,,Sementes e propágulos de outras culturas não lenhosas,2,... ,1,... ,1,... ,- ,- ,1,... 
,,Outras culturas temporárias,32,13,24,8,12,6,4,1,9,4
,Ansião,,,,,,,,,,,
,,Culturas temporárias,"1,579","1,872","1,383",839,"1,375","1,030",254,63,"1,348",968
,,Cereais para grão,"1,146",613,992,384,583,228,12,3,578,225
,,Leguminosas secas para grão,925,244,579,85,630,159,4,o ,627,159
,,Prados temporários,380,235,180,112,286,121,- ,- ,286,121
,,Culturas forrageiras,"1,217",668,684,206,"1,030",467,220,56,976,408
,,Batata,870,77,557,43,417,34,2,... ,416,34
,,Beterraba sacarina,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,264,25,88,7,193,17,33,2,168,14
,,Flores e plantas ornamentais,10,o ,9,o ,1,... ,- ,- ,1,... 
,,Sementes de culturas forrageiras,18,5,6,2,12,3,- ,- ,12,3
,,Sementes e propágulos de outras culturas não lenhosas,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,3,2,3,2,- ,- ,- ,- ,- ,- 
,Arganil,,,,,,,,,,,
,,Culturas temporárias,850,"1,035",800,807,553,229,289,93,376,133
,,Cereais para grão,709,437,690,407,118,30,7,1,112,27
,,Leguminosas secas para grão,578,63,552,57,62,3,2,... ,60,3
,,Prados temporários,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,499,364,293,204,380,161,280,91,182,67
,,Batata,817,164,705,128,214,35,2,... ,213,35
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,9,5,9,5,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,46,5,39,5,10,o ,4,o ,6,o 
,,Flores e plantas ornamentais,3,1,3,1,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,2,... ,1,... ,1,... ,- ,- ,1,... 
,Castanheira de Pêra,,,,,,,,,,,
,,Culturas temporárias,57,45,44,33,34,12,- ,- ,34,12
,,Cereais para grão,27,9,20,8,9,1,- ,- ,9,1
,,Leguminosas secas para grão,24,2,22,2,3,o ,- ,- ,3,o 
,,Prados temporários,12,7,4,5,10,2,- ,- ,10,2
,,Culturas forrageiras,34,17,19,9,23,7,- ,- ,23,7
,,Batata,40,9,32,8,11,1,- ,- ,11,1
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,1,... ,- ,- ,1,... ,- ,- ,1,... 
,,Culturas hortícolas,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Figeiró dos Vinhos,,,,,,,,,,,
,,Culturas temporárias,445,346,386,242,266,105,7,3,261,102
,,Cereais para grão,332,103,276,78,137,25,- ,- ,137,25
,,Leguminosas secas para grão,201,20,156,15,58,4,1,... ,57,3
,,Prados temporários,104,53,47,29,72,23,- ,- ,72,23
,,Culturas forrageiras,216,75,142,46,121,29,6,2,115,27
,,Batata,374,88,288,65,152,23,- ,- ,152,23
