"Características da habitação do produtor singular (Total de Explorações, Idade da habitação entre 30 a 50 anos)",,,,,,,,
,,,,,,,1999,
,,,,,,,pág. 3/6,
Região Agrícola,,,Total de explorações,,,,,
Nut III,,,Total  ,Electricidade,Água Canalizada,Instalação Sanitária,Electrodomésticos,
Concelho,,,Idade da habitação entre 30 a 50 anos,,,,,
,,,expl. (nº),,,,,
BEIRA LITORAL,,,"22,608","22,569","22,287","22,087","22,461",
,Baixo Vouga,,"4,356","4,354","4,315","4,276","4,337",
,,Águeda,739,738,723,721,734,
,,Albergaria-a-Velha,231,231,231,225,230,
,,Anadia,782,782,776,771,781,
,,Aveiro,311,311,309,306,309,
,,Estarreja,303,303,303,296,301,
,,Ílhavo,96,96,96,96,96,
,,Mealhada,366,366,366,364,366,
,,Murtosa,80,80,78,74,80,
,,Oliveira do Bairro,560,560,557,550,556,
,,Ovar,100,100,99,96,100,
,,Sever do Vouga,141,141,133,133,141,
,,Vagos,647,646,644,644,643,
,Baixo Mondego,,"5,347","5,343","5,298","5,242","5,329",
,,Cantanhede,"1,224","1,222","1,208","1,214","1,216",
,,Coimbra,754,754,751,731,754,
,,Condeixa-a-Nova,274,274,274,265,273,
,,Figueira da Foz,736,736,727,723,734,
,,Mira,288,288,286,286,288,
,,Montemor-o-Velho,"1,073","1,071","1,058","1,048","1,067",
,,Penacova,260,260,259,259,259,
,,Soure,738,738,735,716,738,
,Pinhal Litoral,,"5,384","5,380","5,354","5,308","5,343",
,,Batalha,450,450,450,449,450,
,,Leiria,"2,172","2,172","2,166","2,167","2,165",
,,Marinha Grande,83,83,83,83,83,
,,Pombal,"2,109","2,106","2,086","2,051","2,079",
,,Porto de Mós,570,569,569,558,566,
,Pinhal Interior Norte,,"2,592","2,586","2,573","2,521","2,576",
,,Alvaiázere,345,345,344,337,341,
,,Ansião,580,580,578,562,576,
,,Arganil,285,283,284,284,283,
,,Castanheira de Pêra,27,27,27,27,27,
,,Figueiró dos Vinhos,130,130,130,129,130,
,,Góis,44,44,44,44,44,
,,Lousã,61,61,61,60,61,
,,Miranda do Corvo,98,98,98,98,98,
,,Oliveira do Hospital,296,294,288,271,293,
,,Pampilhosa da Serra,127,127,126,123,127,
,,Pedrógão Grande,162,162,162,160,162,
,,Penela,168,168,167,164,168,
,,Tábua,190,188,185,183,187,
,,Vila Nova de Poiares,79,79,79,79,79,
,Dão-Lafões,,"4,929","4,906","4,747","4,740","4,876",
,,Aguiar da Beira,243,241,239,230,240,
,,Carregal do Sal,166,166,166,163,166,
,,Castro Daire,448,444,421,414,435,
,,Mangualde,229,225,213,217,225,
,,Mortágua,250,250,247,244,249,
,,Nelas,344,343,341,341,343,
,,Oliveira de Frades,211,210,203,194,208,
,,Penalva do Castelo,345,344,337,339,340,
,,Santa Comba Dão,157,156,157,157,156,
,,São Pedro do Sul,322,321,313,310,319,
,,Sátão,346,345,343,338,340,
,,Tondela,725,724,686,696,722,
,,Vila Nova de Paiva,126,126,121,119,126,
,,Viseu,805,801,764,782,799,
,,Vouzela,212,210,196,196,208,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
