Produtor singular segundo a OTE e as classes de idade,,,,,,,,,,,,,
,,,,,,,,,,,,,1999
,,,,,,,,,,,,,Pág.5/12
REGIÃO AGRÁRIA,,,,Total,Cereais Plantas olea./prot.,Culturas agrícolas diversas,Horticultura,Viticultura,Fruticultura,Olivicultura,Culturas permanentes diversas,Bovinos                de leite,Bovinos para gado/carne
,Nut III,,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,,
,,Odivelas,,,,,,,,,,,
,,,>= 65,   74 ,- ,   11 ,   32 ,- ,   4 ,- ,- ,   1 ,   1 
,,Barreiro,,,,,,,,,,,
,,,Total,   105 ,- ,   2 ,   24 ,- ,   15 ,- ,- ,   4 ,   3 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,   1 ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,35 - 44,   1 ,- ,- ,   1 ,- ,- ,- ,- ,- ,- 
,,,45 - 54,   13 ,- ,- ,   1 ,- ,   2 ,- ,- ,   1 ,- 
,,,55 - 64,   33 ,- ,   2 ,   6 ,- ,   4 ,- ,- ,   2 ,- 
,,,>= 65,   57 ,- ,- ,   16 ,- ,   9 ,- ,- ,   1 ,   3 
,,Moita,,,,,,,,,,,
,,,Total,   353 ,   7 ,   20 ,   134 ,   3 ,   46 ,- ,   6 ,   13 ,   13 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,   5 ,- ,- ,   1 ,- ,- ,- ,- ,- ,   1 
,,,35 - 44,   32 ,   1 ,   3 ,   6 ,- ,   6 ,- ,   1 ,   3 ,   2 
,,,45 - 54,   58 ,   2 ,   3 ,   17 ,- ,   10 ,- ,- ,   3 ,   3 
,,,55 - 64,   102 ,   2 ,   5 ,   43 ,- ,   8 ,- ,   2 ,   3 ,   2 
,,,>= 65,   156 ,   2 ,   9 ,   67 ,   3 ,   22 ,- ,   3 ,   4 ,   5 
,,Montijo,,,,,,,,,,,
