Principais culturas temporárias,,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,Pág.5/10
Região Agrária,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
,Nut III,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
,,Concelho,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,Alcochete,,,,,,,,,,,
,,Culturas temporárias,   247 ,  1 564 ,   247 ,  1 544 ,   12 ,   20 ,   12 ,   20 ,- ,- 
,,Cereais para grão,   17 ,   209 ,   17 ,   209 ,- ,- ,- ,- ,- ,- 
,,Leguminosas secas para grão,   9 ,   3 ,   9 ,   3 ,- ,- ,- ,- ,- ,- 
,,Prados temporários,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   35 ,   518 ,   31 ,   505 ,   9 ,   14 ,   9 ,   14 ,- ,- 
,,Batata,   84 ,   229 ,   82 ,   226 ,   2 ,... ,   2 ,... ,- ,- 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   214 ,   504 ,   214 ,   501 ,   1 ,... ,   1 ,... ,- ,- 
,,Flores e plantas ornamentais,   11 ,   87 ,   11 ,   87 ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,   2 ,... ,   2 ,... ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Almada,,,,,,,,,,,
,,Culturas temporárias,   136 ,   449 ,   136 ,   426 ,   19 ,   23 ,   18 ,   23 ,   2 ,... 
,,Cereais para grão,   29 ,   102 ,   22 ,   91 ,   8 ,   12 ,   7 ,   12 ,   1 ,... 
,,Leguminosas secas para grão,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   45 ,   109 ,   42 ,   107 ,   5 ,   1 ,   4 ,   1 ,   1 ,... 
,,Batata,   17 ,   9 ,   3 ,   1 ,   14 ,   7 ,   14 ,   7 ,- ,- 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   106 ,   228 ,   106 ,   225 ,   2 ,... ,   2 ,... ,- ,- 
,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Barreiro,,,,,,,,,,,
,,Culturas temporárias,   67 ,   102 ,   65 ,   88 ,   12 ,   14 ,   4 ,   11 ,   8 ,   3 
,,Cereais para grão,   6 ,   3 ,   6 ,   3 ,- ,- ,- ,- ,- ,- 
,,Leguminosas secas para grão,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   21 ,   68 ,   20 ,   56 ,   5 ,   12 ,   4 ,   11 ,   1 ,... 
,,Batata,   5 ,   1 ,   3 ,   1 ,   2 ,... ,- ,- ,   2 ,... 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   54 ,   30 ,   52 ,   28 ,   5 ,   2 ,- ,- ,   5 ,   2 
,,Flores e plantas ornamentais,   4 ,o ,   4 ,o ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Moita,,,,,,,,,,,
,,Culturas temporárias,   265 ,  1 645 ,   263 ,  1 322 ,   34 ,   323 ,   22 ,   320 ,   12 ,   3 
,,Cereais para grão,   42 ,   263 ,   42 ,   263 ,   1 ,... ,- ,- ,   1 ,... 
,,Leguminosas secas para grão,   8 ,   1 ,   6 ,   1 ,   2 ,... ,   2 ,... ,- ,- 
,,Prados temporários,   3 ,   11 ,   3 ,   11 ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   96 ,  1 106 ,   93 ,   789 ,   16 ,   317 ,   15 ,   317 ,   1 ,... 
,,Batata,   35 ,   63 ,   34 ,   60 ,   5 ,   3 ,   5 ,   3 ,- ,- 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   195 ,   201 ,   190 ,   198 ,   10 ,   3 ,- ,- ,   10 ,   3 
,,Flores e plantas ornamentais,   4 ,o ,   4 ,o ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Montijo,,,,,,,,,,,
,,Culturas temporárias,   751 ,  5 735 ,   750 ,  5 270 ,   102 ,   465 ,   91 ,   459 ,   13 ,   6 
,,Cereais para grão,   207 ,  1 553 ,   191 ,  1 411 ,   38 ,   143 ,   37 ,   141 ,   2 ,... 
,,Leguminosas secas para grão,   33 ,   44 ,   26 ,   29 ,   9 ,   16 ,   9 ,   16 ,- ,- 
,,Prados temporários,   10 ,   118 ,   10 ,   118 ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   236 ,  1 847 ,   220 ,  1 646 ,   39 ,   199 ,   34 ,   197 ,   6 ,   1 
,,Batata,   256 ,   646 ,   243 ,   559 ,   25 ,   86 ,   24 ,   85 ,   1 ,... 
,,Beterraba sacarina,   2 ,... ,   2 ,... ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   13 ,   108 ,   13 ,   108 ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   477 ,  1 272 ,   474 ,  1 253 ,   12 ,   19 ,   7 ,   16 ,   5 ,   2 
