Produtor singular segundo a OTE e as classes de idade,,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,Pág.12/12
REGIÃO AGRÁRIA,,,,Bovinos para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas
,Nut III,,,,,,,,,,,
,,Concelho,,nº de indivíduos,,,,,,,,
,,Cartaxo,,,,,,,,,,
,,,Total,- ,   22 ,   14 ,   65 ,   4 ,   1 ,   2 ,   20 ,   34 
,,,15 - 24,- ,   1 ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,   3 ,- ,   2 ,- ,- ,- ,   1 ,- 
,,,35 - 44,- ,   3 ,   1 ,   5 ,   1 ,- ,- ,   1 ,   4 
,,,45 - 54,- ,   3 ,   5 ,   15 ,   1 ,   1 ,   1 ,   3 ,   7 
,,,55 - 64,- ,   4 ,   4 ,   19 ,   2 ,- ,   1 ,   5 ,   10 
,,,>= 65,- ,   8 ,   4 ,   24 ,- ,- ,- ,   10 ,   13 
,,Chamusca,,,,,,,,,,
,,,Total,- ,   15 ,   7 ,   85 ,   5 ,   1 ,   16 ,   10 ,   5 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,   1 ,- ,   3 ,- ,   1 ,   3 ,- ,   2 
,,,35 - 44,- ,- ,- ,   6 ,   1 ,- ,   2 ,   2 ,- 
,,,45 - 54,- ,   6 ,   1 ,   15 ,   1 ,- ,   2 ,   5 ,   1 
,,,55 - 64,- ,   4 ,   4 ,   30 ,   1 ,- ,   4 ,   1 ,- 
,,,>= 65,- ,   4 ,   2 ,   31 ,   2 ,- ,   5 ,   2 ,   2 
,,Coruche,,,,,,,,,,
,,,Total,   1 ,   132 ,   29 ,   135 ,   23 ,   19 ,   35 ,   64 ,   16 
,,,15 - 24,- ,   2 ,- ,- ,- ,- ,- ,   1 ,- 
,,,25 - 34,   1 ,   12 ,   2 ,   4 ,- ,- ,   6 ,   1 ,- 
,,,35 - 44,- ,   15 ,   2 ,   7 ,   3 ,   3 ,   5 ,   3 ,   6 
,,,45 - 54,- ,   18 ,   3 ,   28 ,   4 ,   1 ,   8 ,   7 ,   4 
,,,55 - 64,- ,   38 ,   10 ,   48 ,   3 ,   7 ,   6 ,   25 ,   4 
,,,>= 65,- ,   47 ,   12 ,   48 ,   13 ,   8 ,   10 ,   27 ,   2 
,,Golegã,,,,,,,,,,
,,,Total,- ,- ,   1 ,   16 ,   1 ,- ,   1 ,   2 ,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,35 - 44,- ,- ,   1 ,   1 ,- ,- ,- ,- ,- 
,,,45 - 54,- ,- ,- ,- ,- ,- ,- ,   1 ,- 
,,,55 - 64,- ,- ,- ,   7 ,   1 ,- ,- ,   1 ,- 
,,,>= 65,- ,- ,- ,   8 ,- ,- ,   1 ,- ,- 
,,Rior Maior,,,,,,,,,,
,,,Total,- ,   84 ,   305 ,   202 ,   12 ,   45 ,   10 ,   157 ,   176 
,,,15 - 24,- ,   1 ,   1 ,   2 ,- ,   1 ,   1 ,- ,   3 
,,,25 - 34,- ,   2 ,   20 ,   9 ,   1 ,   1 ,- ,   7 ,   6 
,,,35 - 44,- ,   8 ,   56 ,   14 ,   3 ,   3 ,   1 ,   17 ,   19 
,,,45 - 54,- ,   11 ,   116 ,   40 ,   1 ,   14 ,   2 ,   28 ,   38 
,,,55 - 64,- ,   32 ,   73 ,   69 ,   3 ,   13 ,   1 ,   59 ,   40 
,,,>= 65,- ,   30 ,   39 ,   68 ,   4 ,   13 ,   5 ,   46 ,   70 
,,Salvaterra de Magos,,,,,,,,,,
,,,Total,   1 ,   34 ,   3 ,   130 ,   8 ,   3 ,   6 ,   23 ,   5 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,   2 ,- ,   2 ,- ,- ,- ,   1 ,- 
,,,35 - 44,- ,   4 ,- ,   11 ,- ,- ,- ,   2 ,- 
,,,45 - 54,- ,   6 ,   2 ,   22 ,- ,- ,   3 ,   5 ,   1 
,,,55 - 64,- ,   8 ,   1 ,   42 ,   5 ,   2 ,   1 ,   10 ,   2 
,,,>= 65,   1 ,   14 ,- ,   53 ,   3 ,   1 ,   2 ,   5 ,   2 
,,Santarém,,,,,,,,,,
,,,Total,   1 ,   142 ,   159 ,   561 ,   26 ,   48 ,   27 ,   208 ,   90 
,,,15 - 24,- ,   1 ,- ,   2 ,- ,   1 ,- ,- ,   1 
,,,25 - 34,   1 ,   15 ,   9 ,   11 ,- ,   2 ,- ,   8 ,   3 
,,,35 - 44,- ,   28 ,   35 ,   52 ,   1 ,   7 ,   7 ,   21 ,   8 
,,,45 - 54,- ,   31 ,   49 ,   119 ,   4 ,   10 ,   5 ,   52 ,   19 
,,,55 - 64,- ,   33 ,   47 ,   161 ,   10 ,   19 ,   5 ,   56 ,   22 
,,,>= 65,- ,   34 ,   19 ,   216 ,   11 ,   9 ,   10 ,   71 ,   37 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,,
