Principais culturas temporárias,,,,,,,,,,,,
,,,,,,,,,,,,1999
,,,,,,,,,,,,Pág.4/10
Região Agrária,,,Total,,Cultura Principal,,Cultura Secundária,,,,,
,Nut III,,,,,,Total,,Sucessiva,,Associada sob-coberto de permanentes,
,,Concelho,Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha),Expl (nº),Área (ha)
,Loures,,,,,,,,,,,
,,Culturas temporárias,   757 ,  3 017 ,   753 ,  2 924 ,   42 ,   93 ,   23 ,   62 ,   19 ,   31 
,,Cereais para grão,   92 ,   345 ,   86 ,   339 ,   8 ,   7 ,   7 ,   5 ,   1 ,... 
,,Leguminosas secas para grão,   17 ,   6 ,   14 ,   6 ,   3 ,o ,   2 ,... ,   1 ,... 
,,Prados temporários,   16 ,   148 ,   16 ,   146 ,   1 ,... ,- ,- ,   1 ,... 
,,Culturas forrageiras,   320 ,  1 450 ,   316 ,  1 371 ,   25 ,   79 ,   12 ,   55 ,   13 ,   24 
,,Batata,   133 ,   39 ,   133 ,   39 ,- ,- ,- ,- ,- ,- 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   4 ,   17 ,   4 ,   17 ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   573 ,   997 ,   571 ,   992 ,   5 ,   5 ,   2 ,... ,   3 ,   2 
,,Flores e plantas ornamentais,   13 ,   11 ,   13 ,   11 ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,   3 ,   1 ,   3 ,   1 ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   3 ,   4 ,   3 ,   4 ,- ,- ,- ,- ,- ,- 
,Odivelas,,,,,,,,,,,
,,Culturas temporárias,   39 ,   164 ,   39 ,   159 ,   1 ,... ,- ,- ,   1 ,... 
,,Cereais para grão,   9 ,   34 ,   9 ,   34 ,- ,- ,- ,- ,- ,- 
,,Leguminosas secas para grão,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Prados temporários,   6 ,   62 ,   6 ,   61 ,   1 ,... ,- ,- ,   1 ,... 
,,Culturas forrageiras,   11 ,   42 ,   11 ,   39 ,   1 ,... ,- ,- ,   1 ,... 
,,Batata,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   25 ,   23 ,   25 ,   23 ,- ,- ,- ,- ,- ,- 
,,Flores e plantas ornamentais,   4 ,   1 ,   4 ,   1 ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Oeiras,,,,,,,,,,,
,,Culturas temporárias,   20 ,   618 ,   20 ,   618 ,- ,- ,- ,- ,- ,- 
,,Cereais para grão,   10 ,   232 ,   10 ,   232 ,- ,- ,- ,- ,- ,- 
,,Leguminosas secas para grão,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   14 ,   366 ,   14 ,   366 ,- ,- ,- ,- ,- ,- 
,,Batata,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   4 ,   21 ,   4 ,   21 ,- ,- ,- ,- ,- ,- 
,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sintra,,,,,,,,,,,
,,Culturas temporárias,  1 440 ,  5 367 ,  1 428 ,  5 231 ,   159 ,   137 ,   138 ,   122 ,   21 ,   14 
,,Cereais para grão,   573 ,  1 304 ,   567 ,  1 299 ,   10 ,   6 ,   7 ,   5 ,   3 ,   1 
,,Leguminosas secas para grão,   292 ,   61 ,   276 ,   59 ,   19 ,   2 ,   16 ,   2 ,   3 ,o 
,,Prados temporários,   48 ,   129 ,   46 ,   127 ,   2 ,... ,- ,- ,   2 ,... 
,,Culturas forrageiras,   596 ,  2 557 ,   591 ,  2 471 ,   11 ,   87 ,   8 ,   85 ,   3 ,   2 
