Actividade renumerada exterior à exploração da população agrícola familiar (Oeste),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,,,Pág.1/5
,,,LISBOA E VALE DO TEJO,Oeste,Alcobaça,Alenquer,Arruda dos Vinhos,Bombarral,Cadaval,Caldas da Rainha,Lourinhã,Mafra,Nazaré,Óbidos,Peniche,Sobral de Monte Agraço,Torres Vedras
,,,nº de indivíduos,,,,,,,,,,,,,,
Produtor Singular,,,  59 944 ,  22 855 ,  3 097 ,  2 637 ,   785 ,  1 107 ,  1 655 ,  2 246 ,  1 962 ,  2 591 ,   305 ,  1 007 ,   790 ,   678 ,  3 995 
,Actividade exterior - principal,,  21 183 ,  8 255 ,  1 167 ,  1 211 ,   327 ,   326 ,   619 ,   727 ,   576 ,   934 ,   72 ,   264 ,   168 ,   280 ,  1 584 
,,"Agric, prod. animal, caça e activ. seviços relacionados",  2 887 ,  1 286 ,   132 ,   183 ,   43 ,   91 ,   123 ,   64 ,   135 ,   107 ,   6 ,   40 ,   24 ,   60 ,   278 
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",   300 ,   75 ,   10 ,   6 ,- ,   2 ,   5 ,   9 ,   6 ,   7 ,   2 ,   1 ,   3 ,- ,   24 
,,"Pesca, aquacultura e activ. seviços relacionados",   112 ,   58 ,   4 ,   3 ,   1 ,- ,- ,   13 ,   12 ,   2 ,   1 ,   10 ,   7 ,- ,   5 
,,Ind. alimentares das bebidas e do tabaco,   472 ,   164 ,   12 ,   47 ,   18 ,   3 ,   6 ,   15 ,   16 ,   9 ,- ,   4 ,   1 ,   6 ,   27 
,,Outras indústrias,  3 926 ,  1 475 ,   371 ,   219 ,   60 ,   39 ,   73 ,   159 ,   76 ,   130 ,   20 ,   37 ,   10 ,   46 ,   235 
,,"Prod. e distribuição de  electricidade, gás e água",   342 ,   138 ,   13 ,   39 ,   5 ,   3 ,   6 ,   10 ,   7 ,   8 ,- ,- ,   5 ,   6 ,   36 
,,Construção,  3 628 ,  1 499 ,   182 ,   238 ,   38 ,   48 ,   107 ,   158 ,   127 ,   166 ,   8 ,   35 ,   37 ,   44 ,   311 
,,Comércio por grosso e retalho,  2 967 ,  1 203 ,   159 ,   138 ,   64 ,   36 ,   91 ,   110 ,   66 ,   190 ,   7 ,   36 ,   19 ,   41 ,   246 
,,Alojamento e restauração,   356 ,   116 ,   21 ,   3 ,   6 ,   4 ,   3 ,   19 ,   7 ,   14 ,   1 ,   4 ,   8 ,   8 ,   18 
,,Administração pública,  1 223 ,   419 ,   52 ,   48 ,   9 ,   22 ,   64 ,   45 ,   19 ,   44 ,   7 ,   5 ,   32 ,   8 ,   64 
,,Educação,   307 ,   68 ,   6 ,   12 ,   4 ,   8 ,   2 ,   4 ,   8 ,   3 ,   2 ,   4 ,   2 ,- ,   13 
